"","otu643","otu2411","otu2824","otu3200","otu3914","otu3990","otu4030","otu4266","otu4298","otu4389","otu4863","otu5031","otu5199","otu5301","otu5854","otu6411","otu6486","otu6834","otu7142","otu8108","otu8351","otu9874","otu10651","otu10990","otu11202","otu13504","otu13674","otu14493","otu15474","otu16260","otu16641","otu17070","otu17081","otu17862","otu19492","otu19728","otu20066","otu20120","otu20321","otu20596","otu21063","otu21474","otu22058","otu22860","otu22980","otu22981","otu23062","otu23328","otu24141","otu24353","otu24528","otu24642","otu25983","otu29183","otu32501","otu33780","otu34128","otu34631","otu34816","otu35825","otu36139","otu36430","otu36535","otu36538","otu38029","otu38090","otu38199","otu38625","otu39189","otu39577","otu40576","otu40699","otu40932","otu41945","otu42156","otu42549","otu42763","otu43678","otu43787","otu43895","otu44558","otu45217","otu45484","otu45911","otu45913","otu46075","otu47403","otu49788","otu50291","otu50877","otu53020","otu53612","otu53613","otu53868","otu53913","otu54094","otu54454","otu54664","otu54959","otu55336","otu55465","otu55649","otu55654","otu56002","otu56423","otu57000","otu57594","otu57830","otu58736","otu60148","otu60355","otu61039","otu61099","otu61217","otu63689","otu64533","otu64708","otu66141","otu67104","otu67961","otu68427","otu68874","otu69986","otu70569","otu73605","otu73793","otu74871","otu75030","otu75528","otu75640","otu75913","otu76106","otu76575","otu77042","otu77782","otu78308","otu78374","otu79099","otu79168","otu81005","otu81477","otu81766","otu83212","otu84462","otu84911","otu86075","otu86137","otu86374","otu86382","otu86820","otu87407","otu88716","otu91075","otu91208","otu92456","otu93674","otu95014","otu95020","otu99090","otu100234","otu100666","otu100769","otu100915","otu101011","otu101215","otu101556","otu101753","otu102630","otu102811","otu102961","otu102976","otu103020","otu103748","otu104688","otu104749","otu104813","otu107198","otu107337","otu108155","otu108477","otu108628","otu111102","otu112225","otu112776","otu113180","otu115012","otu115117","otu115295","otu115490","otu115778","otu116241","otu117241","otu117355","otu117386","otu117463","otu117685","otu117687","otu118289","otu119446","otu119930","otu120543","otu120851","otu120996","otu121514","otu123163","otu124216","otu124217","otu124324","otu126696","otu128440","otu128492","otu129244","otu132182","otu132750","otu133358","otu135474","otu135538","otu135583","otu138417","otu138568","otu139125","otu139401","otu140795","otu144720","otu144904","otu145558","otu145674","otu145838","otu147546","otu148198","otu149332","otu149387","otu150615","otu151388","otu151695","otu151813","otu153831","otu154548","otu155702","otu155725","otu155734","otu155792","otu156770","otu157652","otu157879","otu160105","otu160520","otu161828","otu162439","otu162483","otu163488","otu163947","otu164706","otu165386","otu165410","otu165448","otu165976","otu166117","otu166343","otu167491","otu168212","otu168383","otu168446","otu168565","otu168614","otu168693","otu170243","otu170591","otu171245","otu171426","otu172447","otu172985","otu173727","otu173926","otu173981","otu174745","otu175915","otu175960","otu177022","otu177525","otu177813","otu178165","otu178207","otu180281","otu181240","otu181268","otu182434","otu183055","otu183640","otu183743","otu183788","otu184240","otu184634","otu187218","otu188667","otu188738","otu189123","otu189236","otu190213","otu191467","otu194828","otu195408","otu195689","otu195872","otu196789","otu196922","otu196925","otu197155","otu197583","otu197621","otu197725","otu197885","otu199122","otu199161","otu200155","otu200994","otu201243","otu201690","otu203368","otu205724","otu205932","otu206965","otu207098","otu207307","otu207496","otu207677","otu207948","otu208613","otu208692","otu210374","otu210754","otu210801","otu210858","otu211408","otu212376","otu213946","otu214028","otu214479","otu215301","otu215891","otu217464","otu218587","otu219274","otu219668","otu219768","otu220718","otu220859","otu221483","otu221867","otu222127","otu223372","otu224206","otu224581","otu225044","otu225698","otu226925","otu227541","otu227760","otu227820","otu228653","otu229309","otu230665","otu230801","otu231276","otu231417","otu231461","otu231647","otu232032","otu232045","otu233411","otu234013","otu234042","otu234279","otu234399","otu234623","otu234887","otu235489","otu236496","otu237226","otu239064","otu240002","otu240183","otu240288","otu240350","otu240630","otu241002","otu242915","otu243689","otu243958","otu244383","otu244389","otu244693","otu244981","otu245136","otu245411","otu245615","otu248837","otu249946","otu251163","otu251239","otu251532","otu252667","otu253107","otu254131","otu254232","otu255644","otu255728","otu256267","otu257163","otu257256","otu257742","otu258118","otu259902","otu260203","otu261401","otu261723","otu262467","otu263295","otu264772","otu265125","otu265516","otu266181","otu266395","otu266417","otu267460","otu267538","otu267893","otu268092","otu268193","otu270419","otu275566","otu276077","otu276830","otu277402","otu277908","otu278327","otu279863","otu280657","otu280946","otu282334","otu282540","otu282810","otu282960","otu284076","otu284898","otu285128","otu285351","otu288120","otu288164","otu288562","otu288683","otu290028","otu290186","otu290249","otu290349","otu290794","otu291012","otu291721","otu291944","otu291989","otu292589","otu292933","otu293912","otu294268","otu295753","otu295890","otu296007","otu297223","otu297683","otu297749","otu298459","otu299115","otu299267","otu299382","otu299541","otu299581","otu300409","otu300568","otu300821","otu302096","otu302225","otu302691","otu303019","otu303909","otu304184","otu304795","otu305893","otu307179","otu307765","otu308261","otu308285","otu308757","otu309351","otu309779","otu309826","otu310463","otu312312","otu312360","otu312748","otu312771","otu314549","otu314888","otu315975","otu316782","otu316965","otu317198","otu317458","otu317514","otu318225","otu318627","otu318690","otu319177","otu319975","otu320506","otu320992","otu321120","otu321556","otu322018","otu322834","otu324167","otu324739","otu325184","otu325357","otu326881","otu327540","otu327935","otu328319","otu329191"
"D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
"D3",4,0,0,216,0,4,0,0,1689,0,584,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,36,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2094,10,0,1,0,2,0,10,0,0,0,4282,0,0,5,0,58,0,73,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12182,0,513,0,5,2,44,31,0,0,0,0,0,0,0,70,6,0,0,57,0,0,0,88,35,0,0,0,0,4,0,0,10,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,55,0,2661,0,0,0,0,9,0,0,0,0,0,0,65,0,0,0,0,176,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,2244,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,955,0,198,0,0,0,0,73,0,0,0,0,11,13,0,0,0,2,0,0,0,12,3034,5,0,0,51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,331,0,0,3,0,0,0,29,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1558,0,2,0,0,0,0,89,0,0,0,0,0,0,75,0,0,0,0,28,0,0,0,0,0,0,0,0,0,96,3,4,2,107,3,0,0,0,0,0,0,0,0,0,126,62,0,0,0,0,173,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,241,0,0,9,0,0,0,0,0,0,0,0,0,0,0,30,72,5,0,13,0,0,0,0,0,0,0,149,388,0,0,0,0,0,0,134,53,3,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,20,0,0,0,16,0,0,0,17,80,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,361,2,1534,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D4",0,2,0,12,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,6907,0,0,0,2,0,61,9,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,47,0,0,0,0,0,0,2,0,0,0,2979,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,29,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,4,13,0,0,5,0,2,0,0,0,0,0,0,0,517,0,139,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,20,0,0,13,11,16,0,0,2,0,0,0,0,0,0,0,0,3,0,0,9,6,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,2,27,0,0,0,0,0,0,0,0,5,0,0,6,8,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,93,0,0,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,55,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,16309,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,23,0
"D5",0,28,0,0,0,17,61,0,117,0,0,0,95,0,6,12,2,17,36,3,9,0,11,26,2,9,4,0,0,0,2,74,6,13,0,5,0,9,0,3,16,94,193,25,52,16,23,0,25,0,2,325,1,19,0,15,0,4,0,25,0,0,71,2,0,0,0,548,0,0,0,0,45,13,0,0,21,0,0,0,0,0,29,0,0,34,0,0,1,0,0,5,23,57,3,30,0,8,0,0,0,6,222,10,0,7,0,0,0,0,0,0,0,14,0,2,3,0,50,0,8,6,29,0,0,1,7,4,0,2,3,5,6,15,5,0,0,0,0,14,6,4,4,0,12,0,5,18,9,3,47,0,6,9,0,16,15,0,10,24,0,0,8,0,2,2,14,3,16,2,0,0,0,4,0,36,14,9,3,0,0,2,0,2,28,18,0,43,2,1,12,26,6,0,4,0,0,10,0,11,0,4,58,64,0,88,2,0,2,0,6,0,0,0,0,4,8,20,0,0,0,24,96,21,13,0,0,1,0,0,4,0,5,0,21,0,20,0,0,0,6,0,15,0,358,0,3,5,0,9,68,3,202,0,0,1,0,0,0,0,15,1,0,0,51,40,0,4,5,16,18,3,29,214,4,0,42,12,38,9,0,3,0,40,0,9,0,0,5,15,8,0,25,0,30,216,0,2,1,17,8,0,3,55,0,0,20,0,2,34,2,0,0,0,4,17,9,0,0,0,0,3,0,0,0,0,0,0,18,0,0,16,0,2,5,0,4,49,22,0,42,36,0,0,136,1,5,1,0,35,0,18,18,0,3,0,1,0,0,0,0,0,5,96,0,37,0,9,0,1,3,11,0,0,7,0,7,0,2,18,48,4,0,0,0,0,24,5,0,0,7,23,20,0,22,22,0,4,26,0,164,3,5,0,0,34,9,0,17,0,0,11,176,5,44,4,0,0,0,0,0,3,8,0,9,0,0,0,76,0,0,0,12,25,0,0,7,143,19,0,0,0,8,4,0,3,83,5,4,4,0,225,10,0,0,2570,11,64,7,12,5,0,0,5,37,0,0,24,26,0,0,0,0,5,25,0,0,4,26,64,0,6,2,0,0,0,0,10,3,88,0,0,28,17,0,0,0,76,0,5,3,0,1,8,0,26,79,6,7,17,53,5,2,4,0,0,0,0,7,0,31,35,44,0,0,8,0,2
"D6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"D7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D8",2,6,0,0,0,0,0,12,0,154,0,6,0,0,15,0,3,0,607,0,0,0,0,0,2,8,0,0,1,0,32,406,0,0,0,0,10,24,0,0,4,152,0,0,0,194,3,0,0,0,63,45,0,27,0,28,8,0,0,10,0,0,0,0,37,0,29,0,5,0,0,24,2,60,0,90,0,0,0,0,109,27,91,0,0,0,0,0,0,5,0,0,0,0,9,0,3,0,2,0,0,1,0,10,0,0,0,11,0,0,0,0,10,0,5,4,0,10,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,12,17,0,0,71,15,7,0,0,0,0,11,7,0,0,9,0,0,0,0,0,6,0,9,5,22,6,8,0,5,0,0,0,0,15,173,0,0,21,20,3,2,6,337,36,0,71,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,31,1,5,5,8,0,60,0,0,0,0,0,0,0,0,0,0,0,4,0,30,0,0,4,0,0,7,0,0,0,0,0,0,14,0,0,0,16,0,0,0,67,32,67,0,66,0,17,21,0,0,0,17,0,0,0,0,87,0,0,0,0,0,7,2,9,0,0,0,0,0,0,0,0,99,2,0,66,0,133,0,0,26,0,22,0,7,2,0,0,0,411,165,48,0,0,134,0,14,0,0,0,0,3,0,0,6,1,0,0,14,0,91,0,0,0,0,5,0,5,372,6,33,0,0,0,0,0,0,0,0,0,0,418,9,0,0,0,0,0,14,0,9,0,0,7,21,87,0,90,0,0,0,0,0,0,0,85,0,0,0,28,0,0,0,0,17,0,0,0,0,0,32,0,2,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,17,212,0,0,17,0,0,0,0,6,27,0,0,0,0,0,0,0,881,0,3,0,0,3,0,0,0,7,0,14,13,2,5,0,1,0,0,0,12,0,0,0,0,2016,0,3,0,0,0,1,12,0,151,85,87,0,0,0,2,0,0,0,19,86,7,1,4,0,17,43,0,0,0,3,0,0,0,0,0,0,0,16,26,2,0,6,4,25,0,2,0,0,0,1,0,19,0,0,64,0,42,6,9,183,0,0,0,0,22,0,6,0,32,0,0,0,0,13,113,21,1,0,3,0,3,0,0,801,0,0,22,2,0,0
"D9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,15,0,0,4,0,0,0,23,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,7,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,2,0,0,0,16,3,2,0,0,0,0,0,12,0,0,2,0,0,0,5,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,127,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,105,0,0,0,2,0,14,0,0,0,3,0,3,2,0,0,0,0
"D10",0,0,13,6,0,4,0,21,2,14,0,0,0,3,0,0,49,0,5,0,0,0,0,0,0,0,0,0,0,0,0,85,0,1782,0,0,0,2,0,47,9,1,2,1,0,0,0,0,261,0,0,4,88,1,0,0,0,0,0,0,0,80,0,546,2,0,0,0,6,37,0,3,0,0,0,73,0,0,0,0,0,16,2,0,0,0,0,8,0,2,36,0,0,130,0,0,0,2,8,0,0,5,188,0,3,29,0,3,0,0,0,0,0,0,0,0,8,242,0,0,3,41,9,0,0,90,0,0,0,11,220,1,5,56,70,0,0,0,0,211,0,0,8,0,6,19,2,0,0,0,0,0,0,0,0,0,14,244,50,211,14,0,17,0,62,0,0,0,16,0,0,0,0,0,0,21,0,51,14,0,0,29,0,0,72,0,0,3,17,0,0,3,0,0,0,0,0,1,300,5,0,0,0,0,0,9,7,0,3,0,0,4,0,0,4,0,0,0,0,5,8,0,141,0,0,10,0,33,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,8,0,0,0,8,3,0,70,0,0,349,0,0,11,0,0,0,0,0,0,126,5,0,0,11,0,21,68,0,0,0,16,0,6,3,0,0,0,5,0,49,0,0,5,0,3,0,0,0,0,3,11,0,11,0,0,0,0,2,0,159,0,9,0,0,0,1832,2,7,0,0,0,0,0,2,0,3,61,2,55,0,17,0,0,0,0,0,0,13,0,0,0,4,0,0,1,25,0,6,0,7,5,0,4,0,0,161,2,20,0,946,0,0,0,103,0,0,0,0,0,4,0,27,0,0,0,2,0,0,221,0,37,32,6,0,0,87,0,0,0,0,2,1179,0,1,0,0,1,0,0,10,21,0,261,0,0,0,119,13,0,0,0,0,35,0,8,10,89,0,624,0,0,0,0,0,0,0,0,8,11,0,9,0,199,0,12,0,2,0,0,0,0,13,0,0,0,0,24,0,0,9,0,20,0,0,0,0,0,0,0,0,0,430,26,0,0,0,0,0,3,0,0,0,2,0,0,68,0,0,0,0,0,15,0,16,3,0,3,6,161,50,0,9,0,26,0,0,25,397,12,9,3,49,0,0,0,78,3,0,0,0,0,0,0,219,0,0,0,32,2,0,0,32,33,0,9,42,0,0,0,3,0,8
