source_label	target_label	freq	synergy_max	synergy_min	synergy_mean	env_list
Haemophilus parainfluenzae	SMB53	12	0.0937595008933106	2.467162276944792e-32	0.0005493005965626	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
Methylotenera mobilis	Kaistobacter	12	0.0012608906108357	2.467162276944792e-32	4.517076252755532e-06	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
Corynebacterium	Sediminibacterium	12	0.0006106096229657	2.467162276944792e-32	1.3156390978218396e-06	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
Sediminibacterium	Flavobacterium	12	0.0023657182024706	2.467162276944792e-32	7.396780375009553e-06	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
Corynebacterium	Stenotrophomonas	12	3.660606133468019e-05	2.467162276944792e-32	4.081422390486754e-07	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
Pseudomonas viridiflava	Agrobacterium	12	0.0011954971097983	2.467162276944792e-32	8.03937736238268e-06	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
DA101	Mycoplana	12	0.0003659926169916	2.467162276944792e-32	8.154339526493977e-07	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
DA101	Flavisolibacter	12	0.0034269151258559	2.467162276944792e-32	6.052558630704725e-05	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
Methylotenera mobilis	Niabella	12	0.0050255059639188	2.467162276944792e-32	2.781464465843517e-05	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
Pseudomonas viridiflava	Methylibium	12	3.653559905476568e-05	2.467162276944792e-32	1.1972878625444194e-07	['Animal_distal_gut', 'Animal_proximal_gut', 'Animal_secretion', 'Animal_surface', 'Plant_rhizosphere', 'Plant_surface', 'Sediment_(non-saline)', 'Sediment_(saline)', 'Soil_(non-saline)', 'Surface_(non-saline)', 'Water_(non-saline)', 'Water_(saline)']
