"","otu643","otu2411","otu2824","otu3200","otu3914","otu3990","otu4298","otu4389","otu5031","otu5061","otu5199","otu5854","otu6411","otu6486","otu6720","otu6834","otu7142","otu8108","otu8351","otu9874","otu10651","otu10990","otu11202","otu13504","otu14493","otu15474","otu16260","otu16641","otu17070","otu17081","otu17862","otu19492","otu19728","otu20120","otu20321","otu21063","otu21474","otu22058","otu22860","otu22980","otu22981","otu23062","otu24141","otu24274","otu24353","otu24528","otu24642","otu25983","otu29183","otu29192","otu32501","otu33780","otu34128","otu34816","otu35825","otu36139","otu36535","otu36538","otu38199","otu38625","otu39577","otu40699","otu40932","otu41945","otu42549","otu42763","otu43678","otu43787","otu43895","otu44558","otu45911","otu45913","otu46075","otu47403","otu48046","otu50291","otu50877","otu50898","otu53020","otu53612","otu53613","otu53868","otu54094","otu54454","otu54664","otu55336","otu55649","otu55654","otu56002","otu56423","otu57594","otu57830","otu58736","otu60355","otu61099","otu61217","otu63644","otu63689","otu64106","otu64533","otu64708","otu65113","otu66141","otu66997","otu67104","otu67961","otu68874","otu69986","otu70569","otu73605","otu74871","otu75030","otu75528","otu75640","otu75913","otu76106","otu76575","otu77042","otu77782","otu78374","otu79168","otu81005","otu81477","otu81509","otu81766","otu84462","otu84911","otu86075","otu86137","otu86374","otu86382","otu86820","otu87407","otu88716","otu89173","otu91075","otu91208","otu92456","otu93123","otu95014","otu95020","otu97538","otu99090","otu100234","otu100666","otu100915","otu101011","otu101556","otu101753","otu102811","otu102976","otu103020","otu103748","otu104658","otu104688","otu104751","otu104813","otu107198","otu107337","otu108155","otu108477","otu108628","otu109684","otu111102","otu112225","otu112776","otu112927","otu113180","otu115012","otu115295","otu115406","otu115490","otu115778","otu116241","otu117100","otu117241","otu117355","otu117386","otu117463","otu117685","otu118289","otu119213","otu119446","otu119930","otu120543","otu120851","otu120996","otu121514","otu123163","otu124216","otu124217","otu126696","otu128440","otu128492","otu129244","otu132182","otu132750","otu133358","otu135538","otu135583","otu136701","otu137989","otu138568","otu139401","otu139883","otu140558","otu140795","otu142090","otu143606","otu144720","otu145558","otu145838","otu147213","otu148198","otu149332","otu149387","otu150615","otu151388","otu151399","otu151695","otu151813","otu153831","otu154548","otu155725","otu155734","otu156770","otu157459","otu157879","otu159517","otu160105","otu160520","otu161828","otu162439","otu162483","otu163488","otu163947","otu164706","otu165410","otu165448","otu165976","otu166343","otu168212","otu168383","otu168614","otu168693","otu170243","otu170591","otu171245","otu171426","otu172447","otu173727","otu173926","otu173981","otu174050","otu175915","otu175960","otu177022","otu177525","otu177813","otu180281","otu181240","otu181268","otu182032","otu183640","otu183743","otu183788","otu184240","otu184634","otu187218","otu188667","otu188738","otu189123","otu190213","otu191467","otu194828","otu195408","otu195689","otu195872","otu196789","otu196922","otu196925","otu197621","otu197885","otu199122","otu199161","otu200155","otu200994","otu201243","otu203368","otu205724","otu206965","otu207098","otu207159","otu207307","otu207496","otu207948","otu208613","otu208692","otu210374","otu210754","otu210801","otu214178","otu214479","otu215301","otu215904","otu217464","otu218587","otu219248","otu219274","otu219668","otu220859","otu221483","otu221737","otu221867","otu222127","otu223372","otu224206","otu224444","otu224581","otu225044","otu225684","otu225698","otu226925","otu227541","otu227760","otu227820","otu228653","otu229484","otu230665","otu230801","otu231276","otu231417","otu231461","otu232045","otu233411","otu234013","otu234042","otu234399","otu234623","otu235489","otu236496","otu237226","otu239064","otu240002","otu240183","otu240288","otu240350","otu240630","otu241002","otu242039","otu242237","otu242915","otu243689","otu243958","otu244383","otu244389","otu244693","otu244981","otu245136","otu245411","otu245615","otu248837","otu249946","otu251163","otu251239","otu251532","otu253107","otu254131","otu254232","otu254910","otu255644","otu255728","otu256429","otu257163","otu257742","otu258118","otu258915","otu259507","otu259902","otu260122","otu260203","otu261401","otu261723","otu263295","otu264772","otu265083","otu265125","otu265438","otu265516","otu266181","otu266395","otu266417","otu267460","otu267538","otu267893","otu268193","otu268361","otu270419","otu273035","otu275566","otu276077","otu276830","otu277402","otu277908","otu279863","otu280657","otu280946","otu282334","otu282540","otu282960","otu284005","otu284076","otu285351","otu285676","otu287736","otu288120","otu288164","otu288562","otu288683","otu290028","otu290186","otu290249","otu290794","otu291012","otu291721","otu291944","otu291989","otu292589","otu292933","otu293912","otu295753","otu297223","otu297683","otu297749","otu299267","otu299382","otu299541","otu299581","otu300568","otu300821","otu302096","otu302225","otu302691","otu303909","otu304184","otu304795","otu305893","otu307179","otu307765","otu308261","otu308285","otu308757","otu309351","otu309779","otu309826","otu312360","otu312748","otu312771","otu314549","otu314888","otu315975","otu316782","otu316965","otu317198","otu317409","otu317458","otu317514","otu318627","otu318690","otu319177","otu319219","otu319975","otu320506","otu320992","otu321556","otu322018","otu324167","otu324739","otu325184","otu325357","otu326881","otu327540","otu328319"
"D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,136,505,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3",3,0,41,302,10,1,70,0,7,1,0,0,0,0,0,0,0,0,0,26,129,15,2,2,60,14,0,0,0,0,40,0,0,3,1,2,0,8,0,2,0,0,12,7,1119,0,280,0,10,0,31,0,0,3,7,386,1,15,2,0,0,0,10,0,4,0,0,47,0,10,0,0,47,5,0,0,0,0,0,0,1,0,0,0,1,801,4,6,0,2920,21,0,7,971,0,23,0,0,0,0,0,0,0,7,0,240,0,3,610,0,0,0,60,0,0,4,6,10,19,0,4,14,0,0,3,245,0,18,0,6,1,3,0,9,7,28,1,694,0,49,0,0,0,12,6,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,8,1,0,0,0,0,0,0,0,0,19,0,0,0,0,34,6,1,5,2367,0,4,0,0,0,26,0,43,32,24,2,2,2,0,0,2062,0,0,0,9,0,0,0,14,0,0,0,0,0,1,3,11,0,0,0,4768,2,2824,18,14,6,0,3,0,0,41,0,11996,0,1,0,0,5,11,1,2,244,0,0,7,50,6,0,0,0,0,0,4,496,0,0,22,14,0,0,139,32,0,13,5,10,0,0,2,6,0,0,0,0,3,12,27,1463,0,20,0,0,3,0,62,25,247,2,14,8,39,0,10,56,1,4,0,0,0,19,4,16,5,0,31,51,0,39,0,2,0,0,0,803,7,0,0,0,335,14,2,23,0,2,186,9,5,7,2,0,0,0,0,0,38,0,0,0,66,16,14,4,0,2,5,0,0,9,11,1,0,0,7,0,0,0,117,3,17,10,1,19,11,0,1,0,0,9,0,96,0,0,0,4,1,0,65,0,10,3,0,0,0,0,630,6,0,0,0,0,0,136,0,391,5,0,9,3,0,0,0,6,0,0,0,0,0,0,0,14,159,0,0,41,0,43,4,12,0,0,25,2,5,10,56,1,0,395,2,17,44,3,10,1,0,0,0,10,8,0,0,17,2,2,0,20,0,8,1399,0,4,17,3,0,0,53,0,5,3,9,51,8,21,3,0,4,0,0,0,102,3459,0,0,0,8,0,2,0,0,0,0,0,0,166,0,0,2,0
"D4",0,77,0,0,2,15,0,0,0,41,186,9,24,1,0,11,64,5,4,0,21,64,18,10,0,0,0,8,142,8,2,0,21,34,0,55,269,280,65,67,30,46,35,0,0,16,458,0,25,24,0,22,15,0,17,0,147,2,0,6,0,2,154,29,0,33,0,0,2,0,0,0,45,0,6,0,0,27,0,2,103,61,97,0,11,0,14,508,31,0,0,19,0,0,6,18,38,0,3,6,12,4,0,16,197,0,8,63,0,0,25,0,0,5,4,8,2,2,11,0,0,31,40,3,18,0,25,0,6,40,27,10,90,2,18,0,35,0,115,45,0,0,11,0,0,14,0,0,70,25,0,0,0,41,4,30,55,20,35,4,0,13,9,14,0,3,30,31,66,134,0,8,0,39,0,68,38,0,18,0,10,9,3,31,0,12,53,302,0,141,9,2,0,10,0,0,0,0,69,54,0,0,0,0,10,8,346,0,84,20,0,5,6,0,12,0,26,33,56,7,6,32,0,6,26,76,65,0,11,0,11,2,0,21,82,6,378,0,15,7,0,5,6,228,116,5,9,28,34,89,52,433,4,80,43,0,85,17,15,91,3,38,4,16,103,22,7,44,0,94,388,0,36,68,54,0,0,105,6,0,34,149,0,0,10,17,58,42,0,3,0,13,0,0,2,0,37,75,0,0,40,0,97,44,16,147,59,8,0,0,6,10,0,0,126,4,69,5,68,0,8,4,0,5,0,3,0,0,0,3,152,0,92,0,7,7,34,0,7,23,0,30,66,85,0,0,0,0,0,0,0,81,1,0,0,60,40,37,0,7,44,0,1,0,0,0,1,6,0,29,117,3,0,11,2,3,17,36,383,12,5,64,8,0,0,0,0,2,0,6,0,9,40,0,0,105,0,3,22,0,0,31,42,0,0,451,72,0,0,49,58,7,318,0,11,12,32,4,0,261,23,0,37,25,317,26,23,10,18,4,67,30,56,0,0,15,22,16,8,0,77,0,7,56,0,0,13,16,1,142,0,0,87,14,0,164,0,5,8,0,9,35,4,76,48,166,11,38,102,32,184,3,7,6,0,0,0,23,39,98,0,0,4
"D5",9,22,15,0,0,0,0,4,0,0,0,0,8,0,0,2,0,22,0,0,5,0,4,3,0,0,14,0,0,10,0,0,29,0,0,0,0,0,0,5,0,0,0,2,0,2,676,0,0,0,0,4,14,0,0,0,0,0,0,204,3,0,2,13,0,4,0,0,0,0,0,0,151,0,0,0,0,3,0,0,2,0,0,0,0,0,6,116,0,0,0,2,0,0,0,0,5,0,9,0,0,0,0,0,80,0,0,10,0,0,0,4,0,0,0,32,0,0,2,0,12,7,12,2,0,0,0,1,0,0,35,0,0,0,0,13,0,0,15,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,11,0,4,0,0,0,0,0,2,0,0,0,0,16,0,34,24,0,0,0,0,0,0,0,0,0,0,279,0,4,0,0,0,0,0,0,0,0,4,18,0,2,0,4,0,0,0,0,75,6,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,31,0,0,0,0,0,0,0,0,6,0,67,0,0,5,45,0,5,0,0,0,0,0,13,0,0,18,14,6,0,0,2,0,12,0,0,0,0,0,30,1,0,0,0,11,0,4,0,0,99,0,0,4,0,0,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,12,0,0,54,0,0,0,0,0,0,0,0,3,0,0,0,100,40,0,8,0,0,0,3,14,0,0,0,0,0,0,0,0,6,0,1,0,19,0,0,0,0,20,0,0,3,181,0,0,4,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,12,0,0,26,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,3,0,0,2,0,11,0,0,0,0,143,11,0,0,3,0,0,0,0,0,18,0,0,2,352,3,0,5,2,0,3,5,0,19,0,5,16,0,4,0,0,0,0,0,0,2,0,0,1,0,0,58,0,1,0,0,0,2,0,0,20,0,25,0,0,6,0,0,14,0,287,2,6,3,0,0,0,0,5,0,0,0,0,15,0,0,0,45
"D6",2,76,0,0,0,0,0,0,0,5,1,6,0,0,2,11,0,18,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,40,0,2,0,4,0,0,0,0,0,10,0,60,0,0,0,0,7,0,0,0,0,0,2,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,49,10,0,0,2,0,0,0,0,52,0,14,0,0,0,0,4,38,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,9,0,0,0,0,2,5,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,2,0,0,255,0,0,10,2,0,0,0,0,0,0,19,14,0,0,0,0,20,3,0,0,0,2,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,72,1,0,0,2,0,0,0,0,0,5,68,0,0,1,0,0,14,0,0,0,0,0,7,0,0,0,0,35,0,7,0,0,9,17,3,0,0,0,65,21,0,0,0,2,0,0,1,25,8,0,0,16,0,0,47,0,0,0,1,0,1,84,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,7,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,10,59,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,1,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,128,88,6,0,0,0,0,26,0,0,40,0,6,2,19,26,0,0,1,0,0,2,0,2,0,27,3,0,0,0,0,0,4,0,5,5,0,0,4,0,0,68,0,7,3,0,0,4,0,0,20,0,0,0,0,16,32,0,0,0,6,0,0,7,0,0,0,0,1,0,0,0,2,104,0,0,4,0
"D7",2,3,0,353,0,0,41,0,3,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,16,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,21,2,12,8,0,0,0,0,3,2,0,30,0,0,0,22,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,6,107,0,1,0,1924,0,0,6,91,0,3,0,0,0,0,2,1,0,0,0,26,0,0,0,0,0,6,25,0,0,4,0,4,0,2,3,0,0,0,0,125,0,0,0,0,0,0,9,0,0,344,0,12738,0,0,0,0,0,15,2,0,2,0,25,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,2,2,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,2,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,519,0,91,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,9,4,0,0,5,2,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,23,0,5,0,0,0,0,18,0,2,0,27,0,0,0,0,59,3,0,0,0,0,0,0,13,5,0,1,31,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,7,2,0,7,0,0,0,0,0,0,0,4,159,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,2,0,0,0,0,0,3,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,19,24,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,13
"D8",0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3227,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,913,0,0,3,423,3,0,30,0,1,4,0,4,2,0,2,0,415,52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,2989,0,0,0,0,0,0,92,3,0,0,5,6,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,3,0,0,0,12,0,0,0,0,1,418,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,254,0,30,0,3,0,0,0,0,0,13,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,26,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,11,0,39,0,0,0,7,0,0,0,0,0,0,0,0,37,0,2,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,6,36,0,0,0,0,5,0,0,0,0,2,0,640,0,0,1,0,0,0,13,0,0,0,2,0,3057,0,0,0,0,0,0,0,0,0,14,1340,16,693,3,3,0,0,0,0,0,477,0,0,380,0,0,0,0,29,0,0,0,0,0,2,4,0,0,0,0,0,0,0,385,0,2407,1721,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,2,0,37,0,2,0,0,0,2,0,0,2,238,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,96,0,0,0,0,0,3,1484,0,0,2173,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2722,149,95,0,4,0,7,0,0
"D9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D10",1,0,0,230,11,0,692,0,0,0,0,0,0,0,0,0,0,3,0,32,3,0,0,0,0,0,0,0,0,2,4,0,0,0,9,0,0,0,2,0,0,0,0,0,347,1,0,0,0,0,0,0,0,0,5,3024,0,0,0,71,0,0,3,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23440,4488,0,8,47,0,0,0,0,0,0,0,0,0,0,0,31,0,9,184,0,0,41,1,0,0,0,0,0,0,2,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,8,0,9555,0,0,0,0,0,0,0,0,2,0,16,0,0,65,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,129,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,355,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,15,0,0,114,2,0,0,7,0,0,0,87,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,64,0,0,2,635,0,0,0,0,0,0,0,0,48,0,0,0,69,0,5,9,177,0,2,2,0,0,0,0,34,9,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,31,78,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,357,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,46,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,4,0,30
