"","otu643","otu2411","otu2824","otu3200","otu3914","otu3990","otu4298","otu4389","otu5031","otu5199","otu5301","otu5854","otu6411","otu6486","otu6720","otu6834","otu7142","otu8351","otu9874","otu10651","otu10990","otu13504","otu13674","otu14493","otu15474","otu16260","otu16518","otu16641","otu16643","otu17070","otu17862","otu19492","otu19728","otu20066","otu20120","otu20321","otu21063","otu21474","otu22058","otu22968","otu22980","otu22981","otu23062","otu23328","otu24141","otu24274","otu24353","otu24528","otu24642","otu25654","otu25983","otu27943","otu29183","otu29192","otu31413","otu32501","otu33780","otu34128","otu34816","otu35825","otu36139","otu36430","otu36535","otu36538","otu38090","otu38199","otu38625","otu39577","otu40576","otu40699","otu40932","otu42549","otu42763","otu43678","otu43787","otu43895","otu44558","otu45484","otu45911","otu45913","otu46031","otu46075","otu46143","otu47403","otu48046","otu50291","otu50877","otu51779","otu52804","otu53020","otu53612","otu53613","otu53868","otu54094","otu54454","otu54664","otu55336","otu55465","otu55649","otu55654","otu56002","otu56079","otu56423","otu57594","otu57638","otu57830","otu58736","otu60355","otu61039","otu61099","otu61217","otu63689","otu64106","otu64708","otu66141","otu66266","otu66489","otu66997","otu67689","otu67961","otu68427","otu68874","otu69986","otu70569","otu73605","otu74871","otu75030","otu75528","otu75640","otu75913","otu76106","otu76575","otu77042","otu77782","otu78374","otu78596","otu79099","otu79168","otu81005","otu81477","otu81748","otu81766","otu83212","otu84462","otu84911","otu86075","otu86137","otu86374","otu86820","otu87407","otu88716","otu89173","otu89921","otu91036","otu91075","otu91208","otu92456","otu93674","otu95014","otu95020","otu97538","otu99090","otu100234","otu100666","otu100915","otu101011","otu101556","otu101753","otu102811","otu102961","otu102976","otu103020","otu103748","otu104749","otu104813","otu107311","otu107337","otu108155","otu108477","otu108628","otu111102","otu112225","otu113180","otu114491","otu115012","otu115117","otu115295","otu115406","otu115490","otu115778","otu116241","otu116285","otu117100","otu117241","otu117386","otu117463","otu117685","otu117687","otu118289","otu118956","otu119213","otu119446","otu119930","otu120543","otu120851","otu120996","otu121514","otu122543","otu123163","otu124216","otu124785","otu126602","otu126841","otu128440","otu128492","otu129244","otu132182","otu132750","otu133358","otu135474","otu135538","otu135583","otu137989","otu138417","otu138568","otu139401","otu140763","otu140795","otu142090","otu144720","otu145558","otu145838","otu148198","otu149332","otu149387","otu150453","otu150615","otu151388","otu151695","otu151813","otu152865","otu153831","otu154548","otu155702","otu155725","otu155734","otu156770","otu157879","otu160105","otu160520","otu162439","otu162483","otu163488","otu163947","otu164706","otu165386","otu165410","otu165448","otu165976","otu166117","otu166343","otu166559","otu167491","otu168212","otu168383","otu168614","otu168693","otu170243","otu170591","otu171245","otu171375","otu171426","otu172447","otu173727","otu173926","otu173981","otu174199","otu174745","otu175915","otu175960","otu177022","otu177295","otu177525","otu177813","otu178207","otu180281","otu181240","otu181268","otu181894","otu182032","otu182434","otu183055","otu183788","otu184240","otu187218","otu187988","otu188738","otu189123","otu190213","otu191467","otu193671","otu194828","otu195408","otu195689","otu196789","otu196922","otu196925","otu197583","otu197621","otu197885","otu199122","otu199161","otu199402","otu200155","otu201243","otu201690","otu203368","otu205724","otu206523","otu207098","otu207159","otu207307","otu207496","otu207677","otu207948","otu208613","otu208692","otu210374","otu210754","otu210801","otu210858","otu214178","otu214479","otu215301","otu217464","otu218587","otu219248","otu219274","otu219668","otu221483","otu221867","otu222127","otu223372","otu224206","otu224444","otu224581","otu225044","otu225347","otu225698","otu226925","otu227541","otu227760","otu227820","otu228653","otu228958","otu229309","otu229484","otu230665","otu230801","otu231276","otu231417","otu231647","otu232045","otu233411","otu234013","otu234042","otu234279","otu234399","otu234623","otu235489","otu235765","otu236496","otu237226","otu237622","otu237758","otu238032","otu239064","otu240002","otu240183","otu240288","otu240630","otu241002","otu241315","otu241782","otu242039","otu242915","otu243689","otu243958","otu244184","otu244383","otu244389","otu244693","otu244981","otu245136","otu245411","otu245615","otu246106","otu248837","otu249946","otu250594","otu251163","otu251239","otu251532","otu252305","otu253107","otu254131","otu254232","otu254910","otu255644","otu255728","otu255751","otu256267","otu256429","otu257163","otu257256","otu257742","otu258118","otu259902","otu260122","otu260203","otu261401","otu261723","otu263295","otu264772","otu265083","otu265125","otu265516","otu266181","otu266395","otu266417","otu267460","otu267538","otu267893","otu268092","otu268193","otu268361","otu270847","otu275566","otu276077","otu276830","otu277058","otu277402","otu277778","otu277908","otu278327","otu279863","otu280657","otu280946","otu282334","otu282540","otu282797","otu282960","otu284076","otu284898","otu285351","otu285371","otu285676","otu288120","otu288164","otu288562","otu288683","otu289928","otu290028","otu290249","otu290349","otu290794","otu291012","otu291721","otu291944","otu291989","otu292589","otu292933","otu293912","otu295753","otu295890","otu295992","otu297223","otu297683","otu297749","otu299267","otu299541","otu299581","otu300409","otu300568","otu302096","otu302225","otu302691","otu303019","otu303344","otu303909","otu304184","otu304795","otu305893","otu307179","otu307765","otu308261","otu308285","otu308757","otu309351","otu309779","otu309826","otu312312","otu312360","otu312748","otu312771","otu314549","otu314888","otu315975","otu316782","otu316965","otu317409","otu317458","otu317514","otu317655","otu318225","otu318627","otu318690","otu319077","otu319975","otu320506","otu320992","otu321120","otu321556","otu322018","otu324167","otu324739","otu324954","otu325184","otu325357","otu326323","otu326881","otu327540","otu328319","otu329524"
"D1",0,0,52,0,0,9,0,96,257,0,15,0,0,48,116,44,87,4,1561,0,33,70,0,0,0,52,3,0,0,325,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,211,0,0,0,0,0,0,0,0,205,0,42,0,0,2,7,0,0,0,7,0,5,0,0,0,0,0,0,321,22,0,0,0,0,0,0,0,0,8,0,0,0,0,340,0,0,0,67,0,0,0,402,0,3,0,0,0,0,0,0,0,0,0,80,0,0,1465,11,0,0,0,0,12,6,0,0,0,14,0,0,22,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,208,1578,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,340,0,0,336,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,101,51,0,0,0,13,0,33,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,4,0,8,7,0,0,0,0,0,336,0,0,1576,0,0,35,0,0,0,0,0,25,0,143,1734,0,0,0,0,0,0,6,0,15,0,0,253,15,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,10,0,0,799,317,0,0,0,0,0,0,3012,0,0,0,0,7,0,0,0,0,0,0,0,0,18,0,29,0,70,0,0,0,0,0,0,0,3,1442,0,0,0,25,0,0,17,0,0,5,1079,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,118,0,0,13,0,0,0,190,0,0,0,121,0,0,30,0,0,0,0,0,2295,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,310,0,0,31,0,16,0,0,0,0,0,0,8,43,0,0,0,0,0,0,0,0,77,0,0,36,0,0,0,0,9,0,8,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,128,6,0,0,0,72,0,7,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,157,0,58,0,0,24,8,0,24,7,79,68,6,0,0,0,151,0,3,28,0,0,0,0,19,19,36,44,0,0,0,0,0,0
"D2",0,4,1,0,0,0,3,4,33,0,10,0,27,69,29,8,22,46,12,0,0,26,0,0,0,0,0,0,0,196,7,0,0,5,3,60,0,0,6,0,18,30,0,0,209,7,0,91,1,19,10,3,0,2,0,0,0,0,0,77,0,441,1,59,0,0,0,75,0,17,4,91,0,0,14,0,40,0,45,0,5,0,4,32,0,40,429,3,0,17,37,45,61,9,0,61,0,0,6,369,0,6,0,7,0,0,0,0,0,511,6,69,7,0,19937,43,0,0,8,0,8,3,14,0,0,61,248,0,406,47,0,5,25,48,0,0,0,0,38,0,0,0,0,83,55,13,5,7,0,0,0,0,0,0,0,9,6,0,4,328,0,12,20,0,0,0,12,0,10,2,0,0,0,0,0,0,13,339,0,16,7,0,8,0,0,0,17,11,30,0,0,0,5,2,0,0,0,0,0,0,0,7,6,2,0,71,0,0,11,0,0,0,5,0,8,111,1,55,2,8,0,0,0,0,8,0,3,9,10,8,24,81,0,2,0,0,8,343,0,2,3,0,4,0,4,0,0,0,2,3,0,1,0,2,381,0,69,1,0,0,61,66,0,14,0,10,533,2,1,3,0,485,0,15,0,55,0,0,284,27,10,10,5,0,0,3,0,38,3,0,0,0,0,5,0,0,1,5,0,2,52,0,0,680,0,76,0,0,257,56,0,0,0,0,7,0,0,0,7,36,0,51,5,0,11,0,0,43,0,0,0,42,3,0,0,196,3,0,0,49,37,2,63,11,8,3,52,0,0,33,5,1353,27,640,1,0,11,0,12,0,0,0,0,0,7,7,0,0,143,18,0,1,7,0,3,19,11,0,29,12,6,0,0,0,21,580,27,0,0,4,3,0,17,0,0,0,8,154,0,3,0,0,0,0,1,105,2,8,0,0,0,0,9,32,0,4,0,66,0,0,0,0,0,0,0,8,0,0,331,0,2,22,3,2,129,0,0,19,5,23,0,0,0,0,0,18,135,0,0,0,0,0,6,2,0,0,2,2,4,0,0,24,0,0,0,0,0,18,67,0,61,0,1,0,0,0,0,11,0,0,0,4,5,0,266,0,13,0,0,0,3004,16,0,23,0,31,0,0,14,12,14,8,145,0,36,36,70,0,0,61,13,0,141,3,32,4,160,0,0,9,28,0,0,26,56,23,28,84,0,0,3,0,0,0
"D3",42,3,0,16,0,5,88,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,81,17,29,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,256,0,22,0,0,0,29,5,0,0,91,0,0,0,0,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,0,0,0,0,0,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,3,0,0,0,0,0,0,5,0,2,0,0,383,0,13,0,0,5,0,0,2,0,0,0,0,0,7,0,0,0,0,61,0,0,0,0,0,0,0,290,14,0,11,0,48,0,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,15,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,9,0,0,14,183,0,0,0,0,0,0,7,0,0,4,94,0,0,0,1,0,1170,0,0,1,0,0,0,0,0,0,0,0,6,0,42,0,0,60,0,0,0,1050,0,0,0,0,65,0,93,0,71,0,27,1087,0,0,0,0,0,0,3,0,0,6,0,0,0,0,28,0,0,49,596,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,69,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,185,0,0,0,115,12,0,0,0,0,0,23,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,1,0,0,0,0,0,0,1686,0,0,8,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0
"D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,3,0,0,0,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6787,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,19,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,0,2,0
"D5",4,36,12,0,0,0,0,0,2,0,0,0,4,0,8,0,0,0,0,0,13,3,12,0,3,33,0,2,8,0,7,0,3,0,0,0,9,2,4,0,45,2,5,0,4,28,0,18,0,0,0,0,0,14,3,0,0,19,0,6,0,0,20,5,0,0,0,4,0,0,7,0,0,0,0,0,6,10,0,4,3,25,0,0,0,0,0,2,0,3,0,6,10,3,0,0,0,0,14,165,0,3,0,0,2,5,0,0,0,13,9,0,16,0,0,0,2,32,0,0,0,0,10,0,0,0,0,0,0,0,58,3,0,8,0,0,1,1,15,8,4,0,0,0,0,0,0,0,8,3,9,0,0,10,0,2,0,0,24,0,0,0,5,3,0,0,0,2,3,8,12,0,0,0,1,2,0,2,24,0,0,0,4,0,44,2,0,4,0,2,0,7,0,13,0,0,0,0,10,5,4,2,2,0,0,0,186,20,0,78,1,0,4,0,0,0,0,1,0,5,87,38,0,0,0,2,0,4,0,5,0,2,0,0,0,0,4,5,0,11,0,0,4,0,1,0,71,0,6,0,0,2,3,8,73,0,0,4,7,0,0,2,0,10,19,1,0,0,0,0,5,16,7,0,16,15,10,0,0,6,10,2,5,4,0,61,37,2,0,0,0,0,14,0,0,0,1,0,4,12,0,14,0,0,0,0,32,0,0,0,0,2,0,2,24,0,0,3,0,0,2,4,6,2,0,0,34,0,0,3,0,0,0,0,0,3,0,0,0,0,0,81,4,29,0,0,0,0,9,0,1,0,0,0,0,5,0,71,11,0,0,0,0,83,0,0,0,0,0,21,0,0,0,0,0,0,2,145,0,4,0,0,4,7,0,2,9,0,0,0,0,0,1,0,9,65,0,0,26,0,20,3,8,0,0,4,0,0,6,0,0,0,0,47,0,0,0,13,0,6,0,23,0,0,0,0,0,17,0,0,9,0,1,0,0,6,0,2,6,2,0,0,0,0,0,0,591,41,3,0,5,7,4,5,7,4,0,44,5,1,4,0,113,0,0,5,10,0,44,4,0,12,7,11,0,4,0,0,0,0,6,7,0,8,22,0,3,0,2,5,0,0,0,0,34,37,0,0,17,0,0,0,50,0,0,0,0,13,23,0,0,84,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,143,0,3,16,15,21,0
"D6",2,56,0,0,7,7,0,0,4,25,4,10,0,7,26,7,0,0,0,37,68,11,68,0,21,242,0,0,10,209,18,0,89,9,11,33,0,0,44,0,109,0,24,0,5,31,0,11,32,0,7,0,6,53,8,10,118,142,0,13,0,0,45,11,0,0,0,1,0,4,35,20,4,0,1,3,83,0,0,0,3,89,0,0,0,4,4,34,0,9,0,13,48,8,0,0,0,0,20,314,0,2,0,0,33,29,7,0,0,0,64,2,126,1,0,0,14,26,0,0,9,3,135,0,0,0,0,0,0,4,27,33,0,84,4,0,17,32,76,23,0,26,2,0,0,36,4,33,13,13,35,5,0,84,0,4,0,76,3,38,0,0,37,20,10,7,8,15,9,16,21,0,0,0,0,7,0,0,8,30,35,0,21,0,68,468,9,3,5,2,2,0,1,5,11,7,0,0,10,3,19,15,3,17,0,0,6831,3,0,299,5,1,0,0,1,0,0,0,38,20,351,77,0,0,1,8,3,164,0,101,9,14,0,15,0,0,91,0,83,0,0,25,4,0,8,3,43,11,11,27,22,13,18,22,346,0,7,3,11,4,6,0,2,4,7,22,168,3,13,3,0,31,69,76,48,62,154,0,0,30,139,1,0,0,0,55,88,3,0,0,28,0,6,2,0,0,101,176,67,8,41,226,0,9,0,22,204,0,51,5,20,45,0,18,94,0,0,13,0,1,21,6,84,19,2,0,23,0,26,1,14,0,350,3,8,21,58,0,11,0,0,410,2,138,0,44,0,0,2,0,2,0,0,0,0,2,0,148,33,5,0,0,0,189,6,2,0,0,5,20,0,5,16,0,3,5,10,305,4,4,0,0,29,9,0,5,12,0,0,0,22,7,1,0,99,706,0,2,63,0,29,0,21,0,0,4,6,0,82,5,61,0,3,78,0,12,2,14,0,3,55,30,0,0,0,0,0,83,0,13,42,0,2,0,2,88,0,2,1,3,0,16,0,0,0,0,1123,716,7,0,0,2,8,55,94,33,0,41,9,17,22,0,56,0,0,0,0,82,57,8,64,74,8,18,0,30,30,0,16,0,101,16,0,24,92,0,5,2,3,13,0,3,97,7,8,318,0,0,61,33,22,26,126,0,3,5,0,37,51,0,0,35,0,0,12,0,0,20,0,0,33,0,0,6,0,0,6,575,16,7,0,0,32,31
"D7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D8",3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,23,94,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,0,0,566,0,0,0,6,0,0,0,0,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"D9",0,0,0,0,0,0,0,0,0,59,0,4,0,342,48,0,0,181,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,4,11,50,0,0,0,44,18,0,45,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,65,0,0,2258,5,0,0,0,0,0,0,0,0,0,13,0,0,819,37,0,18,113,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,8,0,0,0,0,0,5,0,0,0,0,0,833,0,0,120,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,0,13,0,0,0,19,12,0,0,0,329,0,0,0,0,12,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,104,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,65,0,86,0,0,0,0,0,0,0,0,0,3,0,0,0,37,0,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,16,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,27,0,0,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,39,0,234,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,12,0,2,29,0,0,0,42,0,0,0,0,0,0,0,0,2,185,0,0,0,0,0,0,0
"D10",0,5,4,0,0,0,0,373,8,0,0,11,0,6,0,0,652,0,0,0,0,12,0,0,0,0,0,47,0,447,1,0,0,15,43,0,6,122,0,0,0,324,10,0,2,0,0,101,71,7,6,0,51,0,0,0,0,11,0,16,0,0,0,0,0,35,0,14,0,32,1,112,0,1,3,0,139,17,0,0,2,0,0,12,2,6,4,36,0,10,0,0,0,2,5,0,0,0,9,0,3,5,0,0,0,16,0,0,0,3,2,4,0,0,38,1,0,0,0,0,0,8,29,0,3,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,0,8,29,0,0,88,2,10,1,0,0,0,0,0,4,8,0,0,5,0,8,26,0,0,11,0,32,50,11,0,23,0,7,0,12,0,0,0,11,21,3,2,459,0,26,0,33,35,0,0,0,0,10,0,0,0,0,0,0,3,0,0,5,5,0,0,0,0,145,0,24,12,0,0,139,4,0,7,0,0,0,0,0,0,0,0,71,0,0,0,0,40,0,10,0,0,0,0,0,0,3,0,54,0,0,0,0,0,70,43,0,50,0,0,13,0,0,0,3,0,0,0,0,0,48,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,274,0,38,0,0,190,0,3,2,0,31,0,2,22,0,0,359,220,7,0,0,284,0,298,0,0,0,0,0,0,0,0,0,31,133,0,0,0,16,0,0,5,385,13,6,0,0,13,0,0,0,50,248,5,4,0,1,0,0,0,0,54,3,124,3,2,217,0,0,0,0,2,7,0,0,8,0,149,2,0,0,0,0,0,9,0,0,0,0,42,0,0,7,0,19,0,0,0,0,0,5,15,0,0,0,2,3,0,0,0,0,0,0,0,61,291,0,2,0,0,51,0,0,2,2,10,51,0,0,0,0,0,13,0,0,6,0,873,0,0,77,0,3,8,3,0,0,13,0,31,26,0,0,0,6,214,0,0,0,11,0,0,0,0,0,0,1941,0,1,0,0,2,7,74,281,0,13,110,67,0,0,0,0,0,0,0,30,273,31,0,8,9,16,3,0,18,0,0,0,0,0,11,31,2,17,10,40,2,6,0,0,0,0,10,0,52,0,0,262,0,33,38,252,0,0,14,0,27,0,0,0,16,1,9,0,0,0,43,156,267,3,0,19,13,0,3,0,1002,0,0,0,19,0,0
