"","otu643","otu2411","otu2824","otu3990","otu4298","otu4389","otu5031","otu5854","otu6411","otu6486","otu7142","otu9874","otu10990","otu13504","otu17070","otu17862","otu19492","otu22058","otu22981","otu23062","otu24141","otu24528","otu24642","otu25983","otu33780","otu34128","otu35825","otu36535","otu36538","otu38625","otu39577","otu40932","otu42549","otu42763","otu43678","otu44558","otu45911","otu45913","otu47403","otu50291","otu50877","otu53020","otu53613","otu53868","otu54454","otu54664","otu55649","otu55654","otu56423","otu57830","otu58736","otu60355","otu61099","otu61217","otu63689","otu66141","otu69986","otu73605","otu75913","otu76106","otu77042","otu77782","otu81005","otu81766","otu84462","otu84911","otu86374","otu87407","otu91075","otu91208","otu92456","otu95014","otu99090","otu100234","otu100915","otu101011","otu101753","otu102811","otu103020","otu103748","otu104813","otu108155","otu108628","otu111102","otu112225","otu113180","otu115012","otu115295","otu117241","otu117685","otu120543","otu120851","otu121514","otu124216","otu129244","otu132182","otu135583","otu137989","otu138568","otu140795","otu144720","otu145838","otu149387","otu151388","otu160105","otu162439","otu162483","otu164706","otu165410","otu166343","otu168212","otu168693","otu171426","otu173727","otu173981","otu177022","otu180281","otu181268","otu183788","otu184240","otu187218","otu188738","otu189123","otu190213","otu194828","otu195408","otu195689","otu196789","otu196922","otu196925","otu197621","otu197885","otu199122","otu200155","otu201243","otu205724","otu207098","otu207307","otu207496","otu208692","otu210374","otu210801","otu214479","otu218587","otu219668","otu221483","otu221867","otu222127","otu223372","otu224206","otu224581","otu226925","otu227760","otu227820","otu230665","otu230801","otu231417","otu233411","otu234399","otu235489","otu237226","otu240288","otu240630","otu241002","otu242915","otu243689","otu244693","otu245136","otu245411","otu245615","otu248837","otu251163","otu251239","otu251532","otu253107","otu254131","otu257163","otu259902","otu260122","otu260203","otu261401","otu263295","otu264772","otu266181","otu266417","otu267460","otu267538","otu268193","otu276830","otu277908","otu279863","otu280657","otu282960","otu284076","otu285351","otu288120","otu288164","otu288683","otu290028","otu290249","otu290794","otu291012","otu291721","otu291944","otu291989","otu292589","otu293912","otu297749","otu300568","otu302096","otu302225","otu302691","otu303909","otu304184","otu304795","otu307179","otu308261","otu309351","otu309826","otu312360","otu312748","otu312771","otu315975","otu317458","otu317514","otu320506","otu320992","otu321556","otu322018","otu324167","otu325184","otu326881","otu328319"
"D1",0,3,8,0,3,3,25,5,12,37,10,0,0,5,76,36,157,4,5,0,47,23,2,0,0,0,7,6,32,0,15,1,80,0,517,4,5,70,21,39,25,13,4,117,504,0,4,0,4,0,0,0,44,0,11,765,4,22,42,0,1,20,21,3,0,88,15,0,0,4,0,7,23,46,6,0,0,3,3,887,48,72,11,3,11,5,0,6,0,1,2,0,0,31,125,2,0,0,16,0,13,63,22,4,0,1,0,55,5,4,2,71,28,10,71,3,5,5,0,0,2,23,1,76,0,79,124,7,69,0,3,12,38,1,8,0,33,69,53,0,1,0,2,23,0,13,4,0,62,61,2,58,154,309,11,0,0,0,458,3,0,0,11,868,3,3,0,269,3,2,9,29,1,0,75,9,21,0,0,0,103,1186,1880,0,6,13,37,86,23,63,8,26,4,0,5,11,7,0,0,0,3,3,64,22,2,4,2,0,1,53,1275,10,0,134,19,2,30,0,6,45,1,2,0,0,44,46,11,2662,68,0,20,2,0
"D2",0,0,2,0,78,10,4,7,24,2,23,0,0,3,61,46,1282,0,16,0,0,0,0,31,0,0,4,0,23,0,24,0,91,8,0,8,19,363,59,5,10,0,0,34,0,7,13,0,0,7,0,0,9,0,5,1315,2,0,47,0,4,4,75,0,0,191,0,0,0,3,0,3,5,7,0,0,0,4,24,0,11,16,13,0,0,9,4,1,2,0,0,0,0,0,31,3,0,0,0,0,1,35,0,0,0,0,0,36,62,0,5,49,44,15,0,8,0,7,0,0,4,3,7,24,0,0,910,0,17,0,16,116,3,3,0,0,18,51,3,6,7,0,5,44,0,4,52,3,28,11,7,21,0,10,6,0,19,0,135,14,9,0,6,0,9,79,0,2,2,5,0,313,0,1,28,54,26,4,0,0,132,9,0,0,0,3,5,0,18,3,112,26,6,5,9,4,7,0,0,0,0,0,28,21,0,0,9,0,4,8,0,2,0,22,4010,4,8,36,6,43,0,14,0,3,13,5,0,6,4,209,38,47,136
"D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"D4",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,17,0,8,0,588,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,341,70,0,0,2,0,0,0,0,0,0,0,0,174,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1434,0,0,0
"D5",4,34,0,4,0,76,0,15,0,9,0,0,149,22,219,13,0,152,17,48,18,0,41,1,63,166,86,280,21,0,2,22,3,4,0,373,0,1,0,8,6,1,149,19,0,0,0,370,0,37,0,0,0,16,7,0,93,0,0,26,0,32,30,17,0,0,114,0,0,14,0,26,2,2,18,0,1,12,0,0,71,0,42,19,0,60,53,14,2,0,0,0,2072,398,7,0,74,0,0,117,61,17,0,0,0,0,68,496,0,0,0,3,1,171,151,159,46,24,2,9,0,0,38,27,482,0,8,0,0,661,39,0,0,86,157,5,0,0,157,23,0,6,160,47,0,0,0,160,13,36,19,0,0,0,57,6,0,99,0,8,1,44,0,0,7,13,0,0,49,78,0,0,0,0,0,6,6,27,2,0,17,0,0,107,6,34,0,20,6,0,0,827,34,22,208,35,34,51,181,0,34,27,17,82,19,257,8,0,3,141,0,38,15,0,0,49,146,21,19,161,0,0,35,35,12,0,19,0,16,0,722,0,6
"D6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5541,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,49073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
"D7",2,18,223,6,0,0,0,0,0,4,0,0,0,0,113,0,0,0,0,0,0,8,39,26,0,37,39,0,39,0,17,99,15,0,0,0,0,14,0,0,0,0,19,0,0,0,0,104,0,0,4,0,0,6,0,0,0,4,0,53,0,1,194,0,0,0,0,0,0,0,36,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,28,184,0,0,0,41,298,0,0,0,58,0,54,0,607,0,0,91,0,0,442,911,0,0,0,0,0,0,82,0,0,3,0,0,54,0,491,32,0,0,0,0,0,172,368,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,62,0,0,0,0,41,0,141,17,7380,1733,0,0,0,0,192,0,0,53,18,0,0,0,0,0,43,0,0,0,25,90,0,0,0,0,0,8,59,16,0,0,0,0,0,199,0,0,5,23,0,0,2,0,0,0,88,267,0,0,0,30,0,50,33027,0,33,0,8,16,54,100,0,484,25,2,0,26,15,0,0,0,0,0,382,2008,0
"D8",11,0,0,8,1166,0,6,0,0,0,0,103,0,0,0,0,31,3,0,0,0,0,119,5,9,2,0,0,6,1,0,0,0,1,0,5,0,0,0,0,0,15,0,0,0,0,0,0,2443,0,19,344,0,0,9,0,0,0,0,0,1,0,10,0,317,0,0,0,63,0,5448,0,0,69,0,15,11,16,84,0,0,0,0,0,0,0,7,0,0,301,0,14,17,0,0,1704,0,0,0,5,0,1,2434,1119,0,11,0,19,87,48,4,0,0,0,55,0,0,0,0,0,3,0,5,5937,0,0,3,0,69,0,0,3,0,0,0,18,0,0,0,3,0,10,0,0,6,0,3,1,0,0,0,2,0,0,0,3,0,0,1,4,0,0,0,0,3,12,14,0,0,0,0,0,73,191,0,0,51,1,0,2,14,0,0,0,0,0,0,4,2,0,20,10,0,0,2,0,0,0,0,181,1305,0,0,0,0,0,0,0,0,0,2,9,0,0,21,0,0,0,0,0,0,14,2,0,0,0,0,4,0,6,0,0,0
"D9",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"D10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
