source_otu	target_otu	target
otu21474	otu23062	otu69986
otu263295	otu245136	otu291721
otu263295	otu245136	otu312360
otu263295	otu245136	otu69986
otu263295	otu245136	otu288120
otu263295	otu245136	otu55654
otu263295	otu245136	otu267460
otu263295	otu245136	otu282960
otu263295	otu245136	otu245411
otu263295	otu245136	otu308261
otu263295	otu245136	otu67104
otu263295	otu245136	otu23062
otu263295	otu245136	otu291012
otu263295	otu245136	otu172447
otu263295	otu245136	otu299541
otu263295	otu245136	otu188667
otu263295	otu245136	otu188738
otu263295	otu245136	otu239064
otu263295	otu245136	otu168614
otu263295	otu245136	otu285351
