source_otu	target_otu	target
otu103748	otu54454	otu312360
otu308757	otu282540	otu312360
otu103748	otu45911	otu66141
otu103748	otu54454	otu251163
otu308757	otu282540	otu17070
otu103748	otu54454	otu224206
otu103748	otu54454	otu164706
otu103748	otu54454	otu230665
otu103748	otu54454	otu309351
otu103748	otu54454	otu259902
otu103748	otu54454	otu268361
otu312360	otu214479	otu194828
otu308757	otu282540	otu22981
otu103748	otu54454	otu55654
otu103748	otu54454	otu124216
otu103748	otu54454	otu291944
otu103748	otu54454	otu291721
otu103748	otu54454	otu113180
otu103748	otu45911	otu312360
otu280657	otu288120	otu66141
