source_otu	target_otu	target
otu103748	otu54454	otu312360
otu103748	otu54454	otu325184
otu103748	otu54454	otu288120
otu103748	otu54454	otu245411
otu103748	otu54454	otu214479
otu103748	otu54454	otu194828
otu103748	otu54454	otu189123
otu103748	otu54454	otu291944
otu103748	otu54454	otu69986
otu103748	otu54454	otu42549
otu325184	otu245411	otu66141
otu103748	otu54454	otu86075
otu103748	otu54454	otu280657
otu103748	otu54454	otu291721
otu103748	otu54454	otu259902
otu103748	otu54454	otu64106
otu103748	otu54454	otu180281
otu103748	otu54454	otu222127
otu103748	otu54454	otu124216
otu103748	otu54454	otu115295
