source_otu	target_otu	target
otu302225	otu39875	otu291721
otu245136	otu54454	otu69986
otu245136	otu54454	otu285351
otu55654	otu69986	otu312360
otu245136	otu54454	otu55654
otu245136	otu54454	otu325184
otu60355	otu203368	otu149387
otu245136	otu54454	otu208692
otu285351	otu69986	otu208692
otu245136	otu54454	otu259902
otu321556	otu54454	otu312360
otu188738	otu69986	otu245136
otu321556	otu54454	otu291944
otu245136	otu54454	otu180281
otu245136	otu54454	otu194828
otu245136	otu54454	otu245411
otu245136	otu54454	otu224206
otu55654	otu285351	otu180281
otu188738	otu69986	otu100234
otu245136	otu54454	otu173727
