source_otu	target_otu	target
otu312360	otu285351	otu103748
otu121514	otu222127	otu124216
otu312360	otu285351	otu245136
otu312360	otu285351	otu26532
otu312360	otu285351	otu14883
otu259902	otu285351	otu312360
otu302225	otu241002	otu312360
otu302225	otu166251	otu195408
otu308757	otu296007	otu282540
otu195408	otu54454	otu234399
otu312360	otu285351	otu234399
otu227760	otu54454	otu251163
otu312360	otu285351	otu304795
otu227760	otu54454	otu42549
otu280657	otu188738	otu66141
otu302225	otu54454	otu245136
otu325184	otu17070	otu261401
otu312360	otu285351	otu242237
otu312360	otu285351	otu241002
otu227760	otu54454	otu291721
