source_otu	target_otu	target
otu302225	otu241002	otu291721
otu302225	otu241002	otu325184
otu302225	otu241002	otu69986
otu302225	otu241002	otu312360
otu302225	otu241002	otu214479
otu302225	otu241002	otu55654
otu302225	otu241002	otu285351
otu302225	otu241002	otu230665
otu302225	otu241002	otu115012
otu302225	otu241002	otu177022
otu302225	otu241002	otu57830
otu302225	otu241002	otu309351
otu302225	otu241002	otu245411
otu103748	otu241002	otu17070
otu103748	otu241002	otu302691
otu302225	otu241002	otu189123
otu302225	otu241002	otu81766
otu103748	otu241002	otu113180
otu302225	otu241002	otu115295
otu302225	otu241002	otu259902
