source_otu	target_otu	target
otu204904	otu217464	otu280657
otu255644	otu7081	otu55654
otu53868	otu217464	otu69986
otu135538	otu151695	otu325184
otu280657	otu245615	otu288120
otu280657	otu77782	otu62850
otu222127	otu255644	otu165410
otu21474	otu53868	otu77782
otu241002	otu227760	otu77782
otu149387	otu117685	otu40576
otu149387	otu60355	otu77782
otu255644	otu7081	otu17070
otu222127	otu255644	otu214479
otu227760	otu242237	otu177022
otu302225	otu73605	otu177022
otu121514	otu93123	otu189123
otu241002	otu227760	otu177022
otu245136	otu54454	otu17070
otu227760	otu242237	otu69986
otu227760	otu242237	otu280657
