strategy,env,condition,baseline,jaccard
OTU_filtering,Soil_(non-saline),20%,10%,0.03716687248536032
OTU_filtering,Soil_(non-saline),10%,10%,1.0
OTU_filtering,Soil_(non-saline),30%,10%,0.00061975788125439
OTU_filtering,Water_(non-saline),20%,10%,0.036227272727272726
OTU_filtering,Water_(non-saline),30%,10%,0.0015326149852212126
OTU_filtering,Water_(non-saline),10%,10%,1.0
OTU_filtering,Surface_(non-saline),20%,10%,0.024109333961689437
OTU_filtering,Surface_(non-saline),30%,10%,0.00020733000420583724
OTU_filtering,Surface_(non-saline),10%,10%,1.0
OTU_filtering,Animal_distal_gut,20%,10%,0.1290832583367791
OTU_filtering,Animal_distal_gut,30%,10%,0.006393695033795245
OTU_filtering,Animal_distal_gut,10%,10%,1.0
OTU_filtering,Animal_surface,10%,10%,1.0
OTU_filtering,Animal_surface,20%,10%,0.04018028385116993
OTU_filtering,Animal_surface,30%,10%,0.0005228758169934641
OTU_filtering,Plant_surface,10%,10%,1.0
OTU_filtering,Plant_surface,20%,10%,0.007289793594701361
OTU_filtering,Plant_surface,30%,10%,2.1154469939498215e-05
OTU_filtering,Sediment_(non-saline),20%,10%,0.0052995858793547825
OTU_filtering,Sediment_(non-saline),30%,10%,4.891314981119524e-06
OTU_filtering,Sediment_(non-saline),10%,10%,1.0
OTU_filtering,Plant_rhizosphere,10%,10%,1.0
OTU_filtering,Plant_rhizosphere,20%,10%,0.008195852080776864
OTU_filtering,Plant_rhizosphere,30%,10%,1.0275485773589947e-05
OTU_filtering,Sediment_(saline),10%,10%,1.0
OTU_filtering,Sediment_(saline),20%,10%,0.06301561047945274
OTU_filtering,Sediment_(saline),30%,10%,0.0005500760706464786
OTU_filtering,Water_(saline),30%,10%,0.0008532539383569415
OTU_filtering,Water_(saline),10%,10%,1.0
OTU_filtering,Water_(saline),20%,10%,0.09982340445498519
OTU_filtering,Animal_secretion,10%,10%,1.0
OTU_filtering,Animal_secretion,30%,10%,6.512773656213666e-05
OTU_filtering,Animal_secretion,20%,10%,0.012782019871033685
OTU_filtering,Animal_proximal_gut,20%,10%,0.0029622727246581882
OTU_filtering,Animal_proximal_gut,30%,10%,1.159430371858306e-05
OTU_filtering,Animal_proximal_gut,10%,10%,1.0
