strategy,env,condition,baseline,retention
OTU_filtering,Animal_distal_gut,10%,10%,1.0
OTU_filtering,Animal_distal_gut,20%,10%,0.0
OTU_filtering,Animal_distal_gut,30%,10%,0.0
OTU_filtering,Animal_proximal_gut,10%,10%,1.0
OTU_filtering,Animal_proximal_gut,20%,10%,0.0
OTU_filtering,Animal_proximal_gut,30%,10%,0.0
OTU_filtering,Animal_secretion,10%,10%,1.0
OTU_filtering,Animal_secretion,20%,10%,0.0
OTU_filtering,Animal_secretion,30%,10%,0.0
OTU_filtering,Animal_surface,10%,10%,1.0
OTU_filtering,Animal_surface,20%,10%,0.05
OTU_filtering,Animal_surface,30%,10%,0.0
OTU_filtering,Plant_rhizosphere,10%,10%,1.0
OTU_filtering,Plant_rhizosphere,20%,10%,0.0
OTU_filtering,Plant_rhizosphere,30%,10%,0.0
OTU_filtering,Plant_surface,10%,10%,1.0
OTU_filtering,Plant_surface,20%,10%,0.0
OTU_filtering,Plant_surface,30%,10%,0.0
OTU_filtering,Sediment_(non-saline),10%,10%,1.0
OTU_filtering,Sediment_(non-saline),20%,10%,0.0
OTU_filtering,Sediment_(non-saline),30%,10%,0.0
OTU_filtering,Sediment_(saline),10%,10%,1.0
OTU_filtering,Sediment_(saline),20%,10%,0.15
OTU_filtering,Sediment_(saline),30%,10%,0.0
OTU_filtering,Soil_(non-saline),10%,10%,1.0
OTU_filtering,Soil_(non-saline),20%,10%,0.05
OTU_filtering,Soil_(non-saline),30%,10%,0.0
OTU_filtering,Surface_(non-saline),10%,10%,1.0
OTU_filtering,Surface_(non-saline),20%,10%,0.0
OTU_filtering,Surface_(non-saline),30%,10%,0.0
OTU_filtering,Water_(non-saline),10%,10%,1.0
OTU_filtering,Water_(non-saline),20%,10%,0.05
OTU_filtering,Water_(non-saline),30%,10%,0.0
OTU_filtering,Water_(saline),10%,10%,1.0
OTU_filtering,Water_(saline),20%,10%,0.05
OTU_filtering,Water_(saline),30%,10%,0.0
