source_otu	target_otu	target
otu103748	otu45911	otu280657
otu103748	otu45911	otu164706
otu103748	otu45911	otu291721
otu103748	otu45911	otu214479
otu103748	otu45911	otu55654
otu103748	otu45911	otu22058
otu103748	otu45911	otu188738
otu103748	otu45911	otu285351
otu325184	otu259902	otu312360
otu103748	otu45911	otu312360
otu103748	otu45911	otu308261
otu103748	otu45911	otu259902
otu188738	otu22058	otu164706
otu103748	otu45911	otu42549
otu103748	otu45911	otu5199
otu103748	otu45911	otu257163
otu103748	otu45911	otu67104
otu103748	otu45911	otu325184
otu103748	otu45911	otu180281
otu103748	otu45911	otu177022
