source_otu	target_otu	target
otu231461	otu57830	otu231276
otu191467	otu173727	otu22981
otu149387	otu203368	otu173727
otu312360	otu57830	otu78308
otu115295	otu54094	otu135538
otu214479	otu115295	otu45484
otu312360	otu57830	otu54454
otu312360	otu57830	otu103748
otu312360	otu57830	otu149387
otu115295	otu54094	otu196925
otu312360	otu57830	otu277908
otu312360	otu57830	otu321556
otu214479	otu57830	otu276830
otu66141	otu302225	otu124216
otu312360	otu57830	otu302225
otu312360	otu57830	otu56423
otu312360	otu57830	otu241002
otu66141	otu302225	otu259902
otu149387	otu203368	otu312360
otu321556	otu103748	otu312360
