source_otu	target_otu	target
otu263295	otu241002	otu17070
otu55654	otu245615	otu312360
otu55654	otu245615	otu66141
otu263295	otu241002	otu55654
otu308757	otu282540	otu168693
otu263295	otu241002	otu280657
otu263295	otu241002	otu124216
otu263295	otu241002	otu194828
otu263295	otu241002	otu325184
otu263295	otu241002	otu255644
otu263295	otu241002	otu320992
otu263295	otu241002	otu69986
otu263295	otu241002	otu188738
otu263295	otu241002	otu245615
otu55654	otu245615	otu69986
otu263295	otu241002	otu57830
otu263295	otu241002	otu239064
otu263295	otu241002	otu53613
otu263295	otu241002	otu245411
otu282540	otu268092	otu243958
