source_otu	target_otu	target
otu312360	otu77782	otu149387
otu103748	otu241002	otu164706
otu173926	otu2411	otu302096
otu312360	otu77782	otu103748
otu312360	otu77782	otu56423
otu312360	otu77782	otu203368
otu312360	otu77782	otu55336
otu312360	otu77782	otu308757
otu103748	otu261575	otu291721
otu312360	otu77782	otu103020
otu312360	otu77782	otu75528
otu312360	otu77782	otu92456
otu103748	otu261575	otu312360
otu103748	otu241002	otu285351
otu312360	otu77782	otu245136
otu312360	otu77782	otu148198
otu103748	otu241002	otu201243
otu103748	otu241002	otu312360
otu17070	otu214479	otu312360
otu312360	otu77782	otu100234
