source_otu	target_otu	target
otu324101	otu163717	otu66141
otu308757	otu324101	otu66141
otu121514	otu135538	otu312360
otu308757	otu324101	otu227760
otu324101	otu163717	otu103748
otu308757	otu324101	otu241002
otu324101	otu163717	otu17070
otu308757	otu324101	otu17070
otu308757	otu324101	otu54454
otu324101	otu163717	otu304184
otu324101	otu163717	otu227760
otu308757	otu324101	otu304184
otu308757	otu324101	otu195408
otu308757	otu324101	otu321556
otu324101	otu163717	otu261401
otu308757	otu324101	otu261401
otu324101	otu163717	otu43678
otu308757	otu324101	otu43678
otu121514	otu222127	otu124216
otu324101	otu163717	otu245136
