source_otu	target_otu	target
otu280657	otu285351	otu324167
otu280657	otu312360	otu265125
otu121514	otu32760	otu325184
otu263295	otu103748	otu312360
otu241002	otu103748	otu312360
otu264772	otu54454	otu312360
otu308757	otu282540	otu106586
otu280657	otu188738	otu66141
otu234399	otu103748	otu312360
otu188738	otu312360	otu317458
otu60355	otu234279	otu149387
otu263295	otu103748	otu280657
otu241002	otu103748	otu280657
otu264772	otu54454	otu280657
otu188738	otu308261	otu5199
otu17070	otu312360	otu225044
otu259902	otu188738	otu312360
otu188738	otu312360	otu267028
otu188738	otu312360	otu45918
otu263295	otu103748	otu325184
