strategy,env,condition,baseline,jaccard
subsampling,Surface_(non-saline),100%,100%,1.0
subsampling,Surface_(non-saline),60%,100%,0.27319178178352
subsampling,Surface_(non-saline),40%,100%,0.13606191768208697
subsampling,Surface_(non-saline),80%,100%,0.4789738444474104
subsampling,Animal_surface,60%,100%,0.2084109534825005
subsampling,Animal_surface,40%,100%,0.08210708544577718
subsampling,Animal_surface,80%,100%,0.3423743945420506
subsampling,Animal_surface,100%,100%,1.0
subsampling,Plant_rhizosphere,80%,100%,0.3030964878289358
subsampling,Plant_rhizosphere,40%,100%,0.05567242794418812
subsampling,Plant_rhizosphere,60%,100%,0.18147349541387245
subsampling,Plant_rhizosphere,100%,100%,1.0
subsampling,Animal_distal_gut,60%,100%,0.17123505364795108
subsampling,Animal_distal_gut,40%,100%,0.05624130289130547
subsampling,Animal_distal_gut,80%,100%,0.3325843528932456
subsampling,Animal_distal_gut,100%,100%,1.0
subsampling,Water_(non-saline),60%,100%,0.20026744726478093
subsampling,Water_(non-saline),40%,100%,0.07570231122645811
subsampling,Water_(non-saline),80%,100%,0.4334144527817211
subsampling,Water_(non-saline),100%,100%,1.0
subsampling,Soil_(non-saline),80%,100%,0.3584123334401327
subsampling,Soil_(non-saline),60%,100%,0.1895943399711826
subsampling,Soil_(non-saline),40%,100%,0.09013756827837345
subsampling,Soil_(non-saline),100%,100%,1.0
subsampling,Plant_surface,40%,100%,0.0424773007610201
subsampling,Plant_surface,60%,100%,0.13029234075335522
subsampling,Plant_surface,100%,100%,1.0
subsampling,Plant_surface,80%,100%,0.27447401948968697
subsampling,Sediment_(non-saline),80%,100%,0.3909257262359899
subsampling,Sediment_(non-saline),60%,100%,0.24097883348859553
subsampling,Sediment_(non-saline),40%,100%,0.055535171401614424
subsampling,Sediment_(non-saline),100%,100%,1.0
subsampling,Sediment_(saline),100%,100%,1.0
subsampling,Sediment_(saline),80%,100%,0.3131390090444357
subsampling,Sediment_(saline),40%,100%,0.07483453935159473
subsampling,Sediment_(saline),60%,100%,0.16735983902479923
subsampling,Animal_proximal_gut,100%,100%,1.0
subsampling,Animal_proximal_gut,60%,100%,0.15164351145743785
subsampling,Animal_proximal_gut,40%,100%,0.09063124024450858
subsampling,Animal_proximal_gut,80%,100%,0.4533538554224325
subsampling,Water_(saline),80%,100%,0.3729362527640986
subsampling,Water_(saline),60%,100%,0.16224575099411004
subsampling,Water_(saline),40%,100%,0.06923111982133905
subsampling,Water_(saline),100%,100%,1.0
subsampling,Animal_secretion,100%,100%,1.0
subsampling,Animal_secretion,40%,100%,0.0587831405627552
subsampling,Animal_secretion,60%,100%,0.22659464651355207
subsampling,Animal_secretion,80%,100%,0.4128169526120531
