strategy,env,condition,baseline,retention
subsampling,Animal_distal_gut,40%,100%,0.05
subsampling,Animal_distal_gut,60%,100%,0.0
subsampling,Animal_distal_gut,80%,100%,0.75
subsampling,Animal_distal_gut,100%,100%,1.0
subsampling,Animal_proximal_gut,40%,100%,0.0
subsampling,Animal_proximal_gut,60%,100%,0.0
subsampling,Animal_proximal_gut,80%,100%,0.0
subsampling,Animal_proximal_gut,100%,100%,1.0
subsampling,Animal_secretion,40%,100%,0.0
subsampling,Animal_secretion,60%,100%,0.0
subsampling,Animal_secretion,80%,100%,0.7
subsampling,Animal_secretion,100%,100%,1.0
subsampling,Animal_surface,40%,100%,0.05
subsampling,Animal_surface,60%,100%,0.0
subsampling,Animal_surface,80%,100%,0.1
subsampling,Animal_surface,100%,100%,1.0
subsampling,Plant_rhizosphere,40%,100%,0.0
subsampling,Plant_rhizosphere,60%,100%,0.0
subsampling,Plant_rhizosphere,80%,100%,0.05
subsampling,Plant_rhizosphere,100%,100%,1.0
subsampling,Plant_surface,40%,100%,0.0
subsampling,Plant_surface,60%,100%,0.0
subsampling,Plant_surface,80%,100%,0.1
subsampling,Plant_surface,100%,100%,1.0
subsampling,Sediment_(non-saline),40%,100%,0.0
subsampling,Sediment_(non-saline),60%,100%,0.0
subsampling,Sediment_(non-saline),80%,100%,0.05
subsampling,Sediment_(non-saline),100%,100%,1.0
subsampling,Sediment_(saline),40%,100%,0.15
subsampling,Sediment_(saline),60%,100%,0.0
subsampling,Sediment_(saline),80%,100%,0.1
subsampling,Sediment_(saline),100%,100%,1.0
subsampling,Soil_(non-saline),40%,100%,0.0
subsampling,Soil_(non-saline),60%,100%,0.0
subsampling,Soil_(non-saline),80%,100%,0.5
subsampling,Soil_(non-saline),100%,100%,1.0
subsampling,Surface_(non-saline),40%,100%,0.0
subsampling,Surface_(non-saline),60%,100%,0.0
subsampling,Surface_(non-saline),80%,100%,0.0
subsampling,Surface_(non-saline),100%,100%,1.0
subsampling,Water_(non-saline),40%,100%,0.0
subsampling,Water_(non-saline),60%,100%,0.05
subsampling,Water_(non-saline),80%,100%,0.05
subsampling,Water_(non-saline),100%,100%,1.0
subsampling,Water_(saline),40%,100%,0.0
subsampling,Water_(saline),60%,100%,0.15
subsampling,Water_(saline),80%,100%,0.1
subsampling,Water_(saline),100%,100%,1.0
