source_otu	target_otu	target
otu280946	otu325184	otu164706
otu121514	otu252534	otu325184
otu98415	otu280657	otu164706
otu56423	otu70569	otu92456
otu280657	otu325184	otu164706
otu280657	otu280946	otu325184
otu98415	otu280946	otu280657
otu171426	otu125239	otu164706
otu280946	otu325184	otu280657
otu66141	otu264772	otu24528
otu98415	otu325184	otu164706
otu151388	otu70569	otu149387
otu117685	otu265516	otu55336
otu55336	otu265516	otu149387
otu60355	otu265516	otu56423
otu2174	otu197155	otu280657
otu56423	otu92456	otu57594
otu290794	otu55336	otu92456
otu171426	otu163802	otu100234
otu121514	otu252534	otu98415
