source_otu	target_otu	target
otu120851	otu282540	otu308757
otu296007	otu282540	otu308757
otu308757	otu120851	otu282540
otu103748	otu263295	otu54454
otu308757	otu282540	otu296007
otu321556	otu103748	otu45911
otu245136	otu103748	otu19492
otu282810	otu151813	otu317458
otu317458	otu282540	otu308757
otu296007	otu120851	otu308757
otu304184	otu302225	otu241002
otu103748	otu263295	otu245136
otu245136	otu103748	otu264772
otu43678	otu241002	otu263295
otu321556	otu263295	otu241002
otu234399	otu314888	otu108155
otu103748	otu73605	otu321556
otu308757	otu296007	otu282540
otu321556	otu45911	otu66141
otu243958	otu265516	otu201690
