source_otu	target_otu	target
otu55336	otu3200	otu149387
otu55654	otu17070	otu197621
otu234399	otu45911	otu280657
otu290028	otu55654	otu312360
otu164706	otu121514	otu317458
otu121514	otu55654	otu259902
otu57594	otu3200	otu56423
otu55654	otu225044	otu312360
otu66141	otu17070	otu321556
otu280657	otu17070	otu312360
otu280657	otu312360	otu325184
otu55654	otu259902	otu164706
otu259902	otu197621	otu312360
otu259902	otu100234	otu325184
otu314888	otu225044	otu228653
otu121514	otu325184	otu164706
otu55654	otu17070	otu312360
otu55654	otu259902	otu280657
otu325184	otu312360	otu280657
otu54454	otu207307	otu263295
