source_otu	target_otu	target
otu280657	otu188738	otu17070
otu259902	otu188738	otu17070
otu280657	otu325184	otu17070
otu290794	otu288683	otu164706
otu121514	otu17070	otu280657
otu325184	otu7142	otu188738
otu280657	otu325184	otu259902
otu301932	otu324101	otu282540
otu188738	otu7142	otu325184
otu264772	otu221867	otu275580
otu290794	otu188738	otu17070
otu151388	otu324101	otu308757
otu19492	otu241002	otu66141
otu3200	otu103020	otu92456
otu290794	otu45913	otu188738
otu188738	otu7142	otu280657
otu148198	otu196922	otu290249
otu270847	otu225044	otu190213
otu221867	otu173981	otu66141
otu304184	otu241002	otu261575
