source_otu	target_otu	target
otu321556	otu19492	otu227760
otu121514	otu101753	otu325184
otu263295	otu103748	otu45911
otu264772	otu321556	otu227760
otu101753	otu280946	otu325184
otu263295	otu45911	otu103748
otu264772	otu261401	otu304184
otu263295	otu108155	otu66141
otu261401	otu245136	otu304184
otu290794	otu132182	otu56423
otu197885	otu81005	otu162439
otu175960	otu55654	otu164706
otu19492	otu195689	otu66141
otu121514	otu280946	otu280657
otu295890	otu14493	otu265516
otu187988	otu128440	otu102976
otu263295	otu302225	otu45911
otu56423	otu137989	otu92456
otu92456	otu137989	otu56423
otu203368	otu117687	otu149387
