source_otu	target_otu	target
otu149387	otu56423	otu55336
otu19492	otu195408	otu66141
otu149387	otu14493	otu117687
otu55336	otu308285	otu149387
otu149387	otu92456	otu117685
otu56423	otu55336	otu60355
otu57594	otu232045	otu117685
otu149387	otu117687	otu14493
otu321556	otu47403	otu264772
otu280657	otu84462	otu92456
otu151813	otu55654	otu164706
otu92456	otu117685	otu149387
otu304184	otu302225	otu66141
otu190213	otu36430	otu24528
otu100234	otu58736	otu197885
otu234399	otu228653	otu43678
otu314888	otu302225	otu45911
otu234399	otu261401	otu304184
otu55336	otu14493	otu308285
otu304184	otu228653	otu195408
