source_otu	target_otu	target
otu121514	otu280657	otu252534
otu243958	otu268092	otu201690
otu201690	otu268092	otu243958
otu280946	otu55654	otu280657
otu243958	otu282540	otu308757
otu228653	otu261401	otu66141
otu63821	otu167491	otu317458
otu201690	otu282540	otu268092
otu201690	otu282540	otu243958
otu243958	otu282540	otu201690
otu43678	otu263295	otu66141
otu66826	otu231647	otu56423
otu103748	otu304795	otu19492
otu58736	otu162439	otu257163
otu121514	otu280657	otu325184
otu56423	otu55336	otu149387
otu328319	otu157879	otu251239
otu280946	otu55654	otu24642
otu121514	otu280946	otu252534
otu280657	otu55654	otu121514
