source_otu	target_otu	target
otu19492	otu45911	otu312360
otu24642	otu188738	otu291721
otu291721	otu194828	otu312360
otu24642	otu312360	otu17070
otu17070	otu291721	otu55654
otu17070	otu194828	otu164706
otu259902	otu24642	otu66141
otu261575	otu45911	otu227760
otu225044	otu259902	otu17070
otu261575	otu103748	otu45911
otu259902	otu17070	otu224206
otu280657	otu188738	otu291721
otu188738	otu194828	otu312360
otu164706	otu291721	otu55654
otu38090	otu45913	otu137989
otu17070	otu24642	otu222127
otu264772	otu103020	otu312360
otu325184	otu312360	otu225044
otu242915	otu17070	otu194828
otu45911	otu148914	otu264772
