source_otu	target_otu	target
otu19492	otu261401	otu304184
otu66141	otu261401	otu304184
otu56423	otu149387	otu92456
otu66141	otu304184	otu261401
otu264772	otu263295	otu45911
otu264772	otu40065	otu45911
otu45911	otu302225	otu234399
otu66141	otu321556	otu302225
otu92456	otu14493	otu149387
otu189095	otu14493	otu278327
otu243958	otu301932	otu201690
otu290249	otu328319	otu251532
otu58736	otu91075	otu24642
otu66141	otu45911	otu108155
otu278327	otu14493	otu149387
otu164706	otu163717	otu317458
otu38090	otu164706	otu157879
otu128440	otu40065	otu19492
otu100234	otu163717	otu324101
otu108155	otu45911	otu66141
