source_otu	target_otu	target
otu214479	otu291721	otu224206
otu214479	otu290028	otu189123
otu321556	otu195408	otu263295
otu321556	otu195408	otu66141
otu4389	otu291721	otu312360
otu241002	otu261401	otu66141
otu19492	otu261401	otu302225
otu312360	otu214479	otu291721
otu149387	otu56423	otu151388
otu214479	otu55654	otu207496
otu4389	otu7142	otu189123
otu325184	otu188738	otu312360
otu264772	otu45911	otu241002
otu280657	otu207496	otu325184
otu245136	otu43678	otu263295
otu56423	otu92456	otu149387
otu188738	otu113180	otu194828
otu60355	otu92456	otu149387
otu264772	otu195408	otu321556
otu121514	otu171426	otu164706
