source_otu	target_otu	target
otu234399	otu302225	otu66141
otu40065	otu302225	otu66141
otu144892	otu91075	otu171426
otu121514	otu164706	otu325184
otu149387	otu92456	otu132182
otu56423	otu92456	otu3200
otu234399	otu43678	otu241002
otu325184	otu17070	otu280657
otu280657	otu55654	otu164706
otu234399	otu40065	otu304184
otu241002	otu227760	otu321556
otu100234	otu324101	otu148198
otu234399	otu43678	otu66141
otu149387	otu3200	otu92456
otu234399	otu261575	otu66141
otu121514	otu280657	otu325184
otu261575	otu302225	otu43678
otu91075	otu31413	otu171426
otu121514	otu164706	otu280657
otu261575	otu302225	otu263295
