source_otu	target_otu	target
otu325184	otu55654	otu280657
otu325184	otu55654	otu312360
otu34816	otu101753	otu24528
otu259902	otu55654	otu312360
otu145838	otu55654	otu259902
otu280657	otu55654	otu325184
otu45911	otu285676	otu227760
otu325184	otu55654	otu17070
otu241002	otu103748	otu264772
otu121514	otu17070	otu325184
otu325184	otu259902	otu312360
otu121514	otu55654	otu17070
otu103748	otu245136	otu66141
otu321556	otu263295	otu103748
otu264772	otu103748	otu19492
otu325184	otu280946	otu55654
otu263295	otu241002	otu321556
otu187988	otu4298	otu317458
otu56423	otu117685	otu92456
otu325184	otu291721	otu312360
