strategy,env,condition,baseline,jaccard
subset_size,Sediment_(non-saline),K2,K3,0.6178010471204188
subset_size,Sediment_(non-saline),K3,K3,1.0
subset_size,Sediment_(non-saline),K4,K3,0.9057017543859649
subset_size,Soil_(non-saline),K2,K3,0.5912343470483006
subset_size,Soil_(non-saline),K3,K3,1.0
subset_size,Soil_(non-saline),K4,K3,0.8980978260869565
subset_size,Water_(saline),K2,K3,0.729089219330855
subset_size,Water_(saline),K3,K3,1.0
subset_size,Water_(saline),K4,K3,0.9246054938632379
subset_size,Surface_(non-saline),K2,K3,0.8506521739130435
subset_size,Surface_(non-saline),K3,K3,1.0
subset_size,Surface_(non-saline),K4,K3,0.9499757163671685
subset_size,Plant_rhizosphere,K2,K3,0.6800976800976801
subset_size,Plant_rhizosphere,K3,K3,1.0
subset_size,Plant_rhizosphere,K4,K3,0.8939271255060729
subset_size,Animal_proximal_gut,K2,K3,0.8103661044837516
subset_size,Animal_proximal_gut,K3,K3,1.0
subset_size,Animal_proximal_gut,K4,K3,0.9728930507639231
subset_size,Plant_surface,K2,K3,0.6829268292682927
subset_size,Plant_surface,K3,K3,1.0
subset_size,Plant_surface,K4,K3,0.9096525096525097
subset_size,Animal_secretion,K2,K3,0.8251748251748252
subset_size,Animal_secretion,K3,K3,1.0
subset_size,Animal_secretion,K4,K3,0.9565510272819131
subset_size,Sediment_(saline),K2,K3,0.851215644820296
subset_size,Sediment_(saline),K3,K3,1.0
subset_size,Sediment_(saline),K4,K3,0.964691801316577
subset_size,Animal_surface,K2,K3,0.5640326975476839
subset_size,Animal_surface,K3,K3,1.0
subset_size,Animal_surface,K4,K3,0.9158200290275762
subset_size,Water_(non-saline),K2,K3,0.744139650872818
subset_size,Water_(non-saline),K3,K3,1.0
subset_size,Water_(non-saline),K4,K3,0.9374609130706691
subset_size,Animal_distal_gut,K2,K3,0.6093100581878637
subset_size,Animal_distal_gut,K3,K3,1.0
subset_size,Animal_distal_gut,K4,K3,0.8925518925518926
