strategy,env,condition,baseline,retention
subset_size,Animal_distal_gut,K2,K3,0.85
subset_size,Animal_distal_gut,K3,K3,1.0
subset_size,Animal_distal_gut,K4,K3,0.95
subset_size,Animal_proximal_gut,K2,K3,0.75
subset_size,Animal_proximal_gut,K3,K3,1.0
subset_size,Animal_proximal_gut,K4,K3,1.0
subset_size,Animal_secretion,K2,K3,0.95
subset_size,Animal_secretion,K3,K3,1.0
subset_size,Animal_secretion,K4,K3,1.0
subset_size,Animal_surface,K2,K3,0.85
subset_size,Animal_surface,K3,K3,1.0
subset_size,Animal_surface,K4,K3,1.0
subset_size,Plant_rhizosphere,K2,K3,0.8
subset_size,Plant_rhizosphere,K3,K3,1.0
subset_size,Plant_rhizosphere,K4,K3,1.0
subset_size,Plant_surface,K2,K3,0.75
subset_size,Plant_surface,K3,K3,1.0
subset_size,Plant_surface,K4,K3,0.95
subset_size,Sediment_(non-saline),K2,K3,0.95
subset_size,Sediment_(non-saline),K3,K3,1.0
subset_size,Sediment_(non-saline),K4,K3,1.0
subset_size,Sediment_(saline),K2,K3,1.0
subset_size,Sediment_(saline),K3,K3,1.0
subset_size,Sediment_(saline),K4,K3,1.0
subset_size,Soil_(non-saline),K2,K3,0.55
subset_size,Soil_(non-saline),K3,K3,1.0
subset_size,Soil_(non-saline),K4,K3,1.0
subset_size,Surface_(non-saline),K2,K3,0.95
subset_size,Surface_(non-saline),K3,K3,1.0
subset_size,Surface_(non-saline),K4,K3,1.0
subset_size,Water_(non-saline),K2,K3,0.9
subset_size,Water_(non-saline),K3,K3,1.0
subset_size,Water_(non-saline),K4,K3,1.0
subset_size,Water_(saline),K2,K3,0.9
subset_size,Water_(saline),K3,K3,1.0
subset_size,Water_(saline),K4,K3,1.0
