,otu56423,otu190213,otu308757,otu149387,otu317458,otu290249,otu187988,otu301932,otu199122,otu4298,otu66141,otu171426,otu264772,otu157879,otu234399,otu121514,otu151388,otu132182,otu92456,otu78308,otu85851,otu265516,otu148198,otu19492,otu290794,otu45913,otu91075,otu138843,otu24642,otu251532,otu243958,otu195689,otu143223,otu38625,otu60355,otu23328,otu100234,otu280657,otu314536,otu57594,otu321556,otu82365,otu324101,otu248919,otu52001,otu164706,otu87424,otu38090,otu289051,otu78374,otu227760,otu103020,otu131973,otu17862,otu101753,otu304184,otu163717,otu105908,otu263295,otu3200,otu232045,otu102976,otu24528,otu178207,otu101845,otu36430,otu173981,otu315384,otu24353,otu241002,otu117685,otu325184,otu127106,otu98415,otu243238,otu302225,otu195408,otu128440,otu187218,otu197885,otu73605,otu144892,otu94157,otu318095,otu103748,otu204471,otu160909,otu251239,otu219274,otu228653,otu98911,otu55654,otu55336,otu197621,otu22968,otu58736,otu293656,otu45911,otu326647,otu113994,otu106586,otu270847,otu295890,otu280946,otu256267,otu181484,otu283090,otu68575,otu282540,otu42156,otu328319,otu47900,otu155702,otu70569,otu276946,otu275580,otu201690,otu84462,otu28864,otu196922,otu304298,otu245136,otu301727,otu36139,otu34816,otu95799,otu239385,otu259902,otu14493,otu65698,otu304795,otu161642,otu38953,otu274380,otu97538,otu228398,otu62850,otu117687,otu257163,otu43678,otu2174,otu197155,otu261401,otu120851,otu296007,otu41515,otu290914,otu266395,otu116427,otu9874,otu54454,otu277058,otu312360,otu143731,otu79108,otu288610,otu236578,otu192843,otu173019,otu291721,otu234279,otu17070,otu39875,otu69930,otu319219,otu235244,otu168693,otu252534,otu210374,otu298459,otu278327,otu9959,otu147213,otu24500,otu10785,otu325746,otu188738,otu124216,otu290028,otu163802,otu78596,otu182032,otu286928,otu125239,otu289241,otu81005,otu261575,otu251163,otu222127,otu44419,otu291254,otu155659,otu62892,otu162439,otu285676,otu108155,otu181894,otu95808,otu221867,otu270129,otu303909,otu225455,otu225044,otu138417,otu168565,otu135538,otu276706,otu41959,otu146724,otu268193,otu16489,otu55290,otu231647,otu224206,otu286610,otu154116,otu268092,otu82905,otu23619,otu280694,otu242915,otu302096,otu173566,otu190034,otu166117,otu243743,otu194828,otu133358,otu40183,otu233617,otu214479,otu24141,otu79808,otu240002,otu168212,otu22981,otu171720,otu219668,otu318690,otu42549,otu14007,otu73650,otu278075,otu10990,otu314945,otu284516,otu324022,otu221737,otu55578,otu68145,otu94444,otu34128,otu273830,otu66826,otu276077,otu147297,otu32209,otu165386,otu243689,otu300821,otu214931,otu267028,otu312383,otu3127,otu308261,otu137989,otu233411,otu153904,otu228318,otu173422,otu14883,otu7142,otu251809,otu265125,otu308285,otu268010,otu203368,otu2411,otu8286,otu293061,otu175960,otu107311,otu16518,otu177022,otu238032,otu63298,otu17332,otu268926,otu323690,otu299267,otu207496,otu2824,otu5628,otu108114,otu120996,otu264977,otu145838,otu87301,otu47403,otu314888,otu174043,otu104557,otu244184,otu36535,otu212991,otu248127,otu191839,otu22860,otu215301,otu191467,otu4389,otu231417,otu219768,otu225347,otu285351,otu167853,otu283937,otu242237,otu105348,otu67950,otu324167,otu279863,otu151268,otu251138,otu201243,otu124712,otu210801,otu326881,otu291944,otu182959,otu35825,otu156282,otu229686,otu44625,otu297683,otu320506,otu173926,otu67104,otu125814,otu33581,otu5301,otu67961,otu182184,otu302020,otu163387,otu119814,otu256834,otu317409,otu183743,otu240221,otu208613,otu15474,otu231371,otu119446,otu160705,otu282960,otu197510,otu62904,otu196925,otu113180,otu317198,otu134669,otu22058,otu267095,otu297749,otu248837,otu299908,otu180281,otu115117,otu309351,otu22980,otu126611,otu127484,otu163911,otu308479,otu304598,otu47623,otu14866,otu207677,otu207307,otu59804,otu33780,otu146167,otu165410,otu82946,otu46118,otu127321,otu63689,otu252305,otu63644,otu200027,otu52776,otu154085,otu5199,otu243655,otu206149,otu263887,otu148638,otu251759,otu221130
D1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140619,0,0,0,0,0,0.337579,0,0.010252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002419,0.041252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020659,0,0,0,0,0,0,0,0,0,0,0.00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011384,0,0,0,0,0,0,0,0,0.001753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012271,0.008188,0,0,0,0,0,0,0,0.015999,0,0,0,0,0,0,0,0,0,0.000155,0,0,0,0,0,0,0,6.7e-05,0,0,0,0,0,0,0,0,0,0.01662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001442,0,0,0,0,0.000266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2177,0,0.00087,0,0,0.00522,0,0,0,0,0,0,0.000151,0,0,0,0.012255,0.000378,0,0,0,0,0,3.8e-05,0,0,0,0,0,0.005673,0,0,0,0,0,0,0,0.001626,0.030107,0,0,0,0,0,0,0,0.01702,0,0,0,0,0,0,0,0,0.007111,0,0,0,0,0,0,0,0.006052,0,0,0,0.002156,0,0,0,0,0.055562,0,0,0,0,0,0,0,0.000303,0,0,0,0.000567,0,0,0,0.000189,0,0,0.000681,0.009494,0,0.006127,0,0.000113,0,0,0,0,0,0,0,0,0,0,0,0.000151,0,0,0.006884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012255,0,0,0.000681,0,0,0,0,0,0,0,7.6e-05,0,0,0,0.000908,0,0,0,0,0,0,0,0,0,0.007489,0,0.001664,0,0,0,0,0.00348,0,0.00469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019895,0.001286,0,0,0,0,0,0,0,0.003253,0,0.001929,0.015129,0,0,0,0,0,0,0,0,0,0,0,0.001891,0,0.001059,0,0,0,0,0,0,0,0,0,0,0.003782,0,0,0,0,0,0,0.010893,0.00174,0,0,0.002118,0,0.001324,3.8e-05,0,0.001815,0.013314,0,0,0.009267,0.001286,0.002194,0,0.000265,0,0.000227,0,0,0,0,0,0,0.000492,0,0.000567,0,0,0.000227,0,0,0,0,0,0,0.00087,0.005711,0,0,0,0,0.006241,0,0.006846,0,0.007375,0,0,0,0,0,0,0,0,0.001664,0,0,0.002307,0,0,0.003442,0,0,0,0,0,0,0.001778,0.00556,0,0,0,0,0.002156,0,0,0,0,0,0,0,0,0,0,0,0.000454,0,0,0,0,0,0.00435,0,0,0,0,0,0.000151,0,0,0,0.002648,0,7.6e-05,0.000151,0.002421,0,0,0,0,0,0,0,0.002345,0,0,0,0,0,0,0.000227,0,0,0,0.001967,0,0,0,0,0,0.001513,0,0,0,0,0.000681,0.00208,0,0,0.002156,0,0.002723,0.000151,0,0.001853,0.000227,0.002156,0,0,0,0,0,0,0.000794,0,0,0,0,0,0,0,0,0,0,0.000189,0,0,0,0,0,0.013389,0,0,0,0,0,0
D1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4e-05,0,0,0,0,0,0,0,0,8.3e-05,0,0,0,0,0,0,0,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8e-05,0,0,0,0,0,0.00012,0,0,0,0.22361,0,0,0,0.000377,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5e-05,0,0,0,0,0,0,0,0,0,0,0,0.247591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062411,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0.000175,0,0,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8e-05,0,0,0,0,0,6.4e-05,0,0,6.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0.001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8e-05,0,0,0,0,0,0,0,7.4e-05,0,0,0,4.6e-05,0.00923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055647,0,0,1.8e-05,0,0,0,0,0,0,0,0,0,2.8e-05,0,0,0.036193,1.8e-05,0,5.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0.161254,0,0,0,4.6e-05,6.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.8e-05,0,0,0,0,0,2.8e-05,0,0,0,0,0,0,0,0,0,0,0,0
D2347,0,0,0,0,0,0,0,0,0,0,0,0.781821,0,0,0,0,0,0,0,0,0,0,0,0,0.008086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039035,0,0,0,0,0,0,0,0,0,0,0.036386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D270,0.059761,0.016517,0,0.033229,0.053648,0.023345,0,0.000715,0,0,0,0.008844,0,0,0,0.001626,0.006308,0.031343,0.038041,0,0,0.00039,0.003512,0.006373,0.002211,0.081935,0,0,0.00052,0.01203,0.009364,0,0,0.035765,0.004812,0.003577,0.003186,0,0,0.024841,0,0,0,0,0,0.001171,0,0.003577,0,6.5e-05,0,0.01229,0,0.00104,0,0.000715,0,0,0,0.011445,0.001301,0,0.00052,0,0,0,0.000195,0.000585,0,0.00065,0.003121,0,0,0,0,0,0,0,0,0,0,0,0,0.002991,0,0,0,0,0.002601,0,0,0,0.000975,0.001691,0,0.003642,0,0,0,0,0,0.004032,0.001756,0,0.016452,0.002081,0,0,0.001366,0,0.004227,0,0.005007,0.003512,0,0,0.001561,0.015217,0.00065,0.001561,0.048186,0.00039,0,0.006178,0,0.00039,0,0,0.002146,0,0,0,0.000455,0.014631,0,0,0,0.002926,0.004552,0.000715,0.00013,0,0,0.001561,0,0.003642,0.000195,0,0,0.002861,0,0.00039,0,0.017362,0,0,0,6.5e-05,0.002536,0,0,0,0,0,0,0,0,0.00065,0,0.006893,0.000195,0,0,0.004292,0.001496,0,0.00039,0,0,0,0,0,0,0,0.00039,0.00013,0,0,0,0,0,0,0,0.00078,0.000715,0,0.006958,0,0,0,0,0,0.000325,0.002276,0.00052,0.00013,6.5e-05,0,0,0,0,0,0.005462,0,0,0,0.001756,0,0.00013,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001626,0.00013,0,0.005072,0.014631,0,0.001626,0,0,0.004552,0,0.000585,0,0,0,0,0,0.000195,0,0,0,0,0,0,0,0,0,0,0,0,0.001626,0,0,0.001951,0,0,0,0,0.000585,0.000455,0.000585,0,0,0.000325,0,0,0,0,0.003121,0.044934,0,0,0,0,0,0.00039,0,0,0,0,0.001886,0,0,0,0,0,0,0,0.002081,0,0,0,0,0.008974,0,0,0,0,0,0,0,0,0,0,0,0,0.00013,0,0.002471,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0.005722,0,0,0,0,0.001301,0,0,0,0,0,0.00013,0,0,0,0,0,0.000585,0,0,0.000195,0,0,0,0,0.00026,0,0.001236,0,0,0.00039,0,0.000585,0,0,0,0,0.00026,0,0.00039,0,0,0.00026,0
D4050,0,0,0,0,0.001115,0,0,0,0,0,0,0,0,0,0,0.060908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757,0,0,0,0,0,0,0,0.01109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004812,0,0.08303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015139,0,0,0,0,0,0,0,0,0,0,0,0.073994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005868,0,0,0,0,0,0,0,0,0,0,0,0,0.000176,0,0,0,0,0,0,0,0,0,0,0,0.002288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9e-05,0,0,0,0,0,0,0,0,0,0,0,0.009389,0,0,0,0,0,0,0,0.000293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024704,0,0,0.052224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158021,0,0,0,0,0,0.063784,0,0,0,0,0.001467,0.154383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020009,0,0,0,0,0,0.000117,0,0,0,0,0,0,0.011442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012381,0,0,0,0,0,0,0,0.016313,0,0,0,0,0,0,0,0,0,0
D3379,0.394341,0.020318,0,0.006732,0,0.001578,0,0.00021,0.009747,0.045914,0,0.004505,0,0.000596,0,3.5e-05,0.035465,0.034536,0.110725,5.3e-05,0,0.000316,0,0,0.037779,0.000789,0.000386,0,0,0.009099,7e-05,0,0,0.00263,0.000158,0,0.000123,0,0,0.02293,3.5e-05,0,0,0,0,0.000228,0,0,0,5.3e-05,0,0.008958,0,3.5e-05,0.000473,0,0,0,0,0.001683,3.5e-05,0,0.000105,0.000123,0,0,3.5e-05,0,0.024245,0,0.008257,0,0,0,0,0,0,0,0,0,0,8.8e-05,0,0,0,0,0,0.002612,0.003401,0,0,0,0,0,0,3.5e-05,0,0,0,0,0,0.000245,0,0,0.000614,1.8e-05,0,0,0,0,0.001858,0,0.000403,0.02009,0,0,0.000245,0.002612,3.5e-05,0.001946,0,0,0,0.05389,0.000228,3.5e-05,0,0,3.5e-05,0,0,0,0.000105,0,0,0,0,5.3e-05,0.000456,0,0,0,0,0.000491,0,0,0,0.000263,0,0.000351,0,0,5.3e-05,0.001367,0,0,0,1.8e-05,0.000508,0,0.000228,0,0,0,0,0,0,0,0,8.8e-05,0,0,0,0.002577,0,0,8.8e-05,0,7e-05,0.008117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001473,0,0,0.003313,0,0.002752,0,0,0,0,0.00014,0,0,0.003752,0,0,0,0,0,0.000666,0,0,0,0.000105,0,0.003121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5e-05,0,0,0.001104,0,3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385,0.000263,0,0.001069,0.029803,0.000368,0,0,0,0.004225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123,0.000105,0,0,0,0,0,0,0,0,0,0.000123,0,0,0,0,0,0,0,0,0.000193,0,0,0,0,0,0,0,0,1.8e-05,0,0,0,0,0,0,0,0,0,0.001122,0,0,0,0.011413,0.001788,0,0.000123,5.3e-05,0,0.000175,0,0,3.5e-05,0,3.5e-05,0,0,0.000666,0,0.001402,0,0,0,0,0.000105,0,5.3e-05,0.000105,0.000912,0,0,5.3e-05,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,1.8e-05,0,0.00014,0,3.5e-05,0,0
D4065,0,0,0,0,0,0,0,0,0,0,0.16759,0,0.005057,0,0.213821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000241,0,0,0,0,0,0,0,0,0,0.000562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010113,0,0.000562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226182,0,0,0,0,0,0,0,0.005217,0,0.000321,0,0,0,0,0,0,0.000803,0.026407,0,0,0,0,0,0,0,0.014849,0,0,0,0,0,0.000241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002328,0,0,0.0061,0,0,0.002649,0,0,0,0,0,0,0,0,0,0,0,0.05482,0,0,0,0,0,0,0,0,0,0,0,0.002328,0,0,0,0,0.009551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562,0,0,0,0,0,0,0,0,0,0.001926,0,0,0.001284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015009,0,0,0,0.001525,0,0,0,0,0,0.000401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562,0,0,0,0,0,0,0,0.000401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000241,0,0,0.001364,0,0,0,0,0,0,0,0,0.031383
D597,0,0,0,4.1e-05,0,0,0.001077,0,0,0,0,0,0,0,0,0,0,0,0,0.175444,4.1e-05,0,0,0,0.000467,0,6.1e-05,0.442237,0,0,0,0,0,0,0,0,0,0,0.013003,0,0,0,0,0,0.001605,0,0.007497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142,0,0,0,2e-05,0.097891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043805,0,0,0,0,0,0,0,0,0,0,0.005161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104393,0,0.000467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059023,0.000122,0,0,0,0,0,0,0.000183,0.000508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000203,0,0,0,0,0,0,0,0,0,0.017941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,0.000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1301,0.000772,0.001003,0,0,0,0.00054,0,0,0.000772,0.663503,0.000386,0.004938,0.00463,0,0,0,0.000386,0.128472,0,0,0,0,0,0.002623,0,0.044985,0.001312,0,0,0,0,0,0,0.000772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001543,0,0,0,0,0,0,7.7e-05,0.002006,0,0,0,0,0,0.001929,0.00216,0,0,0,0,0,0,0,0.000231,0,0,0,0,0,0.003858,0,0,0,0,0,0.016898,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000772,0,0,0,0,0,0,0,0,0.004398,0,0,0,0,0,0,0.003164,0,0.001157,0,0.001466,0,0.001157,0.00054,0,0,0,0,0,0.001389,0,0,0,0,0,0.000617,0,0,0,0,0,0.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0,0,0,0,0.001543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0.025772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001852,0,0,0,0,0.001157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000309,0,0,0,0,0,0,0.001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000386,0,0,0,0,0.001698,0,0,0,0,0.00162,0,0.001775,0,0,0,0,0,0,0,0,0,0.000617,0,0,0,0,0,0,0,0,0,0,0,0.000309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154,0,0,0,0,0,0.00108,0,0,0,0,0.000926,0,0,0,0,0,0,0,0,0.000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
