,otu78308,otu308757,otu56423,otu317458,otu149387,otu290249,otu264772,otu151388,otu234399,otu290794,otu102976,otu251532,otu190213,otu66141,otu121514,otu321556,otu265516,otu243958,otu132182,otu148198,otu280657,otu171426,otu298459,otu199122,otu24528,otu92456,otu19492,otu91075,otu227760,otu328319,otu38090,otu45911,otu60355,otu263295,otu4298,otu228653,otu101753,otu221867,otu34128,otu164706,otu304184,otu24642,otu155702,otu103748,otu117685,otu241002,otu325184,otu245136,otu120851,otu100234,otu197621,otu157879,otu138417,otu232045,otu261401,otu3200,otu173981,otu296007,otu103020,otu302225,otu268193,otu282540,otu108155,otu268092,otu55336,otu259902,otu201690,otu43678,otu314888,otu266395,otu210374,otu17862,otu73605,otu197885,otu38625,otu9874,otu215301,otu282810,otu55654,otu195408,otu55465,otu36430,otu196922,otu70569,otu290028,otu32501,otu201243,otu222127,otu231647,otu188738,otu197155,otu256267,otu54454,otu317198,otu195689,otu178207,otu210801,otu318690,otu17070,otu280946,otu251239,otu36139,otu23328,otu234887,otu257163,otu295890,otu184634,otu20321,otu291721,otu194828,otu58736,otu278327,otu312360,otu57594,otu4863,otu78374,otu214479,otu81005,otu304795,otu165386,otu173926,otu207307,otu219274,otu24141,otu128440,otu34816,otu187218,otu120996,otu25983,otu248837,otu225044,otu168212,otu151813,otu14493,otu113180,otu63689,otu162439,otu45913,otu124216,otu5854,otu302096,otu224206,otu5199,otu42156,otu285351,otu117687,otu288683,otu215891,otu84462,otu7142,otu251163,otu326881,otu50291,otu299267,otu240002,otu168693,otu308285,otu87407,otu135538,otu67961,otu43787,otu24353,otu168565,otu207496,otu42549,otu265125,otu276077,otu242915,otu219668,otu243689,otu321120,otu22981,otu207098,otu76106,otu47403,otu270419,otu36535,otu175960,otu233411,otu40576,otu292933,otu234279,otu240288,otu308261,otu177022,otu119446,otu67104,otu112225,otu75913,otu145674,otu22058,otu40932,otu104749,otu312748,otu231417,otu218587,otu145838,otu22980,otu115117,otu4389,otu115490,otu219768,otu140795,otu35825,otu86382,otu196925,otu291944,otu165410,otu227820,otu180281,otu2824,otu312771,otu183743,otu203368,otu317514,otu174745,otu21474,otu200155,otu189123,otu8108,otu207677,otu324167,otu231276,otu244693,otu309351,otu54664,otu245615,otu117386,otu41945,otu255728,otu129244,otu277908,otu53020,otu166343,otu36538,otu297749,otu10990,otu208613,otu135583,otu226925,otu124324,otu168614,otu300821,otu297683,otu19728,otu16260,otu75528,otu157652,otu107198,otu139401,otu175915,otu95020,otu22860,otu46075,otu21063,otu133358,otu205724,otu74871,otu200994,otu117241,otu60148,otu75030,otu320506,otu318627,otu43895,otu2411,otu33780,otu77042,otu61099,otu230665,otu279863,otu44558,otu138568,otu290186,otu53868,otu77782,otu303909,otu99090,otu295753,otu88716,otu69986,otu288120,otu643,otu322018,otu84911,otu61217,otu115012,otu117355,otu324739,otu15474,otu252667,otu128492,otu61039,otu240183,otu292589,otu49788,otu144720,otu249946,otu101011,otu266417,otu156770,otu45484,otu253107,otu277402,otu162483,otu161828,otu151695,otu288164,otu172985,otu255644,otu115295,otu191467,otu86374,otu195872,otu5031,otu75640,otu208692,otu307765,otu217464,otu181240,otu178165,otu79168,otu235489,otu165448,otu116241,otu245411,otu307179,otu153831,otu53612,otu95014,otu299541,otu100666,otu3990,otu86075,otu267893,otu239064,otu42763,otu104813,otu163488,otu115778,otu325357,otu167491,otu316782,otu17081,otu160105,otu173727,otu83212,otu188667,otu276830,otu183640,otu23062,otu231461,otu123163,otu183055,otu6486,otu309779,otu102811,otu230801,otu290349,otu297223,otu210754,otu53613,otu168446,otu54094,otu299115,otu210858,otu244981,otu168383,otu213946,otu207948,otu319975,otu234623,otu291012,otu172447,otu55649,otu262467,otu4030,otu57830,otu267460,otu214028,otu319177,otu309826,otu282960,otu320992,otu100915,otu189236,otu310463,otu197583,otu196789,otu260203,otu93674,otu150615,otu10651,otu112776,otu135474,otu170591,otu181268,otu102961,otu261723,otu211408
D341,2.3e-05,0,0,0.110441,0,0,0,0.241655,0,0,0,0,0.00115,0,0.056687,0,0,0,0,0,0.010985,0,0,0.000258,9.4e-05,0,0,0.000376,0,0,0,0,0,0,0,0,0.000657,2.3e-05,0,0.037416,0,0.01176,0,0,0,0,0.005493,0,0.000493,0.000211,0,7e-05,0,0,0.002723,0,0.001221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005164,0,0.001103,0.000469,0.000164,0.001338,0.000939,0.006925,0,0.000211,0,2.3e-05,0,0.048613,0.000563,0,0.003216,0,4.7e-05,0,0,0,0.008028,0.000446,0,0.00331,0,0,0.055467,0.003732,0,0,0,0.044693,0,7e-05,0,0.00277,0.005305,0.000282,0,0.001995,0,0,0,0.000775,0.01453,0,0,0.003098,0.000305,0,0.000892,0,0,4.7e-05,0,0,0,0,0.000235,0,0,0,4.7e-05,9.4e-05,0,0,0.000188,0.003427,0,0.000305,0,0.00061,0,0.000211,0,0,0,0.001573,0,0,0,0.008967,0,0,0.000751,0.020069,4.7e-05,0,0,0,0.000516,0,0,4.7e-05,0.002206,0.043918,0,0,0,0,0.000962,0,7e-05,0,0,0.001056,0,0,0,0,0,0.00331,0,0.000282,0,0,2.3e-05,0.001667,0.000329,0,0,0,0.001737,0.000305,0.002817,0,0.006126,7e-05,0,0,0,0.002347,0.000915,0.000775,0,0,0.001314,0.000211,0.000399,0.001221,0,0,0,0,0.004882,0.000751,0.004906,0,0,0.002512,0.001009,0.000141,0,0,0,0.001714,0,0,0,0.000634,0.000469,0.000892,0.000188,0.003051,0,0.001314,0,0,0.001056,0,0.002559,0,0.009953,0,0,0,0.000258,0,0.000117,0,0.001737,0,0.002136,0,0,0.000869,0.001573,0,0,0,0.003357,4.7e-05,0.002817,0.00608,0.021501,0,0,0.000446,0.000587,0.000211,0,2.3e-05,0.000164,0.004343,0,0.000188,0.005399,0.000376,0.000892,0,0,0,0,0.000282,0.003216,0,0.000282,0.000211,0,0,0.000352,0,0.000282,0.002347,0.000493,0,0,0.003263,0,0,0.00108,0,0,0,0,0,0.000845,0,0.011267,0.000939,0.000188,0,0,0.000681,0.000352,0.001385,0,0,0.015234,0,0.001925,0.000258,0.001807,4.7e-05,0,0.001432,0.000258,0.000751,0,0.000869,0,2.3e-05,0.002465,0.001995,0.001596,0.000469,0,0,0,0.001455,0.000117,0.000164,0.002277,0,0.000423,7e-05,0,0.000563,0,0,0,0,0,0,0,0,0.001033,0,0.000211,0,0.006267,0,0.000282,0,0,0.000728,0,0.000305,0.000352,0.000563,0.000329,0.000915,0,0.002347,4.7e-05,7e-05,0.00331,4.7e-05,2.3e-05,0.000305,2.3e-05,4.7e-05,0,0,0.000282,0,4.7e-05,0.00108,0,0.002206,0,9.4e-05,0,0.000164,4.7e-05,0.000117,0.000446
D198,0,0.005145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015133,0,0.008172,0,0.043281,0.004843,0,0.006053,0,0,0,0.233051,0,0,0,0.004237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001513,0.08868,0,0,0,0,0,0,0.210351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03178,0,0,0,0.10109,0,0,0,0,0.003935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303,0,0.002421,0,0,0,0.001816,0,0.000605,0,0.000605,0,0,0,0,0.001816,0.072034,0,0,0.000908,0,0,0,0.011804,0,0,0,0,0,0.003329,0,0,0,0.028753,0.002724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908,0,0.004237,0,0,0,0,0,0,0,0,0.014831,0,0.025424,0.008172,0,0,0.000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000605,0,0,0,0,0,0.00908,0,0.000605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012409,0,0,0,0,0,0.006659,0,0,0,0,0.002119,0,0.000908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001211,0.00454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001513,0,0,0,0,0,0,0,0,0.009685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D262,0,0,0.001251,0,0,0.068793,0,0,0,0,0,0.926829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D273,0,0,0,0.007018,0,0,0,0,0,0.002626,0,0.00296,0.001289,0,0.395655,0,0,0,0,0,0.021198,0.00148,0,0,0.000143,0,0,0,0,0,0,0,0,0,0,0,0,9.5e-05,0.009358,0.012891,0,0.000239,0,0,0,0,0.020387,0,0,0,0.003294,0,0,0,0,0,0.00043,0,0,0,0.002339,0,0,0,0,0.000334,0,0,0,0,0,0,0,0,0,0,0,0,0.0053,0,0,0,0,0,0.002578,0,0.00444,0.006302,0,0,0,0,0,0,0,0,0,0.001241,0.008403,0.024875,0,0,0,0,4.8e-05,0,0.000191,0,0.000907,0.002196,0,0,0.001671,0,0,0,0.036667,0,0,0,0.00191,0,0,0.000621,0,0,0,0,0,0,0,0,0.000286,0,0.000525,0.000286,0,0,0.000907,0.000334,0.001814,0.000907,0.000573,0,0.004488,0,0.000716,0,0,0,0,0,0.000525,0,0.008833,0.002005,0,0,0.00931,0,0,0,0,0.003199,0,0,0,0.01079,0,4.8e-05,0,0.002053,0,0.000812,0,0,0.018143,0.002053,0.001098,0,0,0,0.00105,0.005061,9.5e-05,0,0.006493,0,0,0,0.005777,0.00148,0,0,0,0.003438,0,0.040869,0,0,0.000477,0.002483,0,0.000286,0,0.013368,0.010074,0,0,0.000621,0.000143,0,0.000668,0,0.000382,0,0,0.004058,0.002101,0.004918,4.8e-05,0,0,0,0.000382,0,0.007305,0,0,0,0,0,0,0,0,0,0.017522,0,0.000286,0,0,0.004631,9.5e-05,0,0,0.004918,0,0,0,0,0,0.009119,0,4.8e-05,0,0,0,0.000143,0.005968,0.00043,0,0,0,0,0,0.000334,0.004631,0,4.8e-05,0,0,0.005682,9.5e-05,0.001767,0.000621,4.8e-05,0.00105,0,0.002005,9.5e-05,0.001767,0.000716,9.5e-05,0,0,0,9.5e-05,0.009262,4.8e-05,0,0,4.8e-05,0,0.000859,0.01122,0,0.000191,0.000573,0,0.001432,0,0.000334,0,0.011268,0.000573,0.001098,0.000859,0.000573,0,0.000573,9.5e-05,0.004011,0.013941,0.000239,0,0,0.001241,0,0.00826,0.000191,0,4.8e-05,0,0.000525,9.5e-05,0.009549,0.000382,0.001003,0,0.000143,0.000716,0,0.000143,0.005109,0,0.000334,0,0.000382,0.001241,0,0.001098,0.000191,0.004058,0,0,0.000573,0,0.000716,0.000573,0,0.004154,0,0,0,0.00105,9.5e-05,0,0,0,0.00043,0,0.004249,0,0,0,0,0.002005,0,0.000525,0,0,4.8e-05,0.002912,0.003008,0,0,0,0.001289,0.000286,0.001098,0,0.000716,0,0.000477,0,0.006636,0.000286,0,0,0,0,0.001432,0.000382,0,0,0,0,0,0.001432,0.000907
D349,0,0,0,0,0,0,0,0.997981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001622,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D204,0,0,0,0,0,0,0,0,0,0,0.000607,0,0,0,0,0.001214,0,0,0,0,0.003643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014572,0,0,0,0.006072,0.000607,0,0,0,0,0.001214,0.003643,0.002429,0,0.002429,0,0,0,0,0.153613,0,0.002429,0,0.001214,0.002429,0,0,0,0,0,0,0,0.000607,0,0,0.017001,0.058288,0,0.037644,0,0,0,0,0.013965,0,0,0.013965,0.006679,0,0,0,0,0,0,0,0.00425,0,0,0,0,0,0,0,0.001821,0,0,0,0,0,0,0,0,0,0.085003,0,0,0,0.011536,0,0,0,0.001214,0.007893,0,0,0,0,0,0,0,0,0,0,0,0,0.004857,0.003643,0,0,0.003036,0,0,0,0,0,0,0.032787,0,0,0.002429,0,0,0,0,0,0.032787,0,0.000607,0,0,0.001214,0,0,0,0,0,0,0,0.013965,0.025501,0,0,0.001214,0,0.014572,0,0,0.013358,0,0,0,0,0,0,0,0,0,0,0,0,0.004857,0,0,0.010929,0,0,0,0,0,0,0.001821,0.015786,0,0,0.002429,0,0,0.003036,0.000607,0,0,0.013965,0,0,0,0.004857,0,0,0,0,0,0.002429,0.001821,0.002429,0,0,0,0,0,0.004857,0.005464,0,0,0,0,0,0,0.002429,0,0.013358,0,0,0,0.000607,0.051002,0,0,0,0,0,0,0,0,0,0,0,0.007893,0,0,0.001821,0.001214,0,0,0,0,0,0.00425,0.002429,0.005464,0,0,0,0,0,0.001214,0.002429,0.000607,0.003036,0,0.000607,0.003643,0,0.006072,0,0,0.00425,0,0,0.003036,0,0,0,0,0.001214,0,0,0,0,0.004857,0,0.000607,0.001214,0,0,0.001214,0,0,0.018215,0,0.001214,0,0.00425,0.001214,0.00425,0,0,0,0,0,0.001821,0,0,0,0,0,0,0,0.001821,0.049787,0,0,0.001821,0,0.00425,0.001821,0,0,0,0,0,0,0,0.00425,0,0,0,0,0,0,0.000607,0.006679,0,0,0,0,0,0.001214,0.001821,0,0.011536,0.003036,0.00425,0.002429,0,0,0,0,0,0,0.005464,0,0.000607,0,0,0.002429,0,0.002429,0,0,0.001214,0,0,0,0,0,0,0.002429,0,0,0,0,0.001214,0,0,0,0,0,0,0,0,0,0.003036,0,0,0
D297,0,0.822849,0,0.011228,0,0.007408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009086,0,0,0,0,0,0,0,0,0.051797,0,0,0,0.060073,0,0,0,0,0,0.000579,0,0,0,0,0,0,0,0,0,0,0,0,0.002026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003241,0,0,0,0.001678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010244,0,0,0,0,0,0,0,0.000347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D178,0,0,0.385313,0,0,0.00357,0,0.003416,0,0.013896,0,0.005805,0.007064,0,0,0,0.000591,5.1e-05,0.007808,0,0,0.002389,0.001387,0.001336,0,0.129765,0,0.00018,0,0,0,0,0.000308,0,0.012278,0,0.000462,0.001387,0,0,0,0,0.003956,0,0.200529,0,0,0,0.004495,0,0,0.00018,0.000668,0.000411,7.7e-05,0.004212,5.1e-05,0,0.000694,0,0,0.000283,0,0.000411,0,0,0.000899,0,0,0,0,0,0,0,0.000257,0.000231,0,0,0,0,0.000103,0,0.000822,0.003391,0,0,0,0,0.001593,0,0.000128,0.000308,0,0,0,0.000411,0.001464,0,0,0,0.000899,0.030695,0,0.000283,2.6e-05,0.00018,0,0,0,0,0,0.000103,0,0.085328,0.006678,0.000257,0,0,0.00036,0.028511,0,0,0.025275,0,0,0.000231,0,0,0,0,0,7.7e-05,0,7.7e-05,0,0,2.6e-05,5.1e-05,0,0,0,0,0,0,0,0,0,0,0.000668,0,0,0,0,0,0,0,0.000103,0,0,0.000283,0.000205,0.004521,0,0,0,0,0.000231,0,0.000231,0.000103,0,7.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000283,0,0,0,0,0.001182,0,0,0.000128,0.000103,0,0,0,0,7.7e-05,0,0,0,0,0,0,0,0,7.7e-05,0,0,5.1e-05,0.000103,0,0,0,0.005574,0,0,0,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000283,0,0,0,0.000822,0,0,0,0,0,0,0,0,0.000257,0,0,0.000539,0,0,5.1e-05,5.1e-05,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0.000205,0,0,0,0,0,0,0,0,7.7e-05,0,0.000103,0,0,0,0,0,0,0,0,0.000128,0,0,0,0,0,0,0,2.6e-05,0,5.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154,0,2.6e-05,0,0,0,0,0,0,0,0,0,0.000283,0,0,0,0,0.000283,0,5.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.1e-05,0,0,0,0,0,0,0,0,0,0,7.7e-05
D75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016986,0,0.000157,0,0,0,0,0.014247,0,0,0,0.000157,0,0,0,0,0,0,0.000313,0,0.000157,0,0.042035,0,0,0,0.01182,0.005949,0,0,0,0,0,0.012603,0,0,0,0.002427,0,0,0,0.021683,0,0.00227,0,0,0,0.003757,0,0.016517,0,0,0.022544,0,0,0.017769,0,7.8e-05,0.002192,0.000157,0.001409,0,0,0,0.000235,0.035695,0,0,0.000313,0.000313,0,0,0,0.000783,0,0,0,0,0,0,0,0,0,0,0,0.032642,0,0,0,0,0,0.0018,0,0,0,0.063405,0,0,0,0.010568,0,0,0,0,0.011115,0,0,0,0.000783,0,0.003679,0,0,0,0.002661,0.000235,0,0.00955,0,0,0,0.014247,0.000313,0,0,0,0.00047,0.001409,0.010176,0,0,0.005558,0,0,0,0,0.001879,0.01863,0,0.000313,0,0,0.02137,0,0,0,0,0,0,0,0.003757,0.017378,0,0,0.002661,0,0.008767,0,0,0.003523,0.000157,0,0,0.00047,0,0,0,0,0,0,0.018004,0.003053,0.006654,0,0,0.008376,0,0.00047,0,0.000157,0.000235,0,0.004618,0.001957,0,0,0.008689,0.008297,0,0.008924,0.001018,0,0,0.019256,0,0.000157,0.001409,0.005636,0,0,0,0.001409,0,0.002818,0.000391,0.007593,0,0,0,0,0,0.001487,0.000235,0.002975,0,0,0,0.000313,0,0.000548,0.000157,0.006027,0,0,0,0,0.001957,0,0,0,0,0,0.012446,0,0,0,0,0.01135,0.077808,0.001409,0,0.002583,0,0,0,0,0,0,0,0.005479,0.001174,0,7.8e-05,0,0.001096,0,0.000313,0.000235,0.001174,0.000626,0.000157,0.028806,0.001644,0,0.001487,0.001018,0,0.002348,0.001566,0,0.009159,0.000939,0,0,0,0.00274,0,0,7.8e-05,0,0.002661,0.000391,0.000157,0,0,0,0.000705,0,0,0.001644,0,0.003601,0,0.003288,0.001566,0,0,0.001879,0,0.000391,0.001174,0.00227,0.001331,0.001174,0,0,0,0,0,0.005323,0.017065,0,0,0.002661,0,0,0.002505,0,0.000313,0.000157,0.005323,0.003209,0,7.8e-05,0.004305,0.004462,0,0,0,0,0,0.000783,0.007123,0,0.000235,0.000157,0.002583,0.000391,0.00047,0.000391,0,0.005949,0.005479,0.001174,0.001174,0,0,0,0.000705,0,0.000939,0.000391,0,0.003601,0,0,0.001644,0,0,0.000313,0,0.000939,0,0,0.00454,0.006027,0,0.000861,0.004149,0.001018,0.00227,0,0.001096,0.000705,0,0,0,0,0.00047,0,0.000157,0.000235,0,0.003288,0.000313,0,0.000783
D131,0,0,0,9.4e-05,0.001274,0,0.03613,0,0.065469,0,0,0,0,0.055941,0,0.142493,0,0,0.000142,0,0,0.017546,0,0,0.000472,0,0.053158,0,0.016933,0,0,0.001321,0,0.036272,0,0,0,0,0,0,0.017122,0.000142,0,0.022735,0.000283,0.086553,0,0.047686,0,0,0,0,0,0,0.017782,0,0,0,0,0.063723,0,0,0,0,0,0,0,0.020612,0,0.000189,0.002689,0.001887,0.012122,0.00033,0,0.000236,0,0,0,0.021791,0,0.002594,0,0,0,0,0,0,0,0,0,0,0.040517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033,0,0,0,0,0.000472,0,0,0,0,0,0,0,0,0,0,0,0.007688,0,0.000142,0,0,0,0,0,0,0,0,0.00184,0,0,0,0,0,0,0,0,4.7e-05,0,0,0.001557,0,0,0,0,0,0.033725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003255,0,0,0.003585,0,0,0,0,0,0,0,0,0,0,0,0,0.00349,0,0,0,0,0,0,0.000236,0,0.012122,0,0,0,0,0,0,0.000755,0,0,0,0,0.004953,0,0,0.001462,0,0,0,0,0,0,0,0,0,0.000519,0,0,0.000283,0.012216,0,0.000613,0,0,0.000189,0.009386,0,0,0,0,0,0,0,0.00033,0.067874,0,0,0.00033,0,0,0,0,0,0.000896,0,0,0,0,0,0,0,0.002217,0,0,0,0,4.7e-05,0,0,0,0,0,0.001604,0,0,0,0.000943,0,0,0,0,0,0,0,0,0,0,0.00816,0.000377,0,0,0,0,0,0,0,9.4e-05,0,0,0,0,0,0.002028,0,0,0,0.005283,0,0,0,0,0,0,0,0,0,0,0,0.000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142,0,0,0,0,0,0,0,0,0,4.7e-05,0,0,0,0,0,0.002311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4e-05,0,0,0,0,0,0,0,0,0,0.011179,0,0,0,0,0,0,0,0,0,0,0
