,otu308757,otu264772,otu317458,otu56423,otu190213,otu149387,otu243958,otu102976,otu234399,otu151388,otu121514,otu171426,otu128440,otu290249,otu132182,otu268193,otu66141,otu251532,otu137989,otu148198,otu290794,otu321556,otu60355,otu24642,otu280657,otu92456,otu164706,otu100234,otu304184,otu24528,otu228653,otu4298,otu91075,otu227760,otu199122,otu157879,otu232045,otu314888,otu45911,otu265516,otu3200,otu117685,otu263295,otu266395,otu103020,otu19492,otu84462,otu241002,otu195689,otu103748,otu325184,otu257163,otu78374,otu182032,otu45913,otu282540,otu302225,otu38625,otu285676,otu55654,otu187218,otu195408,otu245136,otu259902,otu302096,otu43678,otu290028,otu108155,otu17070,otu280946,otu328319,otu221867,otu47403,otu120851,otu9874,otu42549,otu14493,otu214479,otu54454,otu55336,otu276830,otu34816,otu101753,otu312360,otu168212,otu227820,otu36139,otu218587,otu24141,otu57594,otu63644,otu188738,otu251239,otu291721,otu319219,otu197885,otu207159,otu196922,otu73605,otu197621,otu219274,otu225044,otu162439,otu120996,otu242915,otu308285,otu299267,otu207307,otu261401,otu101011,otu266417,otu173981,otu303909,otu222127,otu58736,otu194828,otu7142,otu24353,otu70569,otu36535,otu3914,otu300821,otu124216,otu112225,otu168693,otu308261,otu251163,otu36538,otu22981,otu67961,otu135538,otu240288,otu265125,otu22980,otu191467,otu210374,otu317409,otu270419,otu210801,otu2824,otu285351,otu22058,otu25983,otu201243,otu224206,otu33780,otu175960,otu248837,otu173926,otu139401,otu240002,otu97538,otu81005,otu326881,otu67104,otu10990,otu22860,otu50291,otu203368,otu147213,otu316782,otu309351,otu113180,otu75030,otu318690,otu177022,otu288683,otu242237,otu151399,otu157459,otu255728,otu291944,otu260122,otu242039,otu84911,otu207496,otu54664,otu145838,otu183743,otu35825,otu156770,otu86382,otu233411,otu180281,otu230665,otu17862,otu2411,otu219668,otu322018,otu276077,otu231276,otu292589,otu34128,otu166343,otu140795,otu154548,otu196925,otu325357,otu117355,otu245615,otu317514,otu312748,otu189123,otu46075,otu243689,otu15474,otu117386,otu43787,otu317198,otu5199,otu277402,otu21474,otu117241,otu168614,otu6720,otu277908,otu324167,otu32501,otu61217,otu40932,otu75528,otu304795,otu69986,otu267893,otu129244,otu231417,otu200155,otu165410,otu93123,otu305893,otu231461,otu115295,otu4389,otu200994,otu235489,otu75640,otu300568,otu221737,otu53612,otu95020,otu19728,otu115012,otu87407,otu268361,otu208692,otu223372,otu53868,otu153831,otu44558,otu265438,otu107198,otu288120,otu255644,otu8351,otu79168,otu240630,otu207098,otu151695,otu6486,otu309826,otu162483,otu195872,otu320506,otu77042,otu174050,otu217464,otu95014,otu142090,otu144720,otu226925,otu139883,otu151813,otu297223,otu5031,otu64533,otu104688,otu63689,otu53613,otu265083,otu295753,otu175915,otu88716,otu240183,otu136701,otu86374,otu74871,otu312771,otu173727,otu140558,otu112927,otu163488,otu135583,otu75913,otu234042,otu57830,otu128492,otu41945,otu86075,otu253107,otu254131,otu55649,otu115490,otu261723,otu17081,otu119446,otu143606,otu239064,otu244383,otu245411,otu205724,otu307179,otu42763,otu64106,otu284005,otu249946,otu254910,otu8108,otu123163,otu16260,otu77782,otu20321,otu279863,otu133358,otu196789,otu230801,otu318627,otu104813,otu104751,otu292933,otu260203,otu188667,otu10651,otu320992,otu267460,otu108628,otu40699,otu290186,otu54094,otu288164,otu244981,otu221483,otu168383,otu61099,otu319975,otu297683,otu29192,otu288562,otu104658,otu172447,otu184634,otu102811,otu50877,otu275566,otu181268,otu160105,otu319177,otu208613,otu5061,otu3990,otu266181,otu291012,otu244693,otu29183,otu244389,otu165448,otu177813,otu315975,otu53020,otu170591,otu215301,otu224581,otu237226,otu20120,otu259507,otu170243,otu115406,otu119213,otu23062,otu76575,otu299541,otu124217,otu120543,otu267538,otu119930,otu324739,otu307765,otu149332,otu219248,otu150615,otu309779,otu214178,otu297749,otu227541,otu316965,otu76106,otu117463,otu99090,otu118289,otu282960,otu234623
D776,0.000198,0,0.007736,0,0.002182,0,0,0.000793,0,0,0.000893,0,0,0,0.004165,0,0,0,0,0,0,0,0,0.009521,0.000694,0,0.009174,0.031538,0,0,0,0,0.026282,0,0.024348,0.01681,0,0,0,0,0,0,0,0,0,0,0,0,0.001934,0,0.001041,0.019439,0,0,0,0,0,0.023356,0,0.00243,0.000397,0,0,0,0.006744,0,0.021422,0,0.001587,0,0.077507,0,0,0,0,0.000347,0,0,0,0,0.000298,0.000198,0.074036,0.001339,0.000545,0,0,0,0,0,0,0.003273,0.001686,0,0,5e-05,0.000595,0.000694,0,0,0,0,0,0,0,0,0,0,0,0.000248,0.006546,0.006397,0.001091,0.010463,0,0.002926,0,0,0,0,0,0,0.025538,0,0.000198,0.007736,0,0.000645,0,0,0,0,0,0,0,0,0,0,0.002132,0.015075,0,0,0,0,0.005058,0,0.002033,0,0,0,0.005207,0,0.005653,0.001636,0,0,0,0,0,0,0,0,0,0,0,0.020133,0.000446,0,0,0.002876,0,0.000744,0,0,0,9.9e-05,0,0.002083,0.004116,0.001041,0,0.000149,0.049489,0.013885,0.001686,0,0.015273,0.000347,0,0.013339,0.001289,0,0.002132,0,0.000347,0,0,0,0,0,0,0,0,0.072349,0.00238,0.007885,0,0.000992,0.03858,0,0,0,0.006694,0,0,0,0,0,0.03729,0.002777,0,0.001835,0.000198,0,9.9e-05,0.002678,0.000744,0,0.012,0.001289,0,0,5e-05,0,0,0,0.010017,0,0,0,0.006942,0.000744,0.001488,0,0.00119,0,0.00243,0.002628,0,0,0,9.9e-05,0.000645,0,0.032133,0,0.000942,0,0,5e-05,0,5e-05,0,0.000595,0,0,0,0,0,0,0,0,0.001091,0,0.002926,0.000248,0,5e-05,0,0,0,0.00238,0.000694,0.000397,0,0,0,5e-05,0,0,0,0.001388,0,0,0,0,0,0,0,0.000496,0.013984,0,0.031042,0.000843,0.002579,0,0.000198,0,0.000198,0.000793,0,0,0.000397,0,0.000496,0,0,0,0,0.004413,0,0,0,0.001488,0,0.005157,0,0,0.007637,0.000198,0.005703,0.000843,0.005405,0,0,0,0,0,0.002331,0,0,0,0,5e-05,0,0,0,0,0.000545,0,0.00362,0.000248,0.000694,0,0,0,0.000446,0.000397,0.001537,0,0,0.001984,0,0,0.001537,0.005207,0,0.000149,0.000545,0.000744,0.001141,5e-05,0,0.000248,0.000496,0,0,0,0.000149,0,0,0.001041,0,0,0,0,0.000942,0.000198,0.000149,0.000545,9.9e-05,0.002777,0.000446,0,0.000793,0,0,0.000446,9.9e-05,0.001686
D655,0,0,0,0.001123,0.005591,0,0,0.441048,0,0,0,0.001651,0,0,0,0.003465,0,0,0,0,0,0,0,0,0,0,0.004086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001287,0.072226,0,0,0.009154,0,0,0,0.000448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006562,0,0,0,0,0.002281,0,0,0,0,0,0.019239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020219,0,0,0,0,0,0,0.000213,0,0,0.288525,0,0,0,0,0.000532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003239,0,0,0,0,0,0,0,0,0,0,0.054784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1002,0,0,0,0.017442,0.017442,0.063953,0,0,0,0.104651,0.05814,0,0,0,0.081395,0,0,0.156977,0,0,0.156977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023256,0.02907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02907,0.040698,0,0,0,0,0,0,0,0.104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D550,0,0.001284,0,0,0.002567,0,0,0.000428,0,0.000428,0.000214,0.023962,0,0,0,0.004279,0.104835,0.000214,0,0,0,0.003637,0,0.000428,0.005135,0,0.005563,0.002353,0.012623,0.031878,0,0.000856,0,0.004707,0.002567,0,0,0.001712,0.000856,0,0,0,0.000428,0,0.000428,0,0,0.001284,0.028669,0,0.005991,0.003637,0,0,0.000428,0,0.001926,0,0.000856,0,0.000428,0.000642,0.000428,0.008772,0.002995,0.000642,0,0.001926,0.020967,0,0,0,0.006846,0,0.000642,0.01733,0,0.001498,0.002567,0,0.010056,0,0.005135,0.016474,0.000428,0.00107,0,0.006418,0.002353,0,0,0.000214,0,0.017544,0.002781,0.002995,0,0.001498,0.001926,0.006205,0,0.007274,0,0.000428,0.004707,0,0,0.005563,0.000856,0.000856,0.00107,0.002781,0,0,0,0.002139,0.019683,0,0,0.000642,0,0.000428,0.000642,0.000856,0.009414,0.005991,0.006846,0.004493,0.00107,0,0,0,0,0.000214,0,0.004065,0.005991,0,0,0.004493,0.000642,0,0.000856,0.002139,0.005349,0,0,0.013265,0,0,0,0,0.004493,0,0,0,0.000214,0.010911,0,0.010484,0,0,0.001712,0,0.000642,0.000856,0,0.000642,0,0,0,0.005349,0,0.000642,0.050492,0.002567,0,0.008986,0,0.003423,0,0,0,0.000428,0,0.002139,0.001712,0.000428,0.011339,0,0,0.001284,0.000428,0,0,0.009414,0,0,0,0.000428,0.009414,0,0.001712,0,0.003209,0,0,0.000642,0,0,0,0.002995,0.000428,0,0.00107,0.000428,0.00706,0,0,0,0,0.005563,0,0.00107,0.007274,0.004065,0.000214,0.000428,0.000856,0,0,0,0,0,0.001926,0.001926,0,0.002353,0.004493,0.013051,0,0.001284,0,0.002781,0,0.011981,0.007916,0,0.001926,0,0,0.000214,0,0,0,0.002353,0.002353,0.000856,0.00107,0.000642,0,0,0.000856,0.001498,0,0,0.000642,0.008344,0,0.000642,0,0.000856,0,0.00813,0.002995,0,0.009842,0.000856,0,0,0.008344,0,0.001498,0.001284,0.000642,0,0.00107,0.002567,0,0,0,0.000428,0.001926,0,0.00107,0.000428,0.002139,0.000856,0,0.020539,0.003209,0.007488,0,0,0,0,0,0.000642,0.000856,0,0,0,0,0,0,0,0,0,0,0.000856,0,0,0.000428,0,0.002139,0,0,0,0,0.000428,0,0,0.001284,0.002567,0.000856,0,0.000428,0.001284,0.001498,0.000428,0.025246,0.000428,0.002353,0,0,0.002139,0,0.000428,0.000214,0,0.001284,0.007274,0.014549,0.003637,0,0,0,0,0,0,0,0,0,0,0.000428,0,0.000856,0,0.000214,0,0,0.001498,0,0,0,0,0,0,0,0,0,0.000856,0.003209,0.000428,0.000856,0,0.001284,0,0,0.00107,0.002139,0,0,0.011553,0,0,0.002353,0,0.000642,0.001712
D701,0,0,0,0,0,0,0,0,0,0.366667,0,0,0,0.033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066667,0,0,0,0,0.533333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D994,0,0.215119,0.001206,0,0.00201,0.00201,0,0,0.024528,0.015682,0,0.003619,0.004825,0,0,0,0.097708,0,0,0,0,0.037394,0,0,0,0.001206,0.001206,0.001206,0.04222,0,0.015682,0,0,0.028146,0,0,0,0,0.012867,0,0,0,0.009248,0,0.001206,0,0,0.028146,0,0,0,0,0,0,0,0,0.003619,0,0,0,0,0.001206,0.012867,0,0.006031,0.006433,0,0.004423,0,0,0,0,0,0.00201,0,0,0,0,0,0,0.000804,0,0,0,0,0,0,0,0.033374,0,0,0,0,0,0,0.000804,0,0.007238,0.002815,0,0,0,0,0.000804,0,0,0.005629,0.015279,0.001206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013269,0,0,0,0.00201,0,0,0,0.030961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003619,0.062324,0,0,0,0.00201,0,0,0,0.000402,0.000402,0.022517,0,0,0,0,0,0,0,0,0.003217,0,0,0,0,0,0,0,0,0,0.044632,0.004423,0,0.000804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009248,0,0,0,0.004021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0,0,0,0,0.001206,0,0,0,0.006836,0,0,0,0,0,0,0,0,0,0,0.023321,0,0,0,0,0,0,0,0,0.000804,0,0,0,0,0,0,0,0,0.017692,0.033776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006836,0,0,0.00965,0,0.002413,0,0,0,0,0,0,0.029755,0.000804,0,0,0,0,0,0,0,0,0,0,0,0,0.001206,0,0,0,0,0.001206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804,0,0,0.000804,0,0,0,0,0,0,0.000804,0.001608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0,0
D394,0,0,0,0.049583,0.418485,0.03213,0,0,0,0,0,0,0.013487,0,0,0,0,0,0,0,0,0.018643,0.001983,0,0,0.00595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003967,0,0.02618,0,0,0,0,0.000793,0.006743,0,0,0,0,0,0,0,0,0,0.005157,0,0,0,0,0,0,0,0,0,0,0,0,0.033717,0,0,0.01547,0,0,0,0.00357,0,0,0,0.005157,0,0,0,0.00595,0,0,0.006347,0,0,0,0,0,0.009917,0,0.055534,0.001587,0,0.012297,0,0.00595,0,0,0,0,0.013487,0,0,0,0,0,0,0.001587,0,0,0,0.005157,0,0.005157,0,0,0,0,0,0,0.00238,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714,0,0,0,0,0,0,0.00952,0,0,0.019833,0,0.008727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005553,0,0,0,0,0,0.00595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09639,0,0,0,0,0,0,0,0,0,0.001983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055137,0,0,0,0,0,0,0,0,0,0,0,0,0.002777,0,0,0,0,0,0,0,0,0.008727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D791,0,0,0,0,0,0,0,0,0,0,0,0.063158,0,0.83467,0,0,0,0.062048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D332,0,0,0,0,0,0,0,0.002256,0,0,0.001032,0.002256,0,0,0,0.017729,0.012572,0,0,0,0,0,0,0,0.05293,0,0.0225,0,0.000967,0.005867,0.034363,0,0,0,0,0,0,0,0,0,0,0,0.000193,0,0,0,0,0,0.000387,0,0.034169,0,0,0,0,0,0,0,0.000129,0.039005,0,0,0,0.076526,0.001289,0,0,0.001032,0.030108,0,0,0,0.000129,0,0,0.022758,0,0.001418,0,0,0,0,0,0.015795,0.000129,0.000129,0,0.005351,0,0,0,0.006125,0,0.010122,0.00116,0.000838,0,0,0,0.002837,0,0.08884,0,0,0.072465,0,0.000193,0.001547,0.009606,0,0.001934,0,0,0.000193,0,0.004191,0.01644,0,0,0.000774,0,0,0.000322,0,0.001612,0.013797,0.006512,0,0.000709,0,0,0,0,0,0,0.00058,0.016182,0,0,0.003546,0.001805,0.000387,6.4e-05,0.003417,0.003739,0.000709,0.00058,0.001032,0.001805,0,0,0,0.000967,0.000258,0,0,0,0,0,0.018825,0,0,0.003417,0,0,0.002514,0.000322,0,0,0.000258,0,0.017471,0,0.000451,0,0.008832,0.000322,0.002643,0,0.001934,0,0,0,0.000967,0.002514,0.000129,0.000129,0,0.002063,0,0,0.003159,0.000258,0,0.002256,0.00245,0.00058,0,0,0.009735,0.000258,0,0.006447,0,0.000645,0,0,0,0,0,0,0.000838,0.00606,0.002708,0.003352,0,0.000516,0,0,0.000516,0,0,0.004062,0.000129,0.001032,0,0.000387,0.001676,0.000709,0.000193,0.002321,0.000516,0.00058,0,0.005931,0,0.000645,0,0,0.00735,0,0.001032,0,0.009477,0.000193,0.000451,0.003804,6.4e-05,0.003417,0.001805,0.001999,0.001354,0.001547,0.000129,0,0.000774,0.000129,0.01096,0.001483,0.005351,0.005673,0,0.005093,0,0,0.001612,0.01399,0,0,6.4e-05,0.001676,0,0,0.000709,0.000451,0,0.000322,0.003933,0,0,0.000322,0,0.002901,0,0.001999,0,0,0.001354,0.001483,0.000709,0.000838,0.000709,0.000645,0.002128,0.005544,0,0.007092,0.005609,0,0,0.001354,0,0,0,0.002063,0,0.004255,0,0.000451,0,0.001225,6.4e-05,0.003481,0,0,0.000193,0,0.000322,0,0.00058,0,0.000322,0,0,0.001612,0,0.000129,0,0,0,0.002772,0,0.001289,0.003095,0.000258,0.000645,0.004964,0.001096,0.004448,0.001289,0.000387,0.001032,0.000322,0,0.000129,0.000387,6.4e-05,0,0.000322,0.000516,0.00058,0.000387,0.000322,0,0,0.001418,0,0,0.000258,0.001547,0.001547,0,6.4e-05,0.000451,0.00058,6.4e-05,0.000322,0.000903,0.000451,0,0,0.001096,0.000516,0,0,0.002192,0.000258,0,0,0.000709,0.000645,0.00058,0,0.000193,0.000322,0,0.000322,0.000193,0.002192,0.000258,0,0,0.000129,0,0.000193,0,0.000516,0,0.000193,0
