,otu308757,otu56423,otu151388,otu78308,otu290249,otu190213,otu317458,otu234399,otu52001,otu251532,otu264772,otu171426,otu157879,otu149387,otu243958,otu128440,otu314536,otu199122,otu187988,otu85851,otu144892,otu66141,otu325746,otu121514,otu92456,otu280657,otu289051,otu148198,otu290794,otu4298,otu47900,otu19492,otu132652,otu155659,otu321556,otu197885,otu24642,otu187218,otu181484,otu275580,otu91075,otu60355,otu100234,otu102976,otu164706,otu304184,otu315384,otu78596,otu324101,otu325184,otu328319,otu23328,otu38090,otu236578,otu101753,otu132182,otu3200,otu155702,otu241002,otu228653,otu63689,otu227760,otu108155,otu298459,otu103748,otu24528,otu304298,otu240221,otu301932,otu326647,otu245136,otu103020,otu44550,otu302225,otu34816,otu73605,otu16518,otu221867,otu197621,otu263295,otu259902,otu163717,otu2174,otu195689,otu15474,otu296007,otu288683,otu84462,otu105908,otu314888,otu304795,otu256834,otu163802,otu268010,otu231647,otu58736,otu17070,otu106586,otu45911,otu55654,otu153904,otu294723,otu225044,otu201690,otu36139,otu168212,otu260157,otu117685,otu43678,otu265516,otu10785,otu261575,otu232045,otu288610,otu173981,otu276077,otu147297,otu47403,otu178207,otu242915,otu302096,otu120851,otu79108,otu7142,otu57594,otu154085,otu137989,otu291721,otu41959,otu282540,otu312360,otu312383,otu70569,otu38625,otu127321,otu197155,otu251239,otu188738,otu243743,otu196922,otu175960,otu43895,otu270847,otu15523,otu9959,otu55336,otu125239,otu14007,otu147213,otu24353,otu54454,otu195408,otu222218,otu168693,otu312771,otu120996,otu265125,otu32501,otu24141,otu268092,otu22981,otu10990,otu165386,otu162439,otu299267,otu214479,otu295890,otu290028,otu261401,otu207496,otu62850,otu285676,otu97538,otu273830,otu3007,otu235244,otu266395,otu252534,otu285531,otu3127,otu42549,otu95808,otu113180,otu219274,otu210374,otu193671,otu22968,otu251138,otu45913,otu243689,otu24500,otu42156,otu319219,otu201243,otu264101,otu17628,otu20321,otu284516,otu280946,otu257163,otu16489,otu308261,otu4389,otu222127,otu39875,otu244184,otu2824,otu78374,otu224206,otu316782,otu194828,otu231371,otu35825,otu166343,otu14493,otu44558,otu146167,otu242237,otu41515,otu256267,otu50291,otu163911,otu263534,otu268193,otu101011,otu75640,otu177022,otu134669,otu145838,otu318690,otu157459,otu218541,otu94444,otu9874,otu293061,otu117687,otu285351,otu200155,otu161642,otu227880,otu233411,otu40576,otu219668,otu168565,otu276830,otu233617,otu119814,otu254062,otu52804,otu28864,otu189123,otu251163,otu80637,otu81005,otu308285,otu245615,otu124216,otu282810,otu8351,otu243655,otu294854,otu36535,otu278327,otu234887,otu181277,otu207159,otu221737,otu138417,otu270129,otu324167,otu324346,otu78675,otu217986,otu317198,otu291944,otu181894,otu240002,otu182032,otu95020,otu65698,otu117033,otu60148,otu192843,otu67104,otu240288,otu203368,otu116427,otu99250,otu66826,otu300821,otu135538,otu52824,otu324022,otu168614,otu180281,otu84911,otu40521,otu212991,otu93123,otu23602,otu219768,otu17862,otu153769,otu312748,otu218587,otu32760,otu270854,otu103968,otu231417,otu14883,otu2411,otu112225,otu312844,otu108407,otu225347,otu265438,otu68575,otu248837,otu248972,otu268361,otu13374,otu49771,otu182184,otu148914,otu230665,otu153796,otu138108,otu160705,otu141316,otu146724,otu235489,otu297426,otu304598,otu317514,otu13674,otu53020,otu120125,otu79276,otu82666,otu88917,otu162643,otu207307,otu87407,otu288120,otu115117,otu322018,otu289241,otu191467,otu22058,otu303909,otu227820,otu107198,otu166251,otu226876,otu183743,otu210801,otu77042,otu33780,otu21474,otu43787,otu23711,otu63298,otu245694,otu309351,otu181921,otu124324,otu55578,otu199402,otu286610,otu4577,otu190282,otu260203,otu67961,otu292589,otu277908,otu36430,otu27332,otu325357,otu26532,otu102961,otu245009,otu232248,otu202677,otu182959,otu196925,otu165410,otu119562,otu143731,otu287531,otu199937,otu34730,otu117386,otu321120,otu6486,otu105348,otu316098,otu193059,otu314945,otu224223,otu136701
D1529,0,0,0,0,6e-05,8e-05,4e-05,0,0,0,0,0.000379,4e-05,4e-05,0,0,0,4e-05,0,0,0,0,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0.426721,0,0,4e-05,0,0,0,0,0,0,0,0,2e-05,0,0,0.000558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,6e-05,0.000439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222,0,0,0,0,0,0,0,0,0.067529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D588,0,0.000846,8.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014125,0.000338,0,0,0,0,8.5e-05,0,0.033409,0,0,0,0,0,0,0,0,0.000507,0,0,0,0,0,0.00093,0,0.449886,0.008881,0,0,0.000254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105472,0,0,0.129747,0,0,0,0,0,0,0,0,0.002537,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507,0,0,0.000338,0.105642,0,0,0,0,0,0,0.000423,0,0,0,0,0,0,0.001269,0,0.000169,0,0,0,0,0.049564,0,8.5e-05,0,0,0,0,0,0,0,0.000761,0.01108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003214,0.008796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891,0,0.003383,0.000423,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677,0,0,0,0,0,0,0.000169,0,0,0,0,0,0,0
D2868,0.142412,0,0,0,0.005149,0,0.687805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021545,0,0,0,0.000271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019512,0,0,0,0,0,0,0.000271,0,0,0,0,0.010705,0,0,0,0.019919,0,0,0,0,0,0,0,0,0,0,0,0.01626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001355,0,0,0,0,0.001897,0,0,0,0,0,0,0.002575,0.006098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407,0,0,0,0,0,0,0,0,0,0,0,0.004472,0,0,0,0,0,0,0,0,0.011653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000542,0,0,0,0,0,0,0,0,0,0,0.000407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005014,0,0,0.000271,0,0,0,0.003794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001897,0,0,0,0,0,0,0,0,0,0,0,0,0.002033,0,0.001355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002033,0,0,0,0,0,0,0,0,0,0.006098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004878,0,0,0,0,0,0,0,0,0,0,0
D1796,0.463764,0,0.000243,0,6.1e-05,0,0.001274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1e-05,0,0,0,0,0,0,0,0,6.1e-05,0,0,0,0,0,0,0,0,0,0,0.06753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038268,0,0,0,0,0,0,0,0.000728,0,0,0,0.096125,0,0,0,0.015101,0,0,0,0,0,0.01407,0,0,0,0,0,0.069713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005822,0,0,0,0,0.00658,0,0,0,0,0,0,0.013645,0.010158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,0,0,0,0,0.000243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005701,0,0,0,0,0,0,0,0,0,0,0,0.00379,0,0,0,0,0,0,0,9.1e-05,0.031566,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,0,0,0.005428,0,0,0,0,0,0,0,6.1e-05,0,0,0,0,0,0,0.000182,0,0,0,0,0,0,0,0,0,0,0,0.000152,0,0,0,0,0,0,0,0.000334,0.002335,0,0,0,0,0,0,0,0,0,0,0.000273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035387,0,0,0,0,0,0,0.001183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002577,0,0,0,0,0,0,0,0,0,0,0,0,0.001122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021135,0,0,0,0,0,0,0,0,0,0.036418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001546,0,0,0,0,0,0,0,0,0,0,0
D71,0,0.026337,0,0,0,0,0.000708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225,0,0.004792,0,0,0.009793,0,0,0.010585,0,0,0,0,0.002792,0,0.000792,0,0,0,8.3e-05,0,0.005459,0,0,0,0,0.00025,0,0,0.01321,0,0.04388,0,0,0,0,0,0,0,0,0,0,4.2e-05,0,0,0,0,0,0.048798,0,0,0,0,0,0,0.00125,0,0.002792,0,0.000125,0,0,0,0,0.006501,0,4.2e-05,0,0,0,0,0,0,0.000958,0,0,0.004167,0,0,0,0,0.127641,8.3e-05,0,0,0,0,0,0,0,0,8.3e-05,0,0,8.3e-05,0,0.000583,0.00125,0.000125,0,0.001125,0.000167,0.000167,0,0.001917,0,0,0.002084,0.4651,0,0,0,0,0,0.006376,0,0,8.3e-05,0,0,0.000292,0,0,0,0.00225,0,0,0,0,0,0.000417,8.3e-05,0.000875,0,0,0.000333,0,0.000417,0.000667,0,0,0,0.001875,0,0.002417,0.000167,8.3e-05,0,0,0,0,0.000125,0,0,0.00025,0,0,0,0,0.000375,0,0,0,0,0,0,0,0,0,0.002917,0.00025,0,0,0,0,0.00075,0.000917,0,0.001625,0.000167,0.001083,0,0.015752,4.2e-05,0,0,0.000292,4.2e-05,0.000292,0.000833,8.3e-05,0,0,0,0,0,0,0,0,0,0.001,0,0,0.000958,0,0,0.001292,0,0,0,0,0,0,0.003167,0.000208,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0,0,0.000208,0,0.00075,0.00175,0,0.00025,0,0,0.001917,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0.001042,0,0,0,0,0,0,0.001834,0,0,0,0,0,0.009001,0.000458,0,0,0.001584,0.001125,0.000125,0,0,0,0,0.002459,0.000167,0,0.004042,0.000333,0,0,0,0,0,0.00125,0,0,0.000167,0,0,0,0,0,0,0,0,0.002584,0,0,0,0,0,0,0,0.000125,0,0,8.3e-05,0,0,0,0,0,0,0,0,0,0.000125,0,0,0,0.000625,0.002625,0,0,0.000542,0,0,0.000625,4.2e-05,5e-04,0.000375,0.003542,0,0,0,0,5e-04,0.000208,0,0,0,0,0,0,4.2e-05,0,8.3e-05,0,0,8.3e-05,0.001125,0,0,0.002125,8.3e-05,0,0,0.000417,0,0,0,0,0,0,0,0,8.3e-05,0,0,0,0,0,0
D685,0,0,0,0,0.429678,0,0,0,0,0.033754,0,0.424145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005995,0,0,0,0,0,0,0,0.037997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006087,0,0,0.000277,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2420,0,0,0.00014,0,0,0,0.04213,0,0,0.001118,0,0.000349,0,0,0,0,0,0,0,0,0,0,0,0.012227,0,0.072032,0,0,0.000419,0,0,0,0,0,0,0,0.000349,0,0,0,0,0,0,0,0.016279,0,0,0,0,0.035772,0.000699,0,0,0,0.000489,0.00021,0,0,0,0,0.00014,0,0.000419,0,0,0.002306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001817,0,0.00524,0,0,0,0,0,0,0,0,0,0,0,0,0.004541,0,0,0.000629,0,0,0.000489,0.00021,0,0,0,0,0,0,0,0.000489,0,0,0,0,0,0.001327,0.000279,0,0,0,0,0,0,0,0,0.001537,0,0,0,0,0,0,0,0,0,0,0,0,0.001188,0,0,0,0,0,0,0,0,0,0.001537,0,0,0,0,0.00014,0,0,0.004122,0,0,0,0.016768,0,0.00014,0,0,0,0,0,0,0.001817,0,0,0,0,0,0,0,0.001118,0,0,0,0,0,0,7e-05,0,0,0,0.000349,0,0,0,0,0,7e-05,0,0.008594,0,0.004192,0,0,0,0,0,0.012576,0.024663,0,0.001397,0,0,0.023824,0,0,0,0,0.000629,0,0,0,7e-05,0,0.00531,0,0.00014,0,0,0,0,0,0,0,0.002934,0.001537,0,0,0.000419,0,0,0,0.000419,0,0,0,0,0,7e-05,0,0,0.000978,0,0.00014,0.009153,0,0.001537,0,0.00014,0.006428,0,0,0,0,0,0,0,0,0,0,0,0,0.001258,0,0.000349,0,0,0,0,0,0,0.006148,0.001537,0,0,0,0,0,0,0,0,0.001537,0.011388,0,0,0,0.001118,0,0.005589,0.000559,0,0,0.009362,0,0,0,0,0,0.000279,0,0,0,0,0,0,0.00014,0,0,0,0,0.000908,0,0,0,0,0,0,0,0.000769,0,0,0.00014,0.000559,0.000349,0,0,0,0,0,7e-05,0,0.009851,0.01055,0.000769,0,0.001118,0.004052,0,0,0,0,0.00014,0.003493,0.001048,0,0.002725,0.000629,0,0,0,0,0.000349,0,0,0,0,0,0,0,0,0,0.001886,0,0,0,0,0,0,0,0,0,0,0.001537,0,0,0,0,0.000489,0,0,0,0.002515,0,0,0,0,0,0
D2039,0.607671,0,0,0,0,0,0,0,0,0,0,0,0,0.001056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008093,0,0,0,0,0,0,0,0,0.010204,0,0.001759,0,0,0,0,0,0,0,0,0,0,0.010908,0,0,0.002463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005278,0,0,0,0,0,0,0,0,0,0,0.009148,0.026742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352,0,0,0,0,0,0,0,0,0,0,0.001407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005278,0,0,0.035186,0,0,0,0.036946,0,0,0,0,0.000704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D758,0,0,0,0,0,0,0,0.086011,0,0,0.069133,0,0,0,0,0,0,0,0,0,0,0.001298,0,0,0,0,0,0,0,0,0,0.000325,0,0,0,0,0,0,0,0.052256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048685,0,0,0.064589,0,0.00779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230445,0,0,0,0,0,0,0.003895,0,0.01136,0,0,0,0,0,0,0.006816,0,0,0,0,0,0,0,0,0,0,0,0.08666,0,0,0,0,0.063616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000325,0,0,0,0,0,0.025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037326,0,0,0,0,0,0,0,0,0,0,0,0.015255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649,0.0568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063616,0,0,0.015579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779,0,0,0,0,0,0,0,0,0,0,0,0.002597,0,0,0,0,0,0,0,0.001947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974,0,0,0,0,0,0
D699,0,0,0,0,0,0,0.017454,0,0,0,0,0.001138,0,0,0,0,0,0,0,0,0,0,0,0.119712,0,0.074938,0,0,0,0,0,0,0,0,0,0,0.000759,0,0,0,0,0,0.000379,0.003035,0.001328,0,0,0,0,0.029975,0.000569,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000949,0,0.000759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000759,0.00019,0,0,0.00683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569,0,0,0.000759,0,0,0,0.001138,0,0,0.001138,0,0,0,0,0,0,0,0,0,0.000949,0,0,0.004933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001138,0,0.001518,0.000759,0,0,0,0,0,0,0,0,0,0,0,0,0.003984,0.000569,0,0,0,0,0,0,0,0,0,0,0.002087,0,0,0,0,0.020679,0,0,0.005692,0,0.030355,0,0,0.000949,0,0.006071,0,0.000379,0,0.000569,0,0,0,0,0,0,0,0.000379,0,0,0,0,0,0.001707,0,0,0,0,0,0,0,0,0,0.002846,0,0,0,0.008158,0,0,0,0,0,0,0,0,0,0.00019,0,0,0.000569,0,0.003035,0.005312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021248,0,0,0,0.011193,0,0,0,0.003605,0,0,0,0.000379,0.000569,0,0.002466,0,0,0,0,0.003794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005312,0,0,0,0,0,0.000379,0,0,0.000569,0.003225,0.000379,0,0,0,0.000949,0.00019,0,0,0.003035,0.006261,0,0,0,0.000379,0.00019,0,0,0,0.000949,0.139063,0.000949,0,0.003035,0.000379,0,0,0,0,0.003035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379,0,0,0,0,0.002846,0,0,0,0,0,0,0,0,0,0.000949,0,0,0,0,0
