,otu187988,otu149387,otu308757,otu234399,otu317458,otu264772,otu171426,otu102976,otu56423,otu190213,otu290249,otu66141,otu268193,otu121514,otu243958,otu290794,otu128440,otu251532,otu60355,otu151388,otu265516,otu280657,otu199122,otu321556,otu157879,otu164706,otu19492,otu92456,otu148198,otu100234,otu38090,otu24642,otu132182,otu78374,otu155702,otu107311,otu120996,otu201690,otu45911,otu304184,otu325184,otu24528,otu4298,otu232045,otu196922,otu55336,otu328319,otu268092,otu120851,otu302225,otu256267,otu103748,otu103020,otu228653,otu55654,otu280946,otu34816,otu282540,otu91075,otu318690,otu38625,otu178207,otu241002,otu265125,otu227760,otu173981,otu168693,otu44558,otu137989,otu221867,otu117687,otu22968,otu101753,otu263295,otu14493,otu162439,otu195689,otu108155,otu43678,otu270847,otu195408,otu166343,otu231647,otu84462,otu97538,otu23328,otu304795,otu197885,otu117685,otu175960,otu251239,otu3200,otu242915,otu302096,otu290028,otu47403,otu31413,otu285676,otu257163,otu261401,otu24353,otu259902,otu165386,otu24141,otu78596,otu182032,otu308285,otu75030,otu135538,otu245136,otu187218,otu316965,otu312360,otu188738,otu112225,otu299267,otu266395,otu55465,otu222127,otu10990,otu203368,otu54454,otu260122,otu314888,otu197621,otu17070,otu36430,otu240288,otu291721,otu210374,otu138417,otu17862,otu285351,otu58736,otu308261,otu63689,otu81005,otu278327,otu36535,otu251163,otu124216,otu73605,otu218587,otu152865,otu191467,otu244184,otu168212,otu35825,otu151813,otu240002,otu224206,otu84911,otu227820,otu45913,otu214479,otu16518,otu150453,otu34128,otu295890,otu312748,otu9874,otu145838,otu22981,otu234279,otu15474,otu303909,otu277402,otu194828,otu75640,otu201243,otu87407,otu67961,otu177022,otu52804,otu22058,otu61039,otu182434,otu231276,otu33780,otu5199,otu22980,otu309351,otu67689,otu75528,otu2411,otu324954,otu70569,otu233411,otu207307,otu117386,otu219274,otu276830,otu277908,otu312771,otu225044,otu6720,otu165410,otu243689,otu291944,otu180281,otu36139,otu248837,otu324167,otu196925,otu309779,otu193671,otu207496,otu219668,otu57594,otu95020,otu277058,otu101011,otu292589,otu36538,otu210801,otu46075,otu42549,otu113180,otu168614,otu115117,otu53020,otu288683,otu321120,otu225347,otu7142,otu267538,otu252305,otu16260,otu4389,otu79168,otu8351,otu174745,otu189123,otu326881,otu290349,otu245615,otu175915,otu260203,otu173926,otu32501,otu77042,otu297749,otu316782,otu329524,otu126841,otu139401,otu53612,otu170591,otu53613,otu54664,otu102961,otu297683,otu205724,otu317409,otu289928,otu42763,otu86374,otu215301,otu297223,otu322018,otu285371,otu246106,otu156770,otu115012,otu254131,otu6486,otu133358,otu231417,otu181240,otu268361,otu230665,otu167491,otu288120,otu135583,otu117241,otu39577,otu210754,otu40576,otu29192,otu276077,otu292933,otu122543,otu307765,otu129244,otu245411,otu230801,otu307179,otu38199,otu207098,otu69986,otu207159,otu253107,otu282960,otu317514,otu140795,otu325357,otu142090,otu123163,otu318627,otu160105,otu208692,otu21474,otu153831,otu265083,otu238032,otu25983,otu295753,otu163947,otu226925,otu240630,otu138568,otu40932,otu13674,otu53868,otu2824,otu19728,otu200155,otu119446,otu43895,otu299541,otu277778,otu320506,otu181894,otu237622,otu88716,otu144720,otu300568,otu77782,otu255751,otu244981,otu206523,otu228958,otu162483,otu320992,otu64106,otu249946,otu151695,otu114491,otu20321,otu219248,otu235489,otu239064,otu242039,otu305893,otu50291,otu76575,otu255728,otu119930,otu115295,otu55649,otu279863,otu197583,otu235765,otu208613,otu223372,otu217464,otu288562,otu66266,otu54094,otu61217,otu309826,otu199402,otu86075,otu95014,otu3990,otu244383,otu83212,otu75913,otu196789,otu128492,otu177813,otu45484,otu5854,otu117463,otu267893,otu43787,otu5031,otu181268,otu288164,otu115778,otu163488,otu108628,otu168383,otu255644,otu25654,otu207677,otu126602,otu74871,otu61099,otu145558,otu229309,otu51779,otu214178,otu89921,otu171375,otu324739,otu284076,otu91036,otu319975,otu254910
D208,0,0,0,0,0,0,0,0,0,0,0,0.100144,0.002076,0,0,0,0,0,0,0,0,0.00575,0,0.000479,0,0.023958,0,0,0,0.000319,0,0.000319,0,0,0,0,0.000799,0,0.001917,0.078741,0.008305,0.004792,0,0,0.001118,0,0,0,0,0,0,0,0,0,0.018527,0,0,0,0,0,0,0,0.000479,0,0,0,0.008305,0,0,0,0,0,0,0,0,0,0,0.000319,0,0,0,0.000639,0,0,0,0,0,0.001118,0,0,0,0,0.004632,0.002556,0,0,0,0,0.000479,0,0,0.014534,0,0,0,0,0,0,0,0,0,0,0.010541,0,0.001757,0,0,0,0,0,0,0,0,0.000799,0,0.018687,0.063568,0,0.041527,0.006548,0,0.00016,0.033062,0,0.003993,0.000479,0.010541,0,0,0.071874,0,0.000479,0.007187,0.00591,0,0,0,0.000479,0,0,0.012618,0.000958,0,0,0.000479,0,0,0,0,0,0,0.001118,0,0,0,0,0,0.00575,0.001757,0.002715,0,0,0.004153,0,0,0,0,0,0,0,0,0.010701,0,0,0,0,0,0,0.005111,0,0,0.000799,0,0,0.003194,0,0,0.000479,0.024597,0.000639,0.000319,0.004632,0.000639,0,0,0,0.003194,0,0,0.002236,0,0,0,0.026513,0,0,0.026513,0.002715,0,0,0.000639,0,0,0,0.003354,0,0,0,0.004153,0,0,0,0.002875,0.000639,0,0.001118,0.002396,0,0,0,0.000319,0,0,0,0,0,0,0,0.000479,0,0,0,0,0.000639,0.000319,0,0,0,0,0.010222,0,0,0,0,0.001437,0,0,0,0,0.003674,0.000958,0,0.000799,0.00016,0,0.00591,0,0,0,0,0,0,0,0.004632,0,0.004792,0.004951,0,0,0.000799,0,0.006868,0.007826,0.000958,0.00559,0,0,0.000319,0,0,0,0.000639,0,0,0,0.004792,0,0.000799,0.000799,0.001118,0.00016,0,0,0.004632,0.002076,0,0.000479,0,0,0.000799,0,0.009423,0,0,0,0,0.001597,0.000319,0.001597,0.000639,0.029069,0,0.001278,0.001757,0,0,0,0,0,0.000319,0.007986,0.001118,0.015812,0,0,0.000319,0,0,0,0.001118,0,0,0,0,0.000479,0.00016,0,0.000639,0.000479,0,0.003993,0,0.002875,0.002875,0.000319,0,0,0.001118,0,0,0.000319,0,0,0,0.000319,0,0,0,0.002236,0,0.001917,0.000639,0,0,0.008944,0,0,0,0,0.000479,0,0.000639,0,0,0,0.001437,0,0,0,0
D223,0,0.093855,0,0,0,0,0,0,0.249162,0.181484,0,0,0,0,0.007183,0.004789,0,0,0.02091,0.024262,0.041341,0,0,0,0.000958,0.000479,0.001596,0.058101,0,0.014525,0,0.002235,0.019792,0,0.000319,0,0,0.003831,0,0.00016,0,0.001277,0.007023,0.005267,0.002873,0.005427,0,0,0.001277,0,0.006385,0,0.002873,0,0,0,0.003033,0,0.002554,0,0.000638,0.000958,0,0.00814,0,0.000638,0,0,0.000479,0,0.006225,0.002873,0.004948,0,0.00399,0.000798,0,0,0,0.000958,0,0.003831,0.028571,0.004948,0,0.001437,0.002075,0.001596,0,0,0,0.040383,0,0,0.000319,0,0,0,0.000319,0.000479,0,0,0,0,0,0,0.001596,0,0,0,0,0,0,0,0,0,0,0.000319,0,0,0.002873,0,0,0,0,0,0,0,0,0,0,0.000798,0,0.001277,0,0,0,0.00016,0,0,0,0,0,0,0,0.000798,0,0,0,0,0,0,0,0,0,0.002394,0.001437,0,0,0,0.000479,0,0,0.005746,0.000319,0,0,0,0,0,0,0,0.000319,0,0,0,0,0,0,0,0,0,0,0.000479,0,0,0.026018,0,0,0,0.001117,0,0,0.000958,0,0,0.002075,0.000479,0,0,0.002873,0,0,0,0,0,0,0,0.004469,0,0,0.000319,0,0.000319,0.003352,0.000798,0,0,0,0,0,0,0.000319,0.002713,0,0,0.000479,0,0,0,0,0.000798,0,0.000479,0.028093,0,0,0.000798,0,0.002235,0,0.000638,0,0,0,0,0.000319,0,0,0,0,0.001117,0.000958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319,0,0.000479,0,0,0.001277,0,0.000319,0.000319,0,0.000319,0.000958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319,0,0,0,0,0,0,0.000638,0,0,0,0,0,0.000479,0,0,0.00016,0.000638,0,0.000479,0,0,0.000479,0,0.002713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000479,0,0,0,0,0,0,0,0,0.00016,0,0,0.000479,0.000638,0.001117,0,0.001756,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000479,0,0,0,0,0,0
D72,0,0,0,0,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D505,0,0,0,0,0,0,0,0,0,0,0.07155,0,0,0,0.62772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164012,0,0,0.13307,0,0,0,0,0,0,0,0,0,0.00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D405,0.999563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D389,0.94542,0,0,0,0,0,0,0.045483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157,0,0,0,0,0,0,0,0,0,0.001255,0,0,0,0,0.000392,0,0,0.001255,0,0,0,0,0,0,0,0.000941,0,0,0,0,0,0,0,0,0,0,0,0,0.000549,0,0,0,0,0,0,0,0,0,0,0.001333,0,0,0,0,0,0,0.000471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000941,0,0,0,0,0,0,0,0,0,0,0,0.000706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D531,0,0,0,0.014413,0,0.025954,0.000773,0.000166,0.000221,0,0,0.082666,0,0,0,0,0.015351,0,0,0,0,0,0,0.242642,0,0,0.095367,0,0,0,0,0,5.5e-05,0,0,0,0,0,0.010934,0.0386,0,0.000387,0,0,0.000607,0.00011,0.000221,0,0,0.03871,0,0.004915,0,0,0,0,0,0,0,0,0,0,0.045226,0,0.014358,0,0.000276,0,0,0,0,0,0,0.121818,0,0,0,0.00011,0.028052,0,0.02485,0,0,0,0.038047,5.5e-05,0,0.000994,0,0,0,0,0,0,0,0.001215,0,0.000994,0.000718,0.014137,0,0,0,0,0,0,0,0,0,0.004583,0,0.00011,0,0,0.000221,0.016842,0,0,0,0,0,0.020321,0,0,0,0,0.00243,0,0,0.010105,0,0.00011,0,0,0,0.000166,0,0,0,0,0,0.042465,0,0,0,0,0.000552,0,0,0,0,0.000221,0,0,0,0,0,0,0,0,0,0.00127,0.000331,0,0,0,0,0,0.00011,0,0,0,0,0.002816,0,0,0,0,0,0,0,0,0.000221,0,0,0,0.00011,0,0.00011,0,0.00011,0.000166,0.00613,0.00011,0,0,0.00011,0,0,0,0,0.000276,0.000884,0,0,0,0,0.000221,0,0.000166,0,0.000663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000884,0,0,0,0,0,0,0.000276,0,0,0,0,0,0,0,0.00011,0,0.000221,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0.001546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004086,0,0,0.002595,0,0,0.00011,0,0.000939,0.00011,0,0.004142,0,0,0,0,0.000166,0,0,0.00011,0.00011,0,0,0,0,0.000387,0,0,0,0.002098,0,0,0,0,0,0,0,0.000442,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0.000663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000773,0.000552,0,0,0,0,0,0,0.000497,5.5e-05,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,5.5e-05,0,0,0,0,0,0,0,0,0
D129,0.000292,7e-05,0,0,0.00548,0,0.001279,0,0,0,0,0.225968,0,0,0,0,0,0,0.000348,0.000348,0,0.016341,0,0,0,0.004353,0,0.000598,0,0,0,0.002976,0.004033,0,0,0,0,0,0,0,0.011988,0,9.7e-05,0,0,0,0,0,0,0,0,0,0.00025,0.000987,0.007677,0,0,0,0,0,0,0,0,0,0,0,0.064989,0.01712,0,0,0,0,0.000932,0,0,0,0,0.001627,0,0,0,0,0,0,0,0,0.001975,0,0,0,0,0,0.104904,0.002336,0,0,0,0,0,0.003254,0,0.017704,0,0,0,0,0,0,0,0,0,0.000111,0.015354,0.004826,0,0,0,0,0,0,0,0,0,0.001432,0.048467,0.022586,0,0,0.004715,0,0,0.000445,0,0,0.003505,0.048036,0,0,0.002962,0,0,0,0.007538,0.000209,0,0,0,0.000751,0,0,0,0,0.00217,0,0.010139,0,0,0.000403,0,0,0,0.001391,0,0,0,0,0.001015,0,0.000389,0.002823,0,0,0,0,0.001279,0,0,0,0,0,0,0,0,0,0.001822,0,0,0,0,0,0,0.000111,0,0,0.055838,0.000278,0,0,0,0,0,0,0,0.000139,0.012948,0.035269,1.4e-05,0,0,0.000501,0,0,0,0.003213,0,0,0.007232,0.000876,0,0,0.000153,0.000181,0,0,0.00299,0,0,0,0,0,0,0,0,0,0,0.000167,0.001627,0.000528,0,0,0.000153,0,0,0,0,0,5.6e-05,0,0.002823,0,0,0.02431,0,0.044935,0,0,0.001001,0,0,0,0,0,0,0.000515,0,0,0,0.002698,0,0.00242,0,0,0,0,0.001154,0.000848,0,0,0,0,0,0,0,0,0,0.000403,8.3e-05,0.001377,0.00178,0,0,0,0,0,0.001488,0,0,0,0,0,0.001975,0,0.004019,0,7e-05,0.000348,0,0,0,0,0,0,0,0.000348,0.007315,0,0.000946,0,0,0,0,0.001196,0,0,0.000834,0,0,0,0,0,0,1.4e-05,0,0.000417,0,0,0.001919,0,0,0,0.000306,0.000334,0,0,0,0,0,0.001099,0.000362,0.001113,0,0,0,0,0.010041,0.001335,0,0.000111,0,0,0.005396,0,0.004562,0.007746,0.001154,0,0,0,0,0,0,0.000153,0,0.001391,0,0,0,0,0,0,0,0,0,0.000974,0,0,0,0,0,0.004854,0,0,0,0,0,0.000389,0,0.000334,0.002962,0.000487
D542,0,0,0,0.173532,0,0.289753,0,0,0.000131,0,0,0.022262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000263,0.021737,0,0,0,0,0.001418,0.00021,0,0,0,0,0,0.1011,0,0,0,0.001208,0,0,0,0,0,0,0,0,0.062744,0.000604,0.046494,0,0,0,0,0,0,0,0,0,0,0.016959,0,0.000866,0,0,0.002888,0,0,0,0,0,0,0,0.073692,0.010265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002337,0,0.03027,0,0,0,0,0,0,0,0.002048,0,0,0,0.002179,0,0.018377,0,0,7.9e-05,0,0.000158,0,0.002599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004857,0,0,0,0,0.000788,0,0.000236,0,0,0,0,0,0,0,0.000604,0.000709,0,0,0,0.00063,0.038303,0,0,0,0,0,0,0,5.3e-05,0,0,0,0,0,0,0,0.000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028012,0,0.000105,0.001339,0,0.001759,0,0,0.00084,0.000473,0,0,0,0,0,0,0,0,0,0,0,0,0.001129,0,0,0,0,0,0,0,0,0,0,0,7.9e-05,0.000158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184,0.000263,0,0,0,0,0,0,0,0,0.005303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001076,0,0,0,0,0,0.005198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000368,0,0,0,0,0.003597,0,0,0,0,0,0.009976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0.001155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3e-05
D459,0,0,0,0,0.121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020202,0,0,0.050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020202,0,0,0,0,0.040404,0,0,0.050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070707,0,0,0,0,0,0.010101,0,0,0,0,0,0,0,0,0.242424,0,0,0,0,0,0,0,0.010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303,0.070707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040404,0,0,0,0,0,0,0,0,0,0,0,0,0.010101,0,0,0,0,0,0.030303,0,0,0,0,0,0.020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010101,0,0,0,0,0,0,0,0,0.030303,0,0,0,0,0,0,0,0,0.020202,0,0,0,0.010101,0,0.040404,0,0,0
