,otu308757,otu56423,otu149387,otu243958,otu317458,otu251532,otu190213,otu264772,otu290249,otu234399,otu151388,otu102976,otu268193,otu128440,otu171426,otu66141,otu157879,otu38090,otu148198,otu19492,otu4298,otu121514,otu321556,otu92456,otu265516,otu100234,otu3200,otu199122,otu132182,otu60355,otu164706,otu201690,otu280657,otu137989,otu103020,otu282540,otu227760,otu53020,otu120851,otu268092,otu251239,otu304184,otu45911,otu255728,otu328319,otu263295,otu195408,otu24642,otu290794,otu241002,otu302225,otu43678,otu17862,otu197621,otu103748,otu219274,otu58736,otu265125,otu107311,otu173981,otu232045,otu34128,otu228653,otu195689,otu91075,otu57594,otu24528,otu197885,otu78374,otu66826,otu70569,otu262467,otu36430,otu284516,otu24141,otu231647,otu84462,otu245136,otu117685,otu270419,otu196922,otu100915,otu117687,otu304795,otu162439,otu285676,otu215301,otu23328,otu178207,otu22968,otu302096,otu257163,otu55336,otu325184,otu326881,otu168212,otu34816,otu187218,otu45913,otu7142,otu175960,otu138417,otu261575,otu318690,otu282810,otu259902,otu261401,otu17070,otu9874,otu290028,otu260122,otu188738,otu312771,otu54454,otu73605,otu112225,otu314888,otu157459,otu14493,otu55654,otu266395,otu63298,otu108155,otu36139,otu174745,otu147213,otu63689,otu280946,otu222127,otu210754,otu42549,otu50291,otu191467,otu22981,otu15523,otu240288,otu38625,otu312360,otu256267,otu68575,otu279863,otu97538,otu87407,otu308261,otu47403,otu14883,otu75030,otu319219,otu210801,otu242915,otu210374,otu200155,otu67961,otu270847,otu201243,otu312748,otu251163,otu286610,otu221737,otu308285,otu168565,otu119446,otu165410,otu101753,otu168693,otu293061,otu24353,otu324167,otu40521,otu242237,otu248837,otu291721,otu8351,otu234279,otu95020,otu33780,otu135538,otu133358,otu299267,otu124216,otu224206,otu104688,otu151813,otu214479,otu36535,otu278327,otu207307,otu203368,otu221867,otu124324,otu219668,otu15474,otu39875,otu225044,otu117241,otu276077,otu81005,otu230665,otu46018,otu35825,otu240002,otu10990,otu194828,otu197583,otu151399,otu84911,otu138568,otu22058,otu139401,otu120996,otu277908,otu243689,otu297683,otu5199,otu231417,otu2824,otu285351,otu280574,otu145838,otu177022,otu277402,otu316782,otu207496,otu4389,otu75528,otu173926,otu290349,otu233411,otu288683,otu277058,otu22980,otu32501,otu140795,otu166559,otu101011,otu75640,otu292589,otu113180,otu245615,otu180281,otu8108,otu115117,otu181277,otu82666,otu60148,otu45918,otu317198,otu255644,otu26532,otu43787,otu77042,otu3990,otu117386,otu291944,otu309351,otu183743,otu309826,otu322018,otu218587,otu40932,otu168614,otu207098,otu297223,otu231276,otu270129,otu25983,otu317409,otu189123,otu227820,otu54664,otu67104,otu244383,otu45484,otu253107,otu235489,otu307179,otu199402,otu2411,otu166343,otu115778,otu327646,otu36538,otu116241,otu135583,otu44558,otu276830,otu196925,otu321120,otu317514,otu21474,otu61217,otu129244,otu156770,otu53613,otu288120,otu53868,otu260203,otu16260,otu46075,otu307765,otu117355,otu67689,otu231461,otu107198,otu320506,otu230801,otu19728,otu162483,otu79168,otu22860,otu242039,otu115012,otu234623,otu175915,otu303909,otu205724,otu93123,otu102961,otu244693,otu268361,otu195872,otu86382,otu226925,otu265083,otu165448,otu69986,otu123163,otu75913,otu196789,otu115295,otu45217,otu172985,otu300821,otu325357,otu50877,otu208613,otu208692,otu188803,otu41945,otu266929,otu297749,otu312154,otu153831,otu271406,otu25654,otu13674,otu223372,otu115490,otu207159,otu166117,otu6486,otu200994,otu288164,otu282960,otu209586,otu43895,otu163488,otu240630,otu188667,otu289928,otu76106,otu242001,otu318627,otu319177,otu245411,otu55649,otu305893,otu102811,otu95014,otu292933,otu104749,otu181268,otu86075,otu183055,otu128492,otu173727,otu290186,otu39577,otu267538,otu300568,otu53612,otu88716,otu206523,otu6720,otu254131,otu261723,otu309779,otu3914,otu144720,otu54094,otu145558,otu217464,otu160105,otu77782,otu267893,otu120543,otu27943,otu222210,otu10651,otu151695
D828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020108,0,0,0,0,0.001547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,0,0,0,0,0.000388,0,0.000291,9.7e-05,0,0,0,0,0.003976,0,0.00514,0.02725,0,0,0,0,0,0,0,0,0,0,0,0,0.004073,0,0.095132,0,0,0,0,0,0,0.003491,0,0,0.000388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0,0,0,0,0,0,0,0,0,0,0,0,0.000582,0,0,0.003782,0,0,0,0,0.000485,0,0,0,0,0,0,0,0.004073,0,0,0.01377,0,0,0,0,0,0,0,0,0,0.002424,0,0,0,0,0,0.066137,0,0,0.061773,0.009697,0,0,0,0,0.002618,0,0,0,0.386152,0,0,0,0,0,0,0,0,0,0,0,0.045675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016971,0,0,0,0,0,0.005431,0,0.025989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001843,0,0,0,0,0,0,0,0,0,0,0,0,0.010667,0,0.001843,0.009697,0,0,0,0,0.005721,0,0,0,0,0,0.009697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013576,0,0,0,0,0.000679,0,0.02114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001164,0,0,0,0,0,0,0,0.005721,0,0,0.001067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000776,0,0.015516,0,0,0,9.7e-05,0,0,0,0,0,0,0,0,0,0.001358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7e-05,0.008437,0.000194,0,0,0,0,0,0,0,0.000679,0,0,0,0,0.000194,0,0,0,0,0,0,0,0,0,0.054306,0,0,0,0,0,0,0,0,0,0,0,0,0.009988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002036,0,0,0.011637,0.002618,0,0,0,0,0,0,0,0,0,0.000776,0,0,0,0,0
D949,0,0,0,0.708906,0,0,0,0,0.001082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000433,0,0.21502,0,0,0,0.024889,0,0,0.001623,0.030516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216,0,0,0,0,0,0,0,0,0.001515,0,0,0,0,0,0,0,0,0,0,0.000216,0,0,0.000216,0,0,0,0,0,0,0,0,0.014068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D338,6.5e-05,0,0,0,0,0.032005,0.003765,0,3.2e-05,0,0,0,0,0,0,0,0,0.040087,0,0,0.08355,0,0,0,0,0,0.000195,0,0.751104,0,0.011912,0,0,0.018502,0.012172,0,0,0,0.004414,0,0,0,0,0,0.002142,0,0,0,0.005486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5e-05,0,0,0,0,0,0.003181,0,0.002727,0,0,0,0,0,6.5e-05,0,0,0,0,0.000454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454,0,0,0,0,0,0,0,0.006167,0,0,0.001233,0.003863,0,0,0,0,0,0,0,0,0,0,0,0.003863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D617,0.778942,0,0,0,0.06474,0,0,0,0,0,0.000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049909,0,0,0.08375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1351,0,0,0,0,0.10982,0,0,0,0,0,0.000658,0,0,0,0,0,0,0,0,0,0,0.034634,0,0,0,0.000438,0,0,0.009645,0,0.052609,0,0.032442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01381,0,0,0,0,0,0,0,0,0,0,0.076502,0,0,0,0,0,0.001973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219,0,0,0.000658,0,0,0.00833,0,0,0,0,0,0,0.001754,0,0,0,0,0,0,0,0,0.062253,0,0.001754,0.005261,0,0,0,0,0,0,0.001096,0,0,0,0,0,0,0,0.067733,0.005918,0.000658,0,0,0,0,0,0,0.006576,0.001973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016879,0,0,0,0.000658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001754,0,0.00285,0.062692,0,0,0,0,0,0,0,0.000219,0,0,0,0.088777,0,0,0,0,0.001096,0.000438,0,0.000877,0.042087,0,0,0,0.002411,0,0,0,0,0.001096,0,0.000877,0,0,0,0,0.028715,0,0,0,0,0,0,0,0.009645,0.00263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438,0.054801,0,0,0,0,0,0.001754,0,0,0,0,0,0,0,0,0.012714,0,0,0.000438,0,0.005699,0,0,0.010741,0,0,0,0,0,0,0.006795,0,0,0.000438,0,0,0.002192,0,0.000438,0.001973,0,0,0,0,0,0.002192,0.007234,0,0,0,0,0.001973,0,0,0,0,0,0,0,0,0,0.010522,0,0,0,0,0,0,0,0,0,0.006138,0,0,0.012495,0,0,0,0,0,0,0,0,0,0,0,0.000438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219,0,0,0.000438,0,0.009864,0,0,0,0.008549,0,0.003288,0,0.011179,0.003507,0,0,0.000219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001315,0,0.000658,0.004822,0
D842,0,0,0,0,0.001014,0,0.001464,0,0,0,0,0,0.010811,0,0.00214,0,0,0,0,0,0,0.003378,0,0,0,0.000788,0,0,0,0,0.008784,0,0.02455,0,0,0,0,0,0,0,0,0,0,0,0.000113,0,0,0.006869,0.012838,0,0,0,0.002365,0.009797,0,0,0,0,0,0.001014,0,0.000338,0,0,0.000338,0,0.001464,0,0,0,0,0,0,0,0.002815,0,0,0,0,0,0,0.001239,0,0,0,0,0.005518,0,0,0,0.009572,0.000563,0,0.003378,0,0.001351,0,0,0,0.006869,0,0,0,0.012613,0,0.030405,0.003491,0.012387,0,0.018694,0,0.037162,0.000225,0,0,0,0.00045,0.003041,0,0.022523,0,0,0.000338,0,0,0,0,0.001914,0.005068,0.000225,0,0.000113,0.008896,0.00214,0.003491,0,0,0.00777,0,0,0.000225,0,0.003716,0.017005,0,0,0,0.024887,0.000901,0.002027,0,0.001464,0,0,0.001689,0,0,0,0,0,0,0.000338,0,0.002365,0.021734,0,0,0,0,0,0,0.016892,0.001014,0,0.000676,0.000113,0.001126,0,0,0.015315,0,0.000225,0.000676,0.009234,0.014527,0,0.00045,0,0,0,0,0,0,0,0.001914,0,0.001802,0,0,0.003266,0.003716,0.007545,0,0,0.004279,0.000788,0.000113,0.023761,0,0.00732,0,0.000676,0.003491,0.003941,0,0.00045,0.015428,0,0.000225,0.004617,0.005518,0.000338,0,0,0,0.034797,0,0,0,0,0.016554,0,0.019369,0,0,0.010923,0.000225,0.002928,0.002815,0.013739,0.000563,0,0,0,0,0,0.007432,0.005631,0,0,0.000113,0.000225,0,0.001126,0.004279,0,0,0,0.001914,0.003266,0.008221,0.000225,0.000676,0.001464,0,0.00045,0.004505,0,0,0.000563,0.010586,0,0.006081,0.000338,0.000225,0.001351,0,0.00045,0,0,0,0.000338,0.000563,0.002928,0,0.001239,0.002928,0,0.001802,0.016667,0.003153,0,0.000225,0.003716,0.000563,0.010923,0,0,0.003829,0.000113,0.00045,0,0.005068,0.002252,0.000788,0.000563,0,0,0,0.000676,0,0.003941,0.001239,0.009797,0.000225,0,0.001014,0,0.000225,0,0.00991,0.001577,0,0,0.001689,0.002928,0,0.000901,0,0.001689,0,0,0.000901,0.001914,0,0,0.001914,0,0.004279,0,0,0,0.005968,0,0,0.000338,0.001014,0.00045,0,0,0.002252,0.00259,0.000563,0.00259,0,0,0.010586,0,0.004279,0,0,0,0.001351,0.000676,0.002815,0,0,0.000113,0.002703,0,0,0.005518,0,0,0.000225,0.00518,0.00214,0,0,0.001802,0.000901,0,0,0,0,0.000563,0.000338,0,0.000338,0.006644,0.000113,0.0125,0,0.000563,0,0,0.000113,0.008446,0.000563,0.000676
D638,0.749456,0,0,0,0,0,0.000669,0,0.005356,0,0,0,0,0,0,0,0,0.063598,0.002008,0.005523,0,0,0,0,0,0.002678,0,0.050042,0,0,0,0,0,0,0,0.020251,0,0,0.000837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001004,0.002343,0,0,0,0,0,0,0.005858,0.001841,0,0,0,0,0,0,0,0,0,0,0,0,0.000502,0,0,0.006192,0.000335,0,0,0.000335,0,0,0,0,0,0,0,0,0.00251,0,0,0,0,0,0,0,0.001841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012887,0,0,0,0,0,0,0,0,0,0.002008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D131,0,0,0,0,0,0,0,0.094236,0,0.012757,0,0,0,0.003166,9.3e-05,0.129249,0,0,0,0.053264,0,0,0.014154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186,0.100568,0.030543,0,0,0.011547,0.074309,0,0,0.007356,0.005028,0.102989,0,0,0.004377,0,0,0,0,0,0,0,0,0,0,0,0,0.000372,0,0,0,0,0.009871,0.001304,0,0,0,0.017786,0,0,0,0,0,0,0,0.001862,0,0,0,0,0,0,0,0,0,0.002421,0,0,0,0,0,0,0.01313,0,0,0,0.056802,0,0,0,0,0,0,0.009032,0.000466,0.000745,0.000186,0,0,0,0,0,0.000186,0,0,0,0,0,0,0,0,0.004283,0,0.000279,0,0,0,0,0,0,0,0,0,0,0.000652,0,0,0.000186,0,0,0,0,0,0,0.000279,0,0,0,0.013409,0,0,0.010616,0.000186,0,0.000279,0.003445,0,0.002887,0.001955,0.002794,0.000466,0,0,0,0.000279,0,0,0,0.000466,0,0,0,0,0,0,0,0.000186,0,0,0.014154,0,0,0.032219,0,0,0,0,0,0.003259,0,0,0,0,0,0,0.000186,0.000931,0,0,0.000372,0.013782,0,0,0,0,0,0.000186,0.002328,0.005494,0,0,0,0,0,0,0,0,0,0,0.006705,0,0,0,0,0.000559,0,0,0,0,0,0,0,0.002049,0.034268,0,0.000186,0,0,0.000186,0,0,0,0,0,9.3e-05,0,0,0.001024,0,0,0,0.003166,0,0,9.3e-05,0,0,0,0.005215,0.001211,0,0,0,0.003632,0,9.3e-05,0.00419,0,0,0,0.001676,0,0,0,0,0,0,0,0,0,0,0.000372,0,0,0,0,0,0,0,0,0,0.000279,0,0,0,0,0,0,0,0,0.036689,0,0,0.000186,0,0,0,0,0,0,0,0,0,0.000186,0,0,0,0.000186,0,0,0,0,0,0,0,0,0,0,0,0.000186,0,0,0,0.003445,0.000372,0,0,0,0,0,0.000466,0,0,0,0,0,0,0.000186,0,0.000279,0,0.000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186,0.000838,0,0,0,0.000279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1228,0,0,0,0,0.006672,0,0.001564,0,0,0,0,0,0.008235,0,0.002189,0,0,0,0,0,0,0.011154,0,0,0,0.000208,0,0,0,0,0.053685,0,0.024914,0,0.000208,0,0,0,0.000417,0,0,0,0,0,0.000104,0,0,0.024393,0.133952,0,0,0,0.002398,0.003857,0,0,0,0,0,0.000938,0,0.001042,0,0,0,0,0.000938,0,0,0,0,0,0,0,0.002502,0,0,0,0,0.000208,0,0.00073,0,0,0,0,0.00271,0,0,0,0.005838,0.001772,0,0.003336,0,0.000625,0,0,0,0.003857,0.003961,0,0,0.007401,0,0.018451,0.003753,0.006046,0,0.012926,0,0.02335,0.000313,0,0,0,0,0.001981,0,0.023246,0,0,0.000104,0,0,0.000104,0.000208,0.003023,0.005838,0,0,0,0.002919,0.002085,0.003648,0,0,0.011884,0,0,0.000834,0,0.003336,0.00688,0,0,0,0.012718,0.002189,0.002085,0,0.000938,0,0,0.002606,0.000104,0.000938,0,0,0,0,0,0,0.004795,0.004587,0,0,0,0,0,0,0.00761,0.000834,0,0,0.001668,0.002293,0,0,0.01303,0.000834,0.000521,0.000521,0.007089,0.00761,0,0,0,0,0,0,0.000313,0,0,0.00344,0,0.001981,0,0,0.005004,0.003648,0.004378,0.002398,0,0.006463,0.000625,0,0.016783,0,0.006672,0,0.000104,0.001876,0.011884,0,0,0.013239,0,0.000521,0.003961,0.003544,0.001042,0.000208,0.001459,0,0.02825,0,0.000208,0,0,0.005733,0,0.006672,0,0,0.000521,0.000417,0.001147,0.002815,0.006672,0.000938,0,0,0,0,0,0.001981,0.005942,0,0,0.000625,0.001042,0,0.00073,0.004482,0.003336,0,0,0.00417,0.008965,0.009173,0,0.000834,0.007505,0,0.000313,0.002398,0,0,0.000208,0.010529,0,0.003857,0.000417,0.000625,0.001251,0,0.005525,0,0,0.000313,0.000208,0.002815,0.001251,0.000417,0.001251,0.002085,0,0.00073,0.012613,0.000625,0,0.002189,0.00344,0.000625,0.004899,0.000417,0,0.002398,0.000104,0.002085,0,0.003753,0.001876,0.000834,0,0,0.00073,0,0.001876,0,0.003336,0.000208,0.00688,0.001876,0,0,0,0.001042,0,0.00688,0.002085,0,0,0.001459,0.005108,0,0.000521,0.000104,0.006255,0,0.000417,0.001042,0.011258,0,0,0.003023,0,0.002815,0,0,0,0.001147,0,0,0.000417,0,0.000417,0,0,0.001147,0.002502,0.000834,0.000834,0.002085,0.000208,0.005316,0,0.003336,0.001772,0.000417,0,0.001876,0.000104,0.002293,0.000521,0,0.000313,0.003544,0,0,0.001355,0,0,0.000417,0.005629,0.001459,0,0,0,0.000417,0.000104,0,0.000208,0,0.000313,0.001042,0.000208,0.001147,0.004274,0.000104,0.006984,0,0.001355,0,0,0,0.004378,0.000521,0.000625
