,otu308757,otu243958,otu56423,otu317458,otu264772,otu149387,otu290249,otu102976,otu171426,otu234399,otu128440,otu121514,otu151388,otu66141,otu132182,otu157879,otu268193,otu251532,otu100234,otu199122,otu290794,otu92456,otu38090,otu190213,otu19492,otu304184,otu164706,otu60355,otu4298,otu91075,otu148198,otu321556,otu38625,otu137989,otu265516,otu280657,otu221867,otu201690,otu227760,otu78596,otu120851,otu103748,otu103020,otu328319,otu228653,otu3200,otu17862,otu232045,otu45911,otu178207,otu24642,otu282540,otu108155,otu36139,otu280946,otu43678,otu302225,otu58736,otu325184,otu257163,otu263295,otu245136,otu251239,otu314888,otu22968,otu45913,otu187218,otu195689,otu57594,otu138417,otu70569,otu268092,otu298459,otu265125,otu195408,otu117685,otu304795,otu241002,otu197885,otu240288,otu207307,otu201243,otu55654,otu55336,otu231647,otu188738,otu259902,otu147213,otu168212,otu222127,otu120996,otu288683,otu78374,otu117687,otu34816,otu279863,otu14493,otu191467,otu84462,otu165976,otu17070,otu162439,otu73605,otu196922,otu210801,otu107311,otu302096,otu24141,otu197621,otu9874,otu36430,otu32501,otu43787,otu55465,otu278327,otu52804,otu267538,otu168565,otu173981,otu168693,otu261401,otu299267,otu266395,otu34128,otu175960,otu291721,otu252534,otu97538,otu182032,otu285676,otu182184,otu312360,otu135538,otu242915,otu308261,otu33780,otu54454,otu214479,otu23328,otu295890,otu240002,otu124216,otu66826,otu10990,otu22980,otu319219,otu215301,otu113180,otu41945,otu225044,otu174745,otu184634,otu24528,otu218587,otu224206,otu47403,otu42549,otu221737,otu36535,otu260122,otu233411,otu290028,otu165386,otu251163,otu277058,otu117386,otu150453,otu270847,otu7142,otu312748,otu308285,otu61099,otu203368,otu286610,otu227820,otu63821,otu22981,otu242237,otu6720,otu194828,otu24353,otu40521,otu14883,otu183743,otu316782,otu277402,otu219274,otu40932,otu208692,otu39875,otu226876,otu255728,otu167491,otu2411,otu318690,otu63689,otu115117,otu145838,otu276706,otu177022,otu22058,otu282810,otu140795,otu180281,otu43895,otu207496,otu67104,otu75640,otu234279,otu268361,otu54664,otu181894,otu219768,otu101753,otu210374,otu36538,otu20321,otu285351,otu193671,otu144720,otu292589,otu291944,otu312771,otu81005,otu276830,otu35825,otu142090,otu4389,otu133358,otu112225,otu15474,otu5199,otu189123,otu223020,otu75528,otu117463,otu173926,otu44558,otu8351,otu95020,otu75030,otu307179,otu40576,otu276077,otu260203,otu312383,otu196925,otu168614,otu243689,otu63644,otu50291,otu84911,otu143731,otu207098,otu16260,otu151399,otu200155,otu329808,otu245615,otu115778,otu324167,otu256267,otu262467,otu317514,otu290349,otu22860,otu297683,otu324954,otu25983,otu165410,otu230665,otu309351,otu237758,otu19728,otu31413,otu2824,otu151695,otu219668,otu102961,otu208613,otu86382,otu156770,otu166343,otu53020,otu69986,otu64533,otu294723,otu322018,otu115012,otu46075,otu79168,otu101011,otu252305,otu231417,otu153831,otu5031,otu175915,otu248837,otu242039,otu200994,otu288120,otu117241,otu244693,otu61217,otu151813,otu67961,otu317198,otu326323,otu162483,otu119446,otu321120,otu77042,otu115261,otu206149,otu86374,otu23062,otu6486,otu197583,otu277908,otu205724,otu3990,otu107198,otu129244,otu188803,otu280574,otu53868,otu235489,otu326881,otu135583,otu77782,otu297749,otu320506,otu64106,otu300821,otu4863,otu300568,otu325357,otu253107,otu165448,otu223372,otu128492,otu5301,otu315340,otu177463,otu267893,otu290186,otu115295,otu173727,otu318627,otu195872,otu261723,otu643,otu95014,otu171375,otu249946,otu53613,otu245411,otu86075,otu329524,otu303909,otu196789,otu255644,otu305893,otu317409,otu95345,otu53612,otu75913,otu168383,otu239064,otu255751,otu23473,otu104813,otu217464,otu297223,otu115490,otu46018,otu231461,otu74871,otu54094,otu163488,otu299541,otu49610,otu254131,otu327646,otu139401,otu109019,otu320992,otu295753,otu29192,otu177813,otu319177,otu10651,otu5061,otu104749,otu13674,otu309826,otu66266,otu240630,otu254910,otu57830
D299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D470,0.913472,0,0,0,0,0,0.006572,0,0,0,0,0,0,0,0.001643,0,0,0,0.006572,0,0,0,0.005476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021358,0,0,0,0.015334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D418,0,0,0.057692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038462,0,0.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057692,0,0,0,0.096154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134615,0,0,0.115385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D479,0,0,0.000294,0,0,0,0,0.931187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196,0.000294,0,0,0,0.000491,0.000344,0,0,0,0,0,0.000687,0,0,0,0,0,0,0,0,0,0.000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001963,0.001571,0.000589,0,0,0,0,0,0,0,0,0,0.000147,0,0,0.000147,0,0,0,0,0,0,0,0,0,0,0,0.000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050702,0,0,0,0,0,0,0,0,0,0,0,0.000982,0,0,0,0.000196,0,0,0,0,0,0,0,0,0.000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9e-05,0,0,0,0,0.001325,0,0,0,0,0,0,0,0,0,0,0,0,0.000393,0,0,0,0,0,0,0,0,0,9.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,9.8e-05,0,0,0,0,0,0,0,0.000147,0,0,0,0,0,0,0,0,0.000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687,0,0,0,0,0,0,0,0,0,0,0,9.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8e-05,0,0
D219,0,0,0,0.053531,0,0,0.016494,0,0,0,0,0,0,0,0,0,0,0.069726,0.021892,3e-04,0,0,0,0.00015,0,0,0,0,0.032689,0.064178,0.442795,0,0.017844,0,0,0,0,0,0,0,0.005998,0,0,0,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0.024291,0,0.009147,0,0,0.039586,0,0,0,0.004798,0,0,0,0,0,0,0,0,0,0,0,0.002249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999,0,0,0,0,0,0,0.012596,0,0.050532,0,0,0,0,0,0.006598,0,0,0,0,0,0,0,0.026091,0.010496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,0,0,0,0.032839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002399,0,0,0,0,0,0,0,0,0,0,0,0,0.001499,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0.004648,0,0,0,0,0,0,0,0,0,0,0,0,0.002249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,0,0,0,0.003599,0,0,0,0,0,0,0,0,0,0,0.008997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D395,0,0,0,0.206897,0,0,0,0,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04023,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0.017241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356322,0,0,0,0,0,0,0,0,0,0,0.005747,0.12069,0,0,0,0,0,0,0,0,0,0,0.034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241,0.011494,0.022989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D475,0,0,0,0,0,0.101671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14911,0,0,0,0,0,0,0.374837,0,0,0,0,0,0,0,0,0,0,0,0,0.026176,0,0.021111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057842,0,0,0,0,0,0,0,0,0,0,0.077042,0,0,0,0,0,0,0,0.008705,0,0,0,0,0,0,0,0,0,0.083139,0,0,0.014377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008341,0,0,0,0.01917,0,0.017501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004155,0,0,0,0,0,0,0,0.000364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121,0,0,0.019897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D169,0,0,0.000179,0,0.237653,0,0,0,0,0.109494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27302,0.000179,0,0,0,0,0,0,0,0,0,0,0,0.193355,0,0,0,0,0,0,0,0,0,0.039564,0,0,0,0.000357,0,0,0,0,0,0,0,0,0,0,0.021792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001786,0,0,0,0.000179,0.016612,0,0.000714,0,0,0,0,0,0,0.000179,0.000179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268,0,0,0.044119,0,0,0,0,0,0,0,0,0,0,0,0.000357,0,0,0,0,0,0,0,0,0,0,0.005716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536,0,0,0,0,0,0,0,0,0,0,0,0.029919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179,0.000625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D22,0,0,0,0.001798,0,0,0,0,0.003146,0,0,0.007977,0.015167,0,0,0,0.013257,0,0,0,0.000337,0,0,0.00382,0,0,0.016852,0,0,0.000786,0,0,0,0,0,0.016515,0,0,0,0,0.000225,0,0,0.000449,0,0,0.000337,0,0,0,0.016964,0,0.004943,0,0.001123,0,0,0,0.002247,0.001348,0,0,0,0.000674,0,0.000112,0,0.000786,0,0,0,0,0,0,0,0,0,0,0,0,0.000337,0.001011,0.041568,0,0,0.030558,0.023031,0.000225,0.015054,0.003146,0.004606,0,0,0,0,0.003258,0,0.005056,0,0.000674,0.012695,0,0,0,0.001236,0,0.005842,0.002921,0.005393,0,0,0,0,0,0,0,0,0,0.000562,0.004606,0.00382,0,0,0.001348,0,0.008875,0.000449,0,0.000225,0,0.011235,0.012133,0.001123,0.002247,0.019661,0.001011,0,0.005505,0,0,0.005617,0.012583,0,0.004606,0.0091,0.017077,0.002247,0.006628,0.002584,0,0,0.004269,0.000674,0.003033,0.000899,0,0,0,0.012808,0,0,0.016403,0,0,0,0,0,0,0.004157,0,0,0.000337,0,0,0,0.000899,0.005505,0,0,0.002247,0,0,0,0.000899,0.000899,0.001798,0,0.006741,0.00573,0,0,0.013819,0,0.00191,0.007752,0,0,0,0,0.004719,0.021346,0,0.036288,0.006067,0,0.000337,0.012021,0,0,0,0.000449,0,0.020335,0.004831,0,0.000337,0,0.009437,0,0.000899,0.000562,0.001348,0.000899,0.002584,0.000899,0.002247,0,0.000225,0,0,0,0.013032,0,0,0,0.000449,0.036063,0.000112,0.001011,0,0,0.000786,0,0,0,0,0.001011,0.007303,0,0.002359,0,0.002809,0,0.000225,0,0.003146,0.001236,0,0.003146,0,0,0,0,0.000674,0,0.002022,0.00337,0,0,0,0,0.002247,0,0.000449,0,0.000112,0.001011,0,0.000225,0,0.002584,0.002921,0.000225,0,0.004382,0.000449,0.000225,0,0.003033,0.001573,0,0,0,0,0.001236,0,0.003932,0,0.000112,0.001236,0.000562,0.004157,0.001236,0.001573,0.000112,0,0.006966,0,0.000786,0,0,0.002696,0,0,0.001461,0.001685,0.001461,0.000337,0,0,0.002022,0.002135,0,0,0,0.007303,0.000786,0,0.001685,0.000899,0,0.000899,0,0.000562,0,0.001573,0.004943,0.000112,0.000899,0,0.000112,0,0.006291,0,0,0.000225,0.004719,0.003033,0.003707,0.007527,0.000786,0.000337,0.002359,0.000674,0,0.004831,0.003932,0,0,0.000899,0,0.00528,0.000562,0.001236,0.001348,0.000225,0.000225,0.000112,0.001685,0.000562,0,0.004719,0.004382,0.000225,0.000337,0,0.005617,0.000899,0.009325,0.012358,0.000449,0.002921,0,0,0,0,0,0.004269,0.001348,0.001348,0,0.000674,0.002809,0,0.001461,0,0,0,0.001011,0.003595
D434,0,0,0.032255,0,0,0.001708,0.143991,0,0,0,0,0,0.002814,0,0,0.489047,0,0,0.006732,0.00412,0,0.000502,0,0,0,0,0,0,0,0.000301,0.002211,0,0.000502,0,0,0,0,0,0,0.002412,0.001306,0,0,0,0,0,0.000201,0,0,0,0.003316,0,0,0.013565,0,0,0,0.001206,0,0.005928,0,0,0.038887,0,0.001306,0,0.004622,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001708,0,0,0,0,0,0,0,0.002613,0.00201,0,0,0,0,0.007536,0,0,0,0,0,0,0,0,0,0,0.000603,0,0.000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000502,0,0,0,0,0,0,0,0.000703,0,0,0,0,0,0,0,0,0.134646,0,0.000301,0,0,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000301,0,0,0,0,0,0,0,0,0,0,0.002211,0,0,0,0,0,0,0.002914,0,0,0,0,0,0.036676,0,0,0,0,0,0.000603,0,0,0,0,0,0,0,0,0,0,0,0.005125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000402,0,0,0.000502,0,0,0,0.00211,0,0.000703,0,0,0,0,0.000402,0,0,0,0.001306,0,0.000402,0,0,0.003215,0,0,0,0.004522,0,0,0,0,0.001105,0,0,0,0,0,0,0,0,0,0.001507,0.01045,0.001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804,0,0.000703,0.001105,0,0,0,0,0,0,0.000502,0,0,0,0,0,0,0.000603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
