,otu187988,otu308757,otu317458,otu56423,otu264772,otu151388,otu190213,otu290249,otu149387,otu243958,otu234399,otu171426,otu102976,otu121514,otu289051,otu60355,otu66141,otu148198,otu304184,otu92456,otu251532,otu132182,otu280657,otu91075,otu270847,otu100234,otu128440,otu228653,otu321556,otu256834,otu268193,otu290794,otu120851,otu19492,otu38625,otu38090,otu227760,otu164706,otu265516,otu103748,otu157879,otu201690,otu178207,otu4298,otu232045,otu197621,otu103020,otu251239,otu196922,otu325184,otu182032,otu241002,otu219274,otu45911,otu195689,otu66826,otu55654,otu24528,otu3200,otu34816,otu57594,otu282540,otu58736,otu290028,otu263295,otu259902,otu137989,otu257163,otu302225,otu168212,otu245136,otu101753,otu225044,otu328319,otu24642,otu50291,otu280946,otu84462,otu107311,otu196925,otu261575,otu24141,otu55465,otu70569,otu304795,otu199122,otu261401,otu103968,otu188738,otu240002,otu324022,otu63298,otu317198,otu52804,otu17070,otu231371,otu22860,otu314888,otu43678,otu278327,otu135538,otu291721,otu14493,otu124216,otu221867,otu20321,otu187218,otu224206,otu166343,otu222127,otu36139,otu319219,otu17862,otu312360,otu3007,otu173981,otu242915,otu268361,otu195408,otu108155,otu120996,otu34128,otu145838,otu54454,otu251138,otu117685,otu147213,otu219768,otu210801,otu168565,otu233411,otu73605,otu256267,otu248837,otu208613,otu308261,otu231647,otu55336,otu79108,otu197885,otu42763,otu47403,otu265125,otu82666,otu194828,otu24274,otu252534,otu168693,otu162439,otu214479,otu312771,otu53020,otu207307,otu285676,otu45913,otu94157,otu119814,otu41945,otu302096,otu55578,otu81005,otu175960,otu7142,otu15523,otu36430,otu244184,otu318690,otu276830,otu226876,otu181894,otu4389,otu9874,otu251163,otu177022,otu99250,otu117687,otu245694,otu55649,otu227820,otu183743,otu42549,otu2824,otu24353,otu78374,otu174745,otu33780,otu173926,otu207496,otu218587,otu165386,otu87407,otu22980,otu67104,otu22058,otu148914,otu46075,otu297683,otu285351,otu308285,otu202677,otu162643,otu291944,otu67961,otu180281,otu299267,otu150453,otu84805,otu207677,otu210374,otu14007,otu40932,otu63689,otu35825,otu36535,otu207098,otu182184,otu243689,otu15474,otu284516,otu22981,otu113180,otu14883,otu3990,otu77042,otu10990,otu297223,otu286610,otu97538,otu245615,otu293061,otu115117,otu32501,otu279863,otu276077,otu54664,otu190788,otu300821,otu242237,otu201243,otu165410,otu309351,otu49788,otu270419,otu277058,otu23328,otu200994,otu2411,otu140795,otu202242,otu290186,otu34730,otu231417,otu292589,otu117241,otu234279,otu79168,otu43787,otu168614,otu189123,otu19728,otu61217,otu86374,otu215301,otu63644,otu203368,otu242039,otu312748,otu157459,otu26532,otu21474,otu115490,otu219668,otu86382,otu75640,otu44558,otu317375,otu151399,otu40521,otu255644,otu115012,otu304179,otu277908,otu316782,otu232248,otu304598,otu226925,otu163947,otu322018,otu324167,otu151813,otu139401,otu240350,otu199402,otu204904,otu191467,otu5199,otu156770,otu317409,otu309779,otu112225,otu288120,otu69986,otu95020,otu64533,otu296297,otu46018,otu326881,otu163962,otu63119,otu174050,otu329524,otu7081,otu230665,otu321120,otu315340,otu53868,otu181921,otu265438,otu136171,otu40978,otu200155,otu61099,otu75528,otu240288,otu117355,otu39875,otu4577,otu317514,otu225347,otu287990,otu84911,otu151695,otu102961,otu95345,otu205724,otu95014,otu4030,otu145558,otu325357,otu221737,otu288164,otu231276,otu207159,otu4863,otu8108,otu320506,otu117463,otu208692,otu23602,otu129244,otu299541,otu255728,otu119446,otu107198,otu173727,otu79276,otu53613,otu162483,otu277402,otu45918,otu177813,otu252667,otu318627,otu270129,otu75913,otu123163,otu300568,otu139883,otu152937,otu119562,otu36538,otu115295,otu280574,otu138568,otu88716,otu6486,otu16260,otu285371,otu307179,otu305893,otu75030,otu160105,otu195872,otu174199,otu193249,otu229309,otu6720,otu210754,otu239064,otu135583,otu83705,otu217464,otu197583,otu23933,otu77782,otu154795,otu260203,otu201333,otu86075,otu124324
D311,0,0,0.002994,0.000166,0,0,0,0.006487,0,0,0,0.000333,0,0.006653,0,0,0,0,0,0,0,0,0.02312,0,0,0.000333,0.000166,0,0,0,0.004657,0.07851,0.000499,0,0.000333,0.003327,0,0.01813,0,0,0,0,0,0,0,0.005822,0,0,0,0.000998,0,0,0,0,0,0,0.040253,0,0,0,0,0,0,0.014471,0,0.011643,0,0.002994,0,0.000998,0,0.008317,0,0,0.032269,0.000166,0.001996,0,0,0.002994,0,0.001996,0,0,0,0.002329,0.005156,0,0.014138,0.003659,0,0,0.009814,0,0.00499,0.000832,0.000998,0,0,0,0.001331,0.005489,0,0.006154,0,0,0,0.000665,0.000499,0.002994,0,0.005156,0.001497,0.009647,0.000333,0.001497,0.000832,0,0,0.000333,0.00815,0.001497,0,0,0,0,0.000499,0.01181,0.001996,0,0.000333,0,0,0,0,0.005156,0,0,0,0,0.001663,0,0,0,0.000166,0.000166,0.000499,0.011311,0,0.004657,0.000499,0,0.000665,0,0,0,0,0.000998,0.005988,0.006653,0.004325,0,0.001663,0.003327,0,0,0.004158,0.000832,0,0,0,0,0,0.004491,0,0,0,0,0.000832,0.002162,0,0.000333,0,0,0,0.001164,0.022954,0,0.004158,0,0.003327,0.003826,0.005489,0.014637,0,0.003992,0.003493,0.01181,0,0,0,0,0,0.003659,0,0,0,0.009647,0,0.012309,0.004325,0,0.004491,0.005489,0.000333,0.006986,0.000499,0,0,0.00183,0.002329,0,0.001164,0.000998,0.002828,0.002994,0,0,0.002329,0,0,0,0.000333,0,0.000832,0.000499,0.001996,0,0.002994,0,0.003826,0,0,0,0,0.001663,0.003659,0.007485,0,0.000499,0,0,0.000499,0.003826,0,0,0,0.006986,0,0.002162,0.001331,0.002329,0.001996,0.001663,0,0,0,0.000832,0,0.009814,0.000832,0,0.000333,0.002162,0.000499,0,0.003493,0,0.005822,0.00183,0,0,0.000333,0.000665,0,0,0,0,0,0,0,0,0,0.006487,0.006154,0.00815,0.003327,0.002828,0.001331,0,0.000499,0.003327,0,0.000333,0.007984,0,0,0,0,0.002994,0,0.005822,0,0,0.006321,0.005156,0.001164,0.000166,0,0.000832,0.000998,0,0.000333,0,0.001164,0,0,0.001164,0,0,0,0.000998,0,0.000166,0,0.001996,0.000998,0,0.002994,0,0.000665,0.00316,0,0,0,0.000166,0.000499,0.003992,0,0,0.001497,0,0,0.00183,0.005156,0,0.00316,0.000333,0.004158,0,0.000832,0.001164,0.000832,0,0.000998,0,0.000665,0.000665,0,0,0.000665,0.004158,0,0.000333,0,0.000166,0.000166,0.000998,0.001996,0.000333,0,0,0.007152,0,0.001331,0,0.000333,0.000166,0.001996,0.002162,0.001497,0.005156,0,0.000499,0.001331,0,0,0,0,0
D185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202,0,0,0,0.036651,0,0,0,0,0.052749,0,0,0.000709,0,0,0,0,0,0,0.008505,0,0,0,0,0,0,0,0.001215,0,0,0,0.023489,0,0,0,0,0,0,0.096892,0,0,0,0,0,0,0,0,0.009112,0,0.000101,0,0.000202,0,0,0.016402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038169,0,0,0,0,0,0,0,0.011036,0,0.001721,0.000405,0,0,0,0.023894,0,0.000607,0,0,0,0.010125,0,0,0,0.000607,0.002025,0.020755,0.000304,0,0.003341,0.002531,0,0.000405,0,0,0.000202,0,0,0,0.175762,0,0,0,0,0,0,0,0,0.003139,0,0,0,0.000101,0,0,0,0,0.000101,0.000709,0,0.001519,0,0.002025,0,0,0,0,0,0,0,0,0.001519,0,0.004151,0,0.005973,0,0.00081,0,0,0,0,0,0.003847,0,0.014883,0.000607,0,0,0,0,0,0,0.029462,0.005771,0,0,0,0,0,0.004252,0.003544,0,0,0,0,0,0,0,0,0.009922,0,0,0,0.02197,0,0.002227,0,0,0,0,0,0.000506,0.000709,0.000202,0.00081,0,0,0,0.001215,0,0,0.000202,0.00405,0,0.000405,0,0,0,0,0,0.001417,0,0,0,0.000405,0,0.000405,0.001924,0,0,0.001924,0,0.001519,0,0,0,0,0,0.000405,0.004657,0,0.001012,0,0,0.00162,0,0,0,0,0,0.006581,0,0,0.000405,0,0,0,0.000304,0,0.005771,0,0.003746,0.000607,0,0,0,0.004354,0,0,0,0,0.000202,0,0,0,0,0,0.00243,0.000405,0.001822,0,0,0,0,0,0,0,0,0,0,0.002936,0,0.003442,0.005366,0.024501,0.000304,0,0,0,0,0.018629,0,0,0,0.005164,0,0,0.001316,0,0.001822,0,0.002734,0.000101,0,0,0,0,0,0.003442,0,0,0,0,0.005366,0,0,0,0.007492,0,0.000709,0,0,0.000709,0,0,0,0,0.003442,0,0.000101,0,0,0.000202,0,0.000304,0.000304,0.004556,0,0.000101,0.001417,0,0,0.000101,0,0.000202,0,0.00081,0,0,0,0,0,0.001721,0.002835,0,0,0,0.00081,0.009922,0,0.000911,0,0,0.000101,0.000304,0,0,0.000101,0.000101,0,0,0.000506,0,0,0,0.001721,0.002835,0.000304,0,0.001519,0.001721,0
D12,0,0,0.114286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014286,0,0,0,0,0,0,0,0,0,0,0.028571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257143,0,0,0,0,0,0,0,0,0.042857,0,0,0,0,0,0,0,0,0,0.028571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057143,0,0,0,0,0,0,0,0,0,0,0,0.085714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571,0.1,0,0,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D234,0,0,0.000599,4.6e-05,0,0.263141,0.002305,0.000138,0,0,0,0.006225,0,9.2e-05,0,0,0,0,0,0,0.001014,0,0.008991,0,0,0.000692,0,0,0,0,0,0,0,0.001429,0,0.005856,0,0.032645,0,0,9.2e-05,0,0,0,0,0.006225,0.006363,0,0,0.036748,0,0,0,0,0.000323,0,0.002352,9.2e-05,0,0,0,0,0.001522,0.002259,0,0.005395,0,0.013971,0,0.000646,0,0,0,9.2e-05,0.006916,0,0,0,0,0,0,0.00083,0,0,0,0,0.001752,0,0.009913,0.001568,0.000415,0,0,0,0.002121,0,0,0,0,0,0,0.003781,0,0.010144,0,0.000184,0,0.005164,0.000184,0.003135,0,0,0,0.006363,9.2e-05,0.000507,0.01208,0.000599,0,0,0,0,0.001383,0,0,0,0,0,0.000231,0,0,0,0,0,0,0.003781,0,0,0.001245,0,0,9.2e-05,0,0,0.002767,0,0,0,0.045878,0.017613,0.000415,0,9.2e-05,0,0,0.000738,0,0,0.001107,0,0.0077,0,0,0,0,0.001798,0,0.000461,0.001153,0,0,0,0.027388,0.009867,0,0,0,0.000277,0,0,0.006179,0.003643,0,0,0,0,0.003135,0.002167,0,0,0,0,0,0.000323,0,0.000461,0.001153,0.000553,0,0,0.007931,0.004242,0,0.001199,0,0,0,0,0,0,0,9.2e-05,0.000138,0,0,0,0.009544,0,0,0,0.000184,0,0.000277,0.003089,0.002674,0.062707,0,0,0,0,0,0,0,0,0,0.003827,0,0,0.000738,0,0.003689,0.000277,0,0,0,0,0.001107,0.001291,0,0,0,4.6e-05,4.6e-05,0.002813,0,0.00415,0,0.008207,0.001937,0,0.001153,0.000184,0.000553,0.000507,0,0,0,0.002305,0,0,0,0,0,0,0.001752,0,0,0,0.001014,0.004288,0,0,4.6e-05,0,0,0,0.000461,0,0,0.000231,0,0,0,0,0,0.001199,0,0.003135,0.00083,0,0,0.003965,0,0,0,0,0,0,0,0,0.012772,0,0.000646,0,0.000599,0.004196,0,0.000323,9.2e-05,0,0.002398,0,0,9.2e-05,0,0,0,0,0,0.000184,0,0.002398,0.000968,0.000599,0,0.002029,0.055745,0,0,0,0.000415,0.001475,9.2e-05,0,0,0,0,0.001568,0.00106,0,0.000277,9.2e-05,0,0,0.000231,0,0.000231,0,4.6e-05,0,0,0.001245,0.000968,0,4.6e-05,0,0.003181,0.000138,0,0,0.000369,0.001107,0,0,0.000415,0,0.000968,0.008761,0.000138,0,0,0.000507,0.00083,0.001383,0,0,0,0.000876,0,0.000461,0,0.000599,0.000646,0.000646,0.000553,0,0,0,0.000738,0
D257,0.849178,0,0,0.000493,0,0,0,0,0,0,0.000493,0,0.047039,0,0.011513,0,0,0,0,0,0,0.008553,0,0,0,0,0,0,0.000329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001974,0,0.000658,0,0,0,0.038158,0,0,0,0,0,0,0.005592,0,0,0,0.002961,0,0.003454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0.004605,0.008059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000493,0,0,0,0.000658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000822,0,0,0,0,0,0.000822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000493,0,0,0,0,0,0,0,0,0,0,0,0,0.000658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000987,0,0,0,0,0,0,0,0.000493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D260,0,0.53744,0.0468,0,0,0,0.003036,0,0,0,0,0,0,0,0,0,0,0.013534,0,0,0,0,0,0,0,0.029977,0,0,0,0,0,0,0.000253,0,0,0.148242,0,0,0,0,0,0,0,0,0,0,0,0,0.001771,0,0,0,0,0,0,0,0,0.008854,0,0.006324,0,0.001897,0.002277,0,0,0,0,0.000253,0,0.000759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721,0.019099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006071,0,0,0,0,0,0,0,0,0.015305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253,0,0,0,0,0,0,0,0,0.000506,0.012649,0,0,0,0,0,0,0,0,0.001897,0,0,0.000126,0,0,0,0,0,0,0,0,0.000126,0,0,0,0,0,0,0,0,0,0,0.000885,0,0,0,0,0,0,0,0,0,0,0,0.003415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029851,0,0,0,0,0.000126,0.012522,0,0,0,0,0,0,0,0,0.00215,0,0,0,0,0,0,0.001644,0,0,0,0,0,0,0,0,0.000379,0,0.003542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000506,0,0,0,0,0,0,0,0.000253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D393,0,0.000196,0.006358,0.06338,0,0.050176,0.009879,0.072672,0.076291,0.006064,0,0,0,0,0.001369,0.039221,0.00088,0,0,0.046851,0.068369,0.024159,0.002934,0.014085,0,0.009683,0.000293,0,0,0,0,0.017997,0.004304,0,0.003228,0,0,0.001663,0.03394,0,0.002836,0.004793,0.004988,0.001956,0.003912,0,0.000293,0.000685,0.004206,0.000196,0,0,0.002739,0,0.002054,0.010074,0,0.000196,0.012031,0,0.037265,0,0.001858,0.001369,0,0.000685,0.001663,0.006064,0,0.000685,0,0.003032,0,0.000782,0.001956,0,0,0.002347,0,0,0,0.000587,0.000196,0.005869,0,0.006358,0.00088,0,0.002347,0.000587,0.00088,0,0.000391,0,0,0,0.000196,0,0,0.004597,0,0.003032,0.005184,0.001272,0,9.8e-05,0.000587,0.003032,0.005086,0,0.00401,0,0.005966,0.000978,0.000196,0.004401,0,0,0,0,0,0,0,0,0,0.01516,0,0,0.000978,0,0.00088,0,0,0.001174,0.00088,0.000685,0.001565,0.008803,0,0.000782,0,0,0.008901,0,0.000587,9.8e-05,0,9.8e-05,0.001272,0,0.005282,0.000196,0,0,0,0,0,0,0.000587,0,0.00088,0.00088,0.003032,0,0,0,0,0.000196,0.000196,0.013009,0,0.001761,0.002641,0.000391,0,0.005575,0,9.8e-05,0,0,0.000293,0.001565,0.007825,0,0.000782,0,0,9.8e-05,0,0.003228,0.006749,0,0,0,0,0.000489,0,0.000293,0.004499,0,0,0.001076,0.010074,0.003228,0,0,0,0.002445,0,0.000196,0.000196,0,0.000391,0,0,0,0.000685,0,0,0.002934,0,0,0.000782,0,9.8e-05,0,0,0,0,0,0,0.000587,0.001761,0.000978,0,0,0,0,0.000587,0.004499,0.000685,0.000391,0,0,0,0,0.000391,0.000196,0,0,0,0,0,0.000587,0.001174,0.000587,0.00225,0,0.000196,0,0.001272,0,0.002347,0,0.009977,0,0.000978,9.8e-05,0,0.000489,0,0.002347,0,0,0,0.000391,0,0,0.000196,0.000196,0,0,0,0.00088,0,0.001174,0.001369,0.000587,0,0.003815,0,0,0,0,0,0,0,0,0,0,0,0.000489,0,0,0,0,0,0,0.001467,0,0.000489,0,0.00401,0.009096,0,0,0,0,0.000587,0,0,0,0.005086,0,0,0,0,0,0.002054,0.000293,0,0,0.000782,0,0.000391,0,0,0.000391,0,0.000587,0.000489,0,0.000196,0.000391,9.8e-05,0,0.001174,0.000685,0.000978,0,0,0.006358,0,0,0,0,0,0,0,0,0,0.001761,0.000391,0,0.000391,9.8e-05,0,0,0,0,0.001076,0,0,0,0,0,0,0,0,0,0.003032,0.001369,0,0,0,0,0,0,0,0.000489,0,0,0.002054,0,0,0,0.002054,0.000196,0,0
D87,0,0,0.125861,0,0,0.009393,0.001252,0,0.000626,0,0,0.001252,0,0.060426,0,0,0,0,0,0,0,0.006262,0.145585,0,0,0,0,0,0,0,0,0.024421,0,0,0,0,0,0.051033,0,0,0,0,0,0,0,0.001565,0,0,0,0,0,0,0,0,0,0.001565,0,0,0,0,0,0,0,0,0,0.010332,0,0.001565,0,0.001565,0,0,0,0.001565,0.001252,0,0,0,0,0,0,0,0,0,0,0,0.000313,0,0.009706,0.001565,0,0,0,0,0.000626,0,0,0,0,0,0,0.001565,0,0,0,0,0,0.000939,0,0.000939,0,0,0.000626,0.005949,0,0,0.001565,0,0,0,0,0,0.000626,0,0,0,0,0,0,0,0.003444,0,0,0,0,0.000313,0,0,0,0,0,0,0,0,0,0.000939,0.024421,0,0,0.001252,0,0,0,0,0.000939,0,0,0,0.003444,0.000313,0,0.006888,0,0,0,0,0,0.001565,0.000313,0,0,0,0.000626,0.000939,0,0,0,0.001565,0,0,0,0,0,0,0,0.004696,0.000939,0.002818,0,0,0,0.005636,0,0.006888,0.001252,0,0.001252,0.000626,0,0,0.002818,0,0,0.001252,0,0,0,0,0,0,0.002505,0,0.000626,0.005636,0,0.000313,0,0.000626,0,0.000313,0.001879,0,0,0,0.004383,0.000626,0,0,0,0,0,0,0,0,0,0,0.000939,0,0.015967,0,0,0.000626,0,0,0,0,0,0.005009,0,0.155291,0,0,0.000626,0.000626,0,0.001565,0,0.010019,0.000626,0,0.000939,0.005949,0,0,0,0,0,0.000313,0,0,0,0,0.030996,0,0,0,0.015028,0,0,0.003757,0,0,0.009393,0,0,0,0,0,0,0,0,0,0,0,0.005636,0.002192,0.010958,0.001879,0,0,0.008453,0,0,0,0.001565,0,0,0,0,0,0.001252,0,0.000313,0,0.001252,0.000313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002505,0,0,0.001252,0,0.000313,0.000626,0,0.002192,0.000313,0,0,0,0,0,0,0,0,0,0,0,0,0.000939,0,0,0,0.003131,0,0.001879,0.000939,0,0,0,0.000313,0,0,0,0,0.001565,0,0,0,0.000313,0.001565,0.000939,0.002818,0,0.011897,0.001879,0,0,0,0,0,0,0,0,0,0,0,0,0.000939,0,0,0,0.001565,0.000626,0
D363,0,0,0.056077,0,0,0,0,0,0,0,0,0.003039,0,0.073204,0,0,0,0,0,0,0.003315,0,0.03895,0.000829,0,0.000829,0,0,0,0,0,0.013812,0.004696,0,0.001105,0,0,0.023757,0,0,0.001381,0,0,0,0,0,0.000552,0,0.000276,0.009945,0,0,0,0,0,0,0.014365,0,0,0,0,0,0.000829,0.023757,0,0,0,0.00221,0,0,0,0,0,0.000829,0.00221,0,0.032597,0,0,0.001381,0,0.001657,0.000552,0,0,0,0.000552,0,0,0.00221,0,0,0.001105,0,0.000829,0,0,0,0,0,0.014641,0,0,0.00221,0.001381,0,0,0.001381,0,0.00221,0,0,0.000276,0.007182,0,0.000552,0,0,0,0,0,0.00221,0,0,0,0,0,0,0.008011,0,0,0,0,0,0,0.00442,0,0,0,0,0.000552,0,0,0,0.001657,0.000552,0,0,0.000829,0.002762,0.001105,0,0,0,0,0,0,0.027348,0,0,0,0.002486,0,0.000829,0,0,0,0,0,0,0,0,0,0.001105,0,0,0,0,0,0.01326,0,0,0,0,0,0.024033,0.002762,0,0.002486,0,0,0.027072,0.000829,0.004972,0.000552,0.00442,0,0,0,0,0.014641,0.01989,0,0,0,0,0,0.000276,0,0,0.008011,0,0,0,0,0.00221,0.001381,0.000552,0,0,0,0,0.000552,0,0,0.009392,0,0,0,0,0,0,0,0.000552,0,0.000829,0.000552,0,0.001381,0.000829,0.000829,0,0.001105,0,0,0.002486,0.004144,0,0,0.003591,0,0,0,0.007459,0,0.000552,0,0.004696,0.00442,0,0,0,0,0.010773,0,0,0,0,0,0,0,0.000552,0.00884,0,0,0,0.000829,0,0.000552,0,0,0,0.015193,0,0,0,0,0,0,0.001381,0,0.000276,0,0.000552,0.00221,0,0.027624,0,0.000552,0,0.005801,0.003591,0,0,0.000276,0,0,0,0,0.001934,0,0,0,0,0,0.000552,0,0,0,0,0.00221,0,0,0,0.019337,0,0,0.000829,0,0,0,0,0,0.000276,0,0.001105,0.000552,0,0,0,0.00221,0.002762,0,0,0.019337,0,0,0.014088,0.000552,0,0.005801,0.000552,0,0,0.000829,0,0.018508,0.000829,0.003591,0,0.006354,0,0.001105,0,0,0,0,0,0,0,0,0,0,0,0.000829,0,0.001381,0.002762,0,0,0,0.000829,0.004972,0.000829,0.004972,0,0.00221,0.000276,0.00221,0.003315,0.00442,0.001657,0,0,0.000829,0,0,0,0,0
D327,0,0,0.001143,0,0,0.00111,0,0,0,0,0,0.000134,0,0,0,0,0.004136,0,0.000941,0,0,0,0.008204,0,0,0,0,0.003329,0,0,0,0,0,0,0,0,0,0.034667,0,0,0,0,0,0,0,0.013887,0,0,0,0.002253,0,0,0,0.00158,0,0,0.022764,0,0,0,0,0,0,0,0,0.011365,0,0,0,0,0.000202,0,0.129052,0,0,0,0,3.4e-05,0,0,0,0.000134,0,0,0,0,0,0,0,0,0,0,0,0,0.025824,0.000807,0,0.01883,0,0,0,0.001715,0,0,0,0,0,0,0,0,0,0.032448,0,0.006422,0,0.000269,0.0461,0,0,0.032414,0.024176,0.001009,0,0,0,0,0.004842,0,0,0,0,0,0,0,0,0.002354,0,0,0,0,0,0,0,0,0.014257,0,0,0.003228,0,0,0,0.000168,0,0,0,0,0,0.022798,0.01076,0,0,0.018964,0.011096,0,0,0,0.012576,6.7e-05,0,0,0,0,0,0.000437,0,0,0,0,0,0,0,0.000235,0,0,0,0.001446,0,0.001076,0.0308,0,0,0,0,0.007498,0.001715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007162,0.002892,0.008978,0.001614,0.000504,0,0,3.4e-05,0,0,0,0,0,0.000303,0,0.030397,0,0,0,0.000168,0,0,0,0,0,3.4e-05,0,0,0,0.003732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01002,0,0,0,0,0.016745,0.001076,0,0,0.008507,0,0,0,3.4e-05,0,0,0,0,0,0,0,0.001479,0.009818,0,0.006792,0,0,0,0.001278,0,0.016207,0,0,0,0,0,0.000605,0,0,0,0,0,0.000403,0.001278,0,0.001479,0.001547,0,0.000437,0,0.002118,0,0.001748,0,0,0,6.7e-05,6.7e-05,0,0,0,0,0,0.000134,0.000168,0,0.000269,0.000303,0,0,0,0.000572,0,0,0.000605,0.000807,0,0,0.003732,0.000672,0,0,0,0.004102,0,0,0,0,0,0,0,0,0,0.000134,0,0.000202,0,0,0.000336,0,0,0,0,0,0.001547,0.006456,0.00074,0,0,0,0,0,0,0,0,0.004304,0,0,0.002925,0,0,0,0,0.014997,0,0,0.007767,0,0,0,0,0,0,6.7e-05,0.025387,0,0.000538,0.000235,0.001917,0,0,0,0,0,3.4e-05,0,0.001446,0
