,otu308757,otu56423,otu190213,otu187988,otu317458,otu149387,otu251532,otu171426,otu264772,otu290249,otu301932,otu243958,otu234399,otu52001,otu66141,otu151388,otu314536,otu19492,otu148198,otu321556,otu324101,otu121514,otu199122,otu24500,otu290794,otu82365,otu92456,otu138843,otu78596,otu270847,otu102976,otu144892,otu155659,otu87424,otu298459,otu78308,otu280657,otu325746,otu163717,otu60355,otu45913,otu164706,otu85851,otu100234,otu283090,otu38090,otu55290,otu128440,otu315384,otu70569,otu263295,otu302225,otu182032,otu3200,otu101845,otu132182,otu328319,otu57594,otu241002,otu304184,otu245136,otu227760,otu265516,otu181484,otu286928,otu157879,otu103748,otu4298,otu155702,otu45911,otu127106,otu28864,otu228653,otu117033,otu255728,otu23328,otu38625,otu326647,otu43787,otu91075,otu201690,otu244184,otu296007,otu178207,otu103020,otu325184,otu304298,otu47900,otu270129,otu2174,otu117685,otu240221,otu231647,otu98415,otu71391,otu105908,otu223947,otu214931,otu275580,otu189095,otu10785,otu5628,otu232045,otu243238,otu120851,otu143223,otu160909,otu58736,otu62892,otu24528,otu106586,otu257163,otu312383,otu256267,otu37532,otu120996,otu69930,otu259902,otu84462,otu24642,otu95799,otu55336,otu43678,otu73605,otu187218,otu261401,otu163802,otu173981,otu66826,otu145838,otu108155,otu154116,otu148919,otu204471,otu261575,otu154619,otu119814,otu195408,otu318690,otu278075,otu301727,otu239385,otu16489,otu168212,otu196922,otu221737,otu222218,otu54454,otu282540,otu137989,otu55654,otu38953,otu173019,otu44550,otu14493,otu197885,otu40065,otu17070,otu65698,otu314888,otu62850,otu125239,otu120125,otu97538,otu228398,otu82905,otu162439,otu265125,otu14007,otu168693,otu231371,otu316098,otu248127,otu284516,otu201243,otu251138,otu285444,otu79108,otu273830,otu113994,otu132501,otu168565,otu36430,otu182959,otu285676,otu173422,otu288610,otu319219,otu280946,otu134669,otu153904,otu78675,otu39875,otu65226,otu278327,otu312360,otu138417,otu9874,otu46118,otu55465,otu17862,otu94444,otu219274,otu268092,otu86985,otu224086,otu115117,otu233411,otu78374,otu22968,otu188738,otu210801,otu248919,otu265083,otu101753,otu216721,otu277908,otu63689,otu22981,otu213965,otu270173,otu191839,otu24353,otu9959,otu299267,otu234887,otu47403,otu210374,otu251163,otu7142,otu165386,otu302096,otu225044,otu103968,otu50898,otu290028,otu308261,otu291721,otu214479,otu299908,otu242237,otu82666,otu308285,otu175960,otu50245,otu243655,otu274380,otu252534,otu234279,otu195689,otu95808,otu94157,otu11385,otu280694,otu40932,otu32760,otu219018,otu174745,otu173566,otu203368,otu290914,otu207159,otu33889,otu245694,otu24141,otu219768,otu228025,otu323690,otu84911,otu43151,otu40521,otu62904,otu99250,otu245009,otu236578,otu242915,otu150453,otu323399,otu125814,otu104557,otu36139,otu41515,otu219668,otu243743,otu202677,otu135538,otu293061,otu197621,otu132003,otu254094,otu130943,otu14883,otu68575,otu185311,otu240002,otu124216,otu99126,otu117687,otu60414,otu75640,otu230634,otu314945,otu251809,otu88713,otu268193,otu10990,otu260256,otu42549,otu194828,otu221867,otu324346,otu227820,otu222127,otu40183,otu215218,otu207307,otu146167,otu262152,otu81005,otu293656,otu288683,otu295890,otu25983,otu192843,otu224206,otu285351,otu79808,otu312748,otu181894,otu146724,otu221130,otu201636,otu166251,otu41959,otu67104,otu225347,otu268010,otu207496,otu2824,otu220844,otu231417,otu143214,otu154085,otu147213,otu161642,otu4389,otu254217,otu151399,otu171720,otu324167,otu143731,otu13324,otu26532,otu125277,otu209224,otu114010,otu157459,otu14866,otu51393,otu35825,otu163387,otu64228,otu263534,otu34730,otu77528,otu36535,otu218587,otu41524,otu55578,otu67689,otu121297,otu77042,otu127484,otu309225,otu180281,otu262358,otu286610,otu290684,otu316782,otu115261,otu113180,otu234144,otu251239,otu131901,otu167997,otu245615,otu260203,otu177022,otu98082,otu75030,otu228424,otu189123,otu289241,otu15474,otu153796,otu23186,otu42156,otu159511,otu304795,otu277205
D2235,0.002189,0,0,0,0.000505,0,0.012967,0,0,0,0,0,0,0,0,0.412597,0,0,0,0,0,0,0.000337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000505,0,0,0,0.002695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001347,0,0,0,0,0,0,0,0.00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001179,0.000337,0,0,0.000337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004662,0.004662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004662,0,0,0,0,0.165501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037296,0,0,0.151515,0,0,0,0,0,0,0,0.004662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004662,0,0,0,0,0,0,0,0,0,0,0,0,0.004662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986,0,0,0,0,0,0,0,0,0,0,0,0,0.006993,0,0.055944,0.004662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993,0,0,0,0,0,0,0,0,0,0,0,0.067599,0,0,0,0,0,0,0,0.006993,0,0,0,0,0,0,0,0.013986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020979,0,0,0,0,0,0,0,0,0,0,0
D1286,0,0,0,0,0,0,0.998069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1851,0,0,0,0,0,0,0,0,0.165738,0,0,0,0.169727,0,0.004598,0,0,0.007308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039189,0,0.013489,0,0,0,0,0,0,0,0.018544,0.007886,0,0.245547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004324,0,0,0,0,0.000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001583,0,0,0,0,0,0,0,0,0,0,0,0,9.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004263,0,0,0,0,0.008861,0,0,0,0,0,0,0,0,0,0,0,0,0.050333,0,0.020614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007673,0,0,0.010292,0,0,0.000335,0,0,0,0,0.003045,0,0,0,0,0,0,0,0,0,0,0,0.001248,0,0,0,0,0,0,0,0,0,0,0,0,0.018879,0,0,0,0,0,0,0,0.001492,0,0.000792,0,0,0,0,0,0,6.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099266,0,0,0,0,0,0,0,0,0,0,0.000335,0,0,0,0,0,0,0,0,0,6.1e-05,0,0.001066,0,0,0,0.000274,0,0,0.000518,0,0,0,0,0,0,0,0,0,0,0,0.000853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426,0,0,0,0,0,0.000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008343,0,0
D408,0,0,0.000995,0,0.000618,0,0.002814,0.001956,0,0,0,0,0,0,0.000583,0.000377,0,0,0,0,0,0.00048,0,0,0,0,0,0,0,3.4e-05,0,0,0,0,0,0,0.053323,0,0,0,0,0.015441,0,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0.001578,0,0,0,0,0,0,0,0,0.000103,0,0,0,0,0,0,0,0,3.4e-05,0,3.4e-05,0,0,0,0,0,0,0,0,0.047284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000206,0,0,0,0,0,0,0,0,0,0.021,0,0.008922,0,0,0,0,0,0.001098,0,0.000206,0,0.000412,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4e-05,0,0,0,0,0,0,0.006691,0,0,0,0,0,0,0.004804,0,0,0,0,0,0,0,0,0.000549,0,0,0,0,0,0,0,0.004392,0,0,0.000377,0,0,0.000686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008922,0,0,0,0,0,0,0,0,0,0,0,0.010363,0,0,0.016985,0.000103,0,0,3.4e-05,0,0,0,0.002093,0,0,0,0,0,0,0,0,0,0.000172,0,0,0.001132,0.000515,0,0,0.003843,0.010294,0.006485,0.055245,0,0,0,0,0.006966,0,0,0,0,0,0,0,0,0,0,0.000172,0,0,0,0,0,0,0,0,0,0.000206,0,0,0,0,0,0,0,0,0,0,0.020794,0,0,0,0,0,0,0,0,0,0,0,0.010088,0,0,0,0,0,0,0.005593,0.006314,0,0,0,0,0,0,0,0,0,0,0,0.006897,0.002127,0,0,0,0.025632,0,0,0,0,0,0.002505,0,0.00024,0,0,0,0.002711,0.000172,0,0,0,0,0,0,0,0,0.001098,0,0,0.002127,0.007549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006348,0,0,0.000583,0,0,0,0,0,6.9e-05,0,0,0,0,0,0.000275,0,0,0.004049,0,0,0,0,0,0.000446,0,6.9e-05,0,0,0,0,0.000652,0,0,0,0.011186,0,0,0,0,0,0,0,0
D595,0,0.000257,0,0,0,0.000257,0,0,0,0.000257,0,0.008989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001969,0.000514,0,0,0,0.017379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171,0,0,0.244928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171,0,0,0,0,0,0,0,0,0.000171,0,0.091859,0,0,0,0,0,0,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0.000599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565,0,0,0,0.13278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317867,0,0,0,0,0,0.000171,0,0,0,0,0,0,0.001113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025255,0,0.006592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599,0,0,0.073538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021402,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1027,0,0,0,0,0.000119,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277,0.436019,0,0,0,0.067269,0,0.024523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001941,0,0,0,0,0,0.000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9e-05,0,0,0,0.000317,0,0,0,0,0,0,0,0.000475,0,0,0,0,0,0,0,0.005626,0,0.000357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277,0,0.001268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001743,0,0,0,0,0.003367,0,0,0,0.000198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515,0,0,0.031099,0,0,0,0,0,0.000753,0,0,0,0,0,0.060891,0,0,0,0.000673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009429,0,0,0.000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004833,0,0,0,0,0,0,0,0,0,0,0,0,0.000555,0,0.001228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,7.9e-05,0,0.013588,0,0,0,0,0,0,0,0,0,0,0,0.023928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109,0
D3724,0,0,0,0,0,0,0,0,0.371649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429,0,0,0.009365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024662,0,0,0,0,0,0,0,0.021231,0.152262,0,0.001859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865,0,0,0,0,0.157695,0,0,0,0,0,0,0,0,0,0,0,0.000572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002216,0,0,0,0.007434,0,0.000929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1e-05,0,0,0,0,0.077561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044249,0.000429,0.019444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143,0,0,0,0,0,0.000286,0,0,0,0,0,0,0.001573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017228,0,0.001644,0,0,0,0,0,0,0,0,0,0,0,0.000214,0.000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001358,0,0.00193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143,0,0.000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005576,0,0.000143
D2864,0,0,0,0,0,0,0,0.001661,0,0,0.817276,0.007752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003876,0,0,0.001107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002769,0,0,0,0,0,0,0,0,0,0,0,0.032669,0,0,0,0,0,0,0,0,0,0,0,0.000554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007752,0,0,0,0,0,0,0,0,0,0.001661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003322,0,0,0,0,0,0,0.001661,0,0,0,0,0,0,0.024917,0,0,0,0,0,0,0,0,0.013843,0,0,0,0,0,0,0,0,0,0,0,0,0.012735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009967,0,0,0,0,0,0,0,0,0,0,0,0.001661,0,0,0
D3579,0,0,0,0,0,0.228717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050104,0,0,0,0,0,0,0.00145,0,0,0,0,0,0,0,0,0,0,0,0.032417,0,0,0,0,0,0,0,0,0,0,0.004523,0,0,0,0,0,0,0,0.027894,0,0,0,0,0,0,0.000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010148,0,0,0,0,0,0,0,0,0,0,0,0,0.000754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010438,0,0,0,0,0,0,0,0,0,0,0.02743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
