,otu317458,otu290249,otu149387,otu56423,otu151388,otu121514,otu171426,otu60355,otu190213,otu251532,otu234399,otu120851,otu66141,otu264772,otu100234,otu4298,otu132182,otu290794,otu280657,otu164706,otu199122,otu321556,otu24528,otu92456,otu24642,otu268193,otu117685,otu304184,otu195689,otu19492,otu103020,otu173981,otu137989,otu91075,otu302225,otu325184,otu58736,otu196922,otu197621,otu47403,otu103748,otu227760,otu251239,otu9874,otu241002,otu45911,otu303909,otu263295,otu73605,otu245136,otu259902,otu45913,otu53020,otu257163,otu324167,otu34128,otu43678,otu261401,otu290028,otu188738,otu187218,otu195408,otu197885,otu55654,otu24141,otu108155,otu328319,otu17070,otu54454,otu222127,otu260122,otu312360,otu304795,otu38625,otu302096,otu219668,otu100915,otu87407,otu326881,otu214479,otu233411,otu101753,otu165410,otu194828,otu17862,otu168212,otu207307,otu7142,otu291721,otu312748,otu145838,otu248837,otu84462,otu124216,otu251163,otu35825,otu10990,otu22981,otu224206,otu162439,otu201243,otu112225,otu33780,otu285351,otu81005,otu168693,otu84911,otu2411,otu42549,otu231417,otu36535,otu221867,otu4389,otu210374,otu177022,otu63689,otu207496,otu277908,otu36538,otu22058,otu180281,otu113180,otu50291,otu245615,otu291944,otu218587,otu276830,otu242915,otu189123,otu308261,otu205724,otu207098,otu25983,otu320506,otu210801,otu288120,otu140795,otu196925,otu54664,otu240288,otu166343,otu297749,otu243689,otu101011,otu309351,otu3990,otu2824,otu77042,otu230665,otu61217,otu117241,otu160105,otu200155,otu292589,otu44558,otu227820,otu312771,otu135583,otu235489,otu226925,otu322018,otu115295,otu288164,otu40932,otu77782,otu300568,otu86374,otu6486,otu115012,otu69986,otu291012,otu53868,otu53613,otu279863,otu196789,otu253107,otu138568,otu245411,otu208692,otu309826,otu230801,otu162483,otu307179,otu144720,otu61099,otu317514,otu55649,otu244693,otu75913,otu260203,otu108628,otu173727,otu129244,otu104813,otu50877,otu95014,otu5031,otu224581,otu120543,otu643,otu42763,otu266417,otu240630,otu102811,otu267538,otu39577,otu76106,otu23062,otu267460,otu288683,otu254131,otu57830,otu266181,otu291989,otu282960,otu223372,otu184240,otu320992,otu181268,otu302691,otu183788,otu99090,otu5854,otu315975,otu221483,otu284076,otu81766,otu111102,otu293912,otu6411,otu91208,otu13504,otu237226
D497,0,0,0,0.017094,0,0,0.692308,0,0,0,0,0,0,0,0,0,0,0.076923,0,0,0,0,0,0,0,0,0,0,0,0.051282,0,0,0.094017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D656,0.009377,0,0,0,0,0.033212,0.01615,0,0,0,0,0.00026,0,0,0.002475,0,0,0.036468,0.04845,0.035686,0,0,0,0,0.025918,0.021229,0,0,0,0,0,0.002344,0,0,0,0.001563,0,0,0.013545,0,0,0,0,0,0,0,0.002865,0,0,0,0.04311,0,0,0.001693,0,0.003256,0,0.01055,0.024486,0.051967,0.000391,0,0,0.058088,0.002084,0.000521,0.003126,0.021881,0,0.017322,0.000521,0.018104,0,0,0.010419,0,0.004168,0.007554,0,0.029825,0.000781,0.007294,0,0,0.001172,0.004038,0.000651,0.007945,0.01602,0.00013,0,0,0.00013,0.011071,0,0.002475,0.00026,0.004168,0.006121,0,0.002475,0,0.002214,0.020448,0.004819,0.009247,0.002475,0.006121,0,0,0.025267,0,0,0,0.006382,0,0,0,0.00026,0.032951,0.007684,0.003126,0.00026,0.005731,0.001693,0.010289,0.002084,0.00521,0,0.016801,0,0,0,0.001042,0.001954,0.002084,0.019015,0.001823,0.000651,0,0.00026,0,0.00013,0,0.006382,0.001563,0.000651,0.004949,0,0.001693,0.007033,0,0.000912,0,0,0,0.000912,0.002735,0.000912,0,0,0.011331,0.002996,0.015499,0.001823,0.00026,0.009508,0.000781,0.008336,0.005861,0.002475,0.009508,0.008987,0.00013,0.000521,0.000912,0,0,0.007033,0,0.000781,0.001042,0.001823,0.00026,0,0.000521,0.001172,0.002084,0,0,0.000521,0.003256,0,0.007684,0,0.00521,0,0.003517,0,0.00026,0.002214,0.000651,0,0.001302,0,0,0.001172,0.004689,0.004428,0.00013,0,0.001693,0.001433,0.001433,0.003256,0.001302,0.000651,0,0.004168,0.000912,0.001563,0.000651,0.001433,0.00013,0.001954,0.00026,0.001042,0.00013,0,0.004298,0.001172,0.001433,0.001302
D333,0,0,0,0,0,0,0,0,0,0,0.313191,0,0.036274,0.004495,0,0,0,0,0,0,0,0.077424,0,0,0,0,0,0,0,0.028407,0,0,0,0,0.014005,0,0,0,0,0.000259,0.027197,0.036119,0,0,0.068053,0.015613,0,0.027007,0.018915,0.073638,0,0.00019,0.002887,0.000311,0.000311,0,0.007798,0.009544,0,0,0,0.185089,0.000121,0,0,5.20E-05,0,0,0.007244,0,0,0,0,0,0,1.70E-05,0,0,0.000104,0,0,0,0,0,0,0,0,0,0,0,0.000432,0,0,0,0,0,0,0,0,0,0,0.000363,0,0,0,3.50E-05,6.90E-05,0,1.70E-05,0,0,0,0,0,0,0,5.20E-05,0.012916,0,0,0,0,5.20E-05,0,0,0,0,0,0,0,0,0.000207,0,0,0,0,0,0,0,0,3.50E-05,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.007072,0,0,0,0,0.000104,0,0,0,0,0,0,0,0,0,0,0.000104,0,0.000121,0.000432,0,0.022719,0,0,0,0,0,0,0,5.20E-05,0,0,0,0.000294,0,0,0,6.90E-05,0,0,0,0,0,0,0,0,0,8.60E-05,3.50E-05,0,0,0,0,0,0,5.20E-05,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0,0,0,0,0,0,0,0,0
D372,0.00486,0,0.000476,9.50E-05,0,0,0.002001,0,0.000953,0,0,0.000286,0.000476,0,0,0,0,0.000191,0.147132,0.003907,0,0.000286,0.003812,0,0.007338,0.000762,0.000191,0,0,0,0,0,0,0,0,0.089099,0,0,0,0,0,0,0,0,0,0,0.000286,0.000191,0,0,0.079474,0,0,0,0,0.002573,0,0.004098,0.000381,0.036878,0,0,0,0.000286,0,0,0.001525,0.060511,0,9.50E-05,0.000381,0.021631,0,0,0.003335,0,0.000667,0,0,0.028778,0,9.50E-05,0,0.002478,0,0,0.006194,0.043072,0.018963,0,0,0.000667,0,0,0.002096,0.001525,0,0.030112,0.00972,0,0.009053,0.000191,0.002954,0.009339,0.000858,0.00324,0,0.000667,0.010006,0,0,0,0.017629,0.001525,0.017057,0.001429,0.046122,0,0,0,0.007338,0.031828,0,0.041548,0.000953,0,0.00648,0,0.022489,0.004765,0,0,0,0.018296,0,0.004098,0,0,0,0,0,0,0.000191,0,0.003907,0,0,0,0.010482,0,0,0.00162,0.000953,0.000572,0.007433,0.000286,0,0,0.003431,0,0.001048,0.010959,0.00991,0,0.001429,0.000762,0.004098,0,0.002001,0.000953,0.002573,9.50E-05,0,0,0,0,0.001334,0.006194,0,0.004098,0.000476,0.00667,0.000286,0,0.000858,0.002001,0.001429,0.000191,0,0,0.002954,0,0.000191,0.001239,0,0,0.000667,0,0.001334,0.000191,0,0.005146,0.000286,0.001811,0.000191,0.001906,0,0.001429,0.000667,0,0.001239,0.003049,0.000191,0.000381,0.002096,0,0.000476,0.000286,0.000953,0.003716,0,0.000191,0.000858,0.000381,0,0.000762,0.001429,0.000191,0.001334,9.50E-05,0.000381,0.001906,9.50E-05
D465,0,0,0,0,0,0,0.00083,0,0.000104,0,0.030394,0,0.217635,0.002075,0,0,0,0,0,0.000726,0,0.000415,0.003942,0,0,0,0,0.02832,0.015768,0.046162,0,0,0,0,0.014004,0,0,0,0,0.000726,0,0.04668,0,0,0.035373,0.108195,0,0.023548,0,0.047407,0,0,0.004149,0,0.00861,0,0.059959,0.019813,0,0,0,0.069917,0.004979,0,0.000104,0,0,0.001245,0.01888,0,0,0.000415,0,0,0,0,0,0,0.004668,0,0,0,0.000726,0,0.000207,0,0.001971,0,0,0,0.026763,0.00083,0,0,0.024793,0,0,0,0,0,0.00083,0,0,0,0.000104,0.000311,0.000934,0,0,0.000934,0,0,0,0.003631,0,0,0,0.013797,0.000519,0,0,0,0.002386,0,0,0.000415,0,0,0,0,0,0.026141,0.010062,0,0,0,0,0,0.001452,0,0.000726,0,0.029149,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002178,0.002593,0,0,0,0,0,0,0.000207,0,0,0,0,0,0,0,0.021058,0.002178,0,0,0,0,0,0,0,0.000726,0.000104,0,0,0,0,0,0,0.000934,0,0,0,0,0,0,0,0,0,0.000519,0,0.004668,0.000311,0,0,0,0,0.000726,0,0,0,0,0,0,0,0.000104,0,0,0,0,0,0.000726,0,0,0,0,0,0.000415,0,0
D444,0,0,0,0.000115,0,0,0,0,0,0,0,0,0.011123,0.016915,0,0,0,0,0,0,0,0.442889,0,0,0,0,0,0,0,0,0,0,0,0,0.068119,0,0,0,0,0.001151,0.05481,0.061599,0,0,0.02612,0.032449,0,0.031988,0.111499,0.040388,0,0.00046,0,0,0.000115,0,0.000767,0,0,0,0,0.028114,0,0,0,0,0,0,0.01143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000537,0,0,0,0.001764,0,0.00023,0,0,0,0.007824,0,0,0,0,0,0,0,0.015457,0,0,0,0.007134,0,0,0,0.020213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000805,0,0,0,0,0,0,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003836,0,0,0,0,0,0,0,0,0.000115,0,0,0,0,0,0,0,0,0,0.000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153,0,0,0,0,0,0,0,0.001304,0,0,0,0,0.000268,0,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D590,0.488889,0.044444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D428,0.000625,0,0,0,0,0,0,0,0,0,0.002707,0,0.020931,0.050297,0,0.000208,0,0.000104,0,0,0,0.119546,0,0,0,0,0,0,0,0,0.000104,0,0,0,0.121629,0,0,0,0,0.000312,0.09018,0.076643,0,0,0.041237,0.00604,0,0.083099,0.031657,0.023951,0,0,0,0,0.023534,0,0.005103,0.004165,0,0,0,0.090493,0.000937,0,0,0,0,0,0.035822,0,0,0,0.004374,0,0,0,0,0,0.003749,0,0,0,0.000729,0,0,0.000312,0,0,0,0,0.001458,0.011559,0.000417,0,0,0,0,0.000312,0,0.000208,0,0.059877,0,0,0,0,0,0,0,0.003645,0,0,0,0.06071,0,0,0,0.020619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833,0,0.000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D517,0,0,0,0,0,0,0,0,0,0.002244,0.238198,0,0.097971,0.132747,0,0,0,0,0,0,0,0.018697,0,0,0,0,0,0.006824,0,0.002524,0.000935,0,0,0,0.01421,0,0,0,0,0.007853,0.015051,0,0,0,0.034683,0.010751,0,0.01879,0.021688,0.030476,0,0,0.000374,0,0,0,0.001496,0,0,0,0,0.000654,0,0,0.000187,0.035804,0,0.003085,0.017388,0,0,0,0,0,0.001963,0,0,0,0,0,0,0,0,0,0.00028,0.000935,0.008974,0,0,0,0.032159,0.000374,0,0,0,0.000935,0,0.004861,0,0,9.30E-05,0.127699,0,0,0,0.013649,0.000187,0,0,0,0,0.003552,0,0,0,0,0,0,0,0,0,0,0.000467,0,0,0,0.017482,0,0,0,0,0.000654,0.003178,0,0,0,0,0,0.024025,0,0.000561,0,0,0.000841,0,0,0,0,0,0,0,0,0,0,0,0,0.000467,0,0,0,0,0,0,0,0,0,0,0.000561,0,0,0,0,0,0,0.03085,0.008881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001122,0,0,0,0.001028,0,0,0.000374,0,0,0,0.000374,9.30E-05,0,0.000561,0
