,otu317458,otu187988,otu56423,otu149387,otu190213,otu308757,otu52001,otu264772,otu243958,otu19492,otu157879,otu234399,otu148198,otu66141,otu265516,otu156513,otu121514,otu128440,otu78308,otu144892,otu151388,otu171426,otu60355,otu251532,otu4298,otu321556,otu290794,otu270847,otu92456,otu102976,otu290249,otu138843,otu155659,otu24642,otu178207,otu55290,otu301727,otu315384,otu304184,otu314536,otu280657,otu251239,otu132182,otu87424,otu100234,otu78596,otu241002,otu75689,otu24528,otu41515,otu82365,otu117685,otu91075,otu199122,otu113994,otu283090,otu45913,otu275580,otu187218,otu131973,otu304298,otu187829,otu232045,otu328319,otu155702,otu324101,otu101845,otu101753,otu263295,otu201690,otu38625,otu298459,otu286928,otu164706,otu289051,otu23328,otu325184,otu3200,otu163717,otu227760,otu103748,otu125814,otu195408,otu47900,otu245136,otu22968,otu101806,otu326647,otu261575,otu132652,otu143223,otu45911,otu183834,otu256834,otu302225,otu55654,otu120996,otu25983,otu131901,otu248919,otu98415,otu222218,otu94157,otu58736,otu24141,otu70569,otu43678,otu106586,otu160909,otu224086,otu197155,otu278327,otu38971,otu105908,otu69930,otu127106,otu62904,otu138417,otu273830,otu85851,otu221867,otu108155,otu86985,otu277205,otu234887,otu259902,otu248837,otu36430,otu24500,otu325746,otu55336,otu29149,otu40065,otu204471,otu14493,otu274122,otu17070,otu57594,otu117687,otu296007,otu195689,otu24353,otu34816,otu200027,otu319219,otu182032,otu280946,otu120851,otu38090,otu261401,otu278075,otu289835,otu215368,otu54454,otu228398,otu235244,otu228653,otu106016,otu24589,otu98285,otu304795,otu125239,otu231647,otu66826,otu219274,otu254815,otu55624,otu97538,otu94444,otu73605,otu236578,otu119814,otu314888,otu188738,otu194673,otu312360,otu308285,otu280694,otu84462,otu231014,otu150453,otu285676,otu150133,otu290028,otu268092,otu203368,otu79108,otu197885,otu103020,otu233411,otu309225,otu252534,otu157652,otu185462,otu196922,otu192766,otu78374,otu68575,otu257163,otu291721,otu276946,otu134669,otu139401,otu270129,otu36139,otu290914,otu147213,otu103968,otu168565,otu173048,otu265125,otu222127,otu44550,otu173422,otu10785,otu191839,otu295890,otu31413,otu148919,otu268926,otu240002,otu168212,otu299267,otu75030,otu88016,otu107311,otu214479,otu242943,otu224206,otu163802,otu173981,otu82666,otu135538,otu230161,otu190994,otu165386,otu304619,otu251138,otu190034,otu54313,otu282540,otu189095,otu77315,otu9874,otu124216,otu248127,otu207496,otu145838,otu41959,otu154116,otu17628,otu9741,otu7142,otu316098,otu302096,otu225044,otu9959,otu174940,otu67104,otu185311,otu214931,otu260122,otu39875,otu77528,otu173019,otu50291,otu256267,otu153213,otu17862,otu299662,otu168693,otu47403,otu22981,otu210801,otu143731,otu131290,otu194828,otu3990,otu173566,otu166251,otu23711,otu2824,otu16489,otu308261,otu181277,otu99250,otu242915,otu43895,otu59875,otu115307,otu157459,otu10990,otu43787,otu104557,otu220844,otu263534,otu219668,otu161642,otu326881,otu75528,otu117033,otu208263,otu232248,otu206149,otu55413,otu63689,otu42549,otu62850,otu288610,otu5199,otu94435,otu177022,otu4389,otu207307,otu314945,otu65698,otu180281,otu303909,otu201751,otu67950,otu299908,otu202176,otu22980,otu242237,otu243743,otu290349,otu243655,otu67961,otu113180,otu95808,otu33780,otu289434,otu262467,otu199240,otu167853,otu73852,otu15523,otu324167,otu174745,otu8108,otu245694,otu115117,otu93123,otu14883,otu243689,otu276077,otu40932,otu30419,otu227880,otu7798,otu218587,otu291944,otu81005,otu260256,otu116427,otu277058,otu208613,otu103708,otu228025,otu267028,otu284516,otu36535,otu112225,otu252305,otu233617,otu55578,otu53020,otu194392,otu285351,otu40183,otu45918,otu32760,otu63644,otu163911,otu270617,otu238032,otu147297,otu46075,otu268010,otu173926,otu277908,otu197621,otu46118,otu171161,otu210374,otu183743,otu234279,otu137989,otu181894,otu35825,otu79808,otu189123,otu209044,otu212991,otu67089,otu245615,otu197583,otu253014,otu50245,otu40576
D1786,0,0,0,0,0.012757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428,0,0,0,0.06728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640083,0.000285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1e-05,0,0,0,0,0,0,0,0,0,0,0.000143,0,0,0,0,0,0,0,0,0,0.000356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143,0,0.000285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143,0,0,0,0,0.143468,0,0,0,0,0,0,0,0,0,0.095859,0,0,0,0,0,0,0.000499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D34,0,0,0.133014,0.049444,0.017172,0,0,0,0.000818,0.000491,0.007196,0,0,0,0.004634,0,0,0,0,0,0.000273,0.002344,0.011066,0.000436,0.000273,0,0.48539,0,0.035816,0,0,0,0,0.00109,0.003107,0.004198,0,0,0.000545,0,0.000218,0,0.000927,0,0.001363,0,0,0,5.5e-05,0,0,0.001254,0.003489,0.011775,0,0,0,0,0.000545,0,0,0,0.007523,0,0,0,0,0.000491,0,0,0.001635,0.004852,0,0.000709,0,0.000218,0,0.010903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763,0,0,0,0.000491,0,0,0,0,0,0,0,0.006269,0,0,0,0,0,0,0,0,0,0,0,0.000327,0,0,0,0,0,0,0,0,0,0,0,0,0.002562,0,0,0,0.001908,0,0.000273,0.003652,0.004797,0,0,6e-04,0,0,0,0,0,0,5.5e-05,0,0,0,0,0,0,0,0,0.000491,0,0,0.00169,0,0.00676,0.001526,0.001908,0,0,0,0,0,0,0,0,0,0,0,0.001308,0,0.000818,0,0.001254,0,0.000218,0.001254,0,0.002889,0,0.000218,0.000327,0,0,0,0,0,0.001526,0,0,0.000382,0.002072,0,0,0,0,0,0.001036,0.000109,0,0,0,0,0.003707,0,0,0,0.003216,0,0.002235,0.000164,0,0.000763,0,0,0,0,0,0,0,0,0,0.000164,0.000382,0,0,6e-04,0,0,0,0,0.012593,0,0,0,0,0.000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000327,0,0,0,0.000109,0,0,0.001363,0,0.004252,0,0.000491,0,0,0,0,0.001254,0,0,0,0,0.00109,0,0,0,0,0,0,0,0,0,0.000109,0,0,0,0,0.004579,0,0,0.000109,0,0,0.000436,0,0,0,0.000981,0,0,0,0,0,0,0,0,0,0,0.000382,0,0.000109,0,0,0,0,0.000709,0,0,0,0.015264,0,0.001199,0,0,0,0,0.000327,0,0,0,0,0,0,0,0,0,0,0,0.000654,0,0,0,0,0,0,0,0,0,0,0,0.001145,0.000382,0,0,0,0,0,0.000709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229,0.001308,0.004743,0,0,0,0,0,0,0,0.001363,0,0,0.001363
D696,0,0,0,0,0.000414,0,0,0,0,0.583124,0,0.046716,0,0,0,0,0,0,0,0,0,5.2e-05,0,0,5.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0.000491,0,0,0,0,0,0,0,0,0,0,0,5.2e-05,0,0,0,0,0,0,0.011873,0.000155,0,0,0,0,0,0.209369,0,0,0,0,0,0,0,0,0.000776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2e-05,0,0,0,0,0,0,0,0.000776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8e-05,0,0,0,0,0,0,0,0,0,0,0,0.00044,5.2e-05,0,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103,0,0,0,0,0.000155,0,5.2e-05,0,0,0,0,0,0,0,0,0,0,5.2e-05,0,0,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155,0.001112,0,0,0,5.2e-05,0,0,2.6e-05,0,0,0,0,0,0.000103,0,0,0,0,0,0,0,5.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,7.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233,0,0,0,0,0,0,7.8e-05,0,0,0,0,0,7.8e-05,0,7.8e-05,0,0,0.00044,0,0,0,0,0,0,0,0,0,0,5.2e-05,0,0,0,0,0,0,0,0,7.8e-05,0,0,0,0,0,0,0,0,5.2e-05,0,0,0,0,5.2e-05,0,0,0,0,0,0,0,0,0,0
D921,0,0,0,0,0,0,0,0.018771,0,0,0,0.01618,0,0.02948,0,0,0,0.002332,0,0,0,0.000461,0,0,0,0.021391,0,0,0,0,0,0,0,0,0,0,0,0,0.053894,0,0,0.000259,0,0,0,0,0.018224,0,0.003253,0,0,0,0,0,0,0,0,0.004174,0,0,0,0,0,0,0,0,0,0,0.007658,0,0,0,0,5.8e-05,0,0,5.8e-05,0,0,0,0.010595,0,0.051706,0,0.010969,0,0.000432,0,0.013473,0,0,0.020671,0,0,0.006046,0,0,0,0,0,0,0,0,0,0,0,0.030574,0,0,0,0,0,0,0,0,0.002908,0,0,0,0,0.001152,8.6e-05,0,0,0,0,0.001612,0,0,0,0,0,0.037023,0,0,0,0.002217,0,0,0,0,0,0,0,0,0,0,0,0,0.019951,0,0,0,0.006219,0,0,0.000259,0,0,0,0,0,0,0,0,0,0,5.8e-05,0.013128,0.001727,0,0.014539,8.6e-05,0,0,5.8e-05,0,0,0.000288,0,0,0.001785,0,0,0,0,0,0,0.000317,0,0,0,0,0,0,0,0,0,5.8e-05,0,0,0,0.000374,0,0,0,2.9e-05,0.011372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001439,0,0,0,0,0,0,0,0,0.00452,0,0,0,0,0,0.011084,0,0,0,0,0,0,0,0,0,0.000461,0,0,0,0,0,0,2.9e-05,0,5.8e-05,0,0,0,0,0,5.8e-05,0,0,0,0,0,0,0.015978,0.00023,0.006219,0.001382,0,0,0,0,0,0,0.001411,0,0,0,0,0.012782,0.005902,0,0,0,0,0,0,0,0,0,8.6e-05,0,0.001094,0,0,0,0,0,0,0,8.6e-05,0,0,0.000345,0,0.007456,0,0,0.005988,0,0,0,0,0.001958,0,0.006017,0,0,0.001209,0,0,0.000691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004376,0,0,0.002044,0,0,0,0,0,0,0,0,0,0.013186,0,0.005125,0,0,0,0,0.001555,0,0.001785,0,0,0,0,0,5.8e-05,0,0.005125,0,0,0.000259,0,0.000489,0,0,0,0,0.003455,0,0,0,0,0,0,0,0,0.000979,0,0,0.01618,0,0,0,0,0,0.004146,0
D4240,0,0,0,0,0,0,0.145946,0,0,0,0.010811,0,0,0,0,0,0,0,0.081081,0,0,0,0,0,0,0.010811,0,0,0,0,0,0,0.037838,0,0,0,0.021622,0,0,0.059459,0,0,0,0.016216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010811,0,0,0,0,0,0.005405,0,0,0,0,0,0,0,0,0,0,0.037838,0,0,0,0,0,0,0,0,0.016216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059459,0,0,0,0,0,0,0,0.037838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07027,0,0,0.021622,0,0,0,0,0,0,0,0,0,0,0,0.021622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027,0,0,0.016216,0,0,0,0,0.010811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021622,0,0,0,0,0,0.010811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048649,0,0,0
D2620,0,0,0,6.9e-05,0,0,0,0.307808,0,0,0,0.061898,0,0.147476,4.6e-05,0,0,0,0,0,0,0,0,0,0,0.002446,0.000231,4.6e-05,0,0,0,0,0,0.000254,0,0,0,0,0.000646,0,0,0,0,0,0,0,0.018579,0,0,0,0.000485,0,0,0,0,0.000462,2.3e-05,2.3e-05,0,0,0,0,0,0.000531,0,0,0,0,0.011263,0,0,0,0,0,0,2.3e-05,0,0,0,0.001177,0.003393,0,0,0,0.000577,0,0,0,0.007293,0,0,0.010986,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0.05329,0,0,0,0,0,0,0,0,0.002262,0,0,0,0,0,0,0,0,0,0,0.000739,0,0,0,0,0,0,0,0,0,0.000138,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001131,0.003346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001085,0.000185,0,0,0,0,0,0,0,0,0,0,0,0.000692,0,0,0,0,0,0.000346,0,0,0,0,0,0,9.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00937,0,0,0,0,0,0.002031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014378,0,0,0.001039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002816,0,0,0,0,0,0,0.028687,0,0,0,0,0,0,0.000646,0.015048,0,0,0,0,0,0,0,0,0,0.03875,0,0,0,0,0,0,0,0,0,0,0.000162,0,0,0,0,0,0,0,0
D374,0.152534,0,0,0,0.001047,0,0.000101,0,0,0,0.001419,0,0,0,0,0,0.049561,0,0.000169,0,6.8e-05,0.002872,6.8e-05,0,0,0,0,0,0,0,0,0,0,0.002466,0,0,0,0,0,6.8e-05,0.022568,0,0,6.8e-05,0,0,0,0,0,0,0,0.000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304,0,0,0.001216,0,0,0.024662,0,0,0.006318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006453,0,0,0,0,0.006723,0,0,0,0.000541,0,0,0,3.4e-05,0,0,0,0.001047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0.036047,0.000845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000372,0,0.000473,0,0,0,0,0,0,0,0.041014,0,0,0,0,0,0.000608,0,0,0,0,0,0,0,0,0.000135,0,0,0,0,0,0,0,0,0,0,0,0,0.005135,0,0,0,0,0,0,0,0,0.007703,0,0,0,0,0.008615,0.000236,0,0.000101,0,6.8e-05,0,0.012568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006014,0,0,0.003108,3.4e-05,0,0,0,0,0,0,0,0,0.016081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135,0,0,0,0.001791,0,0.000236,0,0,0,0,0.000101,0.004696,0,0,0,0,0.011149,0,0,0,0,0,0,0,0.019459,0,0,0,0,0,0,0,0,0.003176,0,0,0,0,0,0,0.000101,0,0,0,0.00527,0.001182,0.000912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001014,0,0,0.004122,0.016216,0,0,0,0,0.001453,0,0.002703,0,0,0,0,0,0.001284,0,0.000608,0.000845,0.000811,0,0.000676,0,0,0,0,0.000338,0,0,0
D3285,0.032009,0,0,0,0.066623,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0.034285,0,0,0,0,0,0.000808,0,0.000419,0,0,0,0.017217,0,0,0,0,0,0,0.008384,0,9e-05,0,0.000449,0,0,0,0.077043,0,0,0,0.220559,0,0,0,0,0,0,0,0,0,0,0.007396,0,0,0,0.110459,0,0,0,0,0,0.000898,0,0,0.008833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-05,0,0,0,0.013205,0,0,0,0,0,0,0,0,0,0.000569,0,0,0,0,0.00015,0.001108,0.000269,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0,0,0,0,0.000269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,6e-05,0,0.002395,0,0.003324,0,0,3e-05,0,0,0,0,0,0,0,0,0.00024,0.000779,0,0,0,0,0,0,0,0,0,0,0.003623,0,0,0.000269,0,0,0,0,0,0,0,0,0.000449,0,0,0,0,0,0,0,0.001288,0,0,0,0,0,0,0.003773,0,0.005809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012366,0.000719,0,0,0,0,0.00024,0,9e-05,0.004372,0,0,0,0,0,0,0,0,0,3e-05,0,0,0.000269,0,6e-05,6e-05,0.008893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010899,0,0,0.00015,0,0,0,0,0,0.00021,0,0,0,0,0,0,0.000269,0.002695,0,0,0,0,0.001587,0.012516,3e-05,0,0,9e-05,0,3e-05,0.000269,0,0,0,0,0,0,0,0,0.002755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0.000299,0.00018,0,0,0,0,0.000449,0.000539,0,0,0,0.003893,0,0,0,0,0,0.00015,0,0,0,0.001557,0,0.000599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002755,0,0,0,0,0.00024,0,0.002515,0,0,0,0.000539,0,0,0,0
D4310,0,0,0.052382,0.051771,0.000361,0,0,0,8.3e-05,0.003414,0,0,0,0,0.001194,0,0,0,0,0,0.001915,0,0.002054,0.008716,0,0,0.000555,0,0.017877,0,0.002026,0,0,0,0.000416,0.013547,0,0,0,0,8.3e-05,0,0.073451,0,0,0,0,0,0,0.431795,0,0.005829,8.3e-05,2.8e-05,0,0,0.001305,0,0,0.000361,0,0,0.000389,0.003942,0,0,0,0.000111,0,0.000222,8.3e-05,0,0,0,0,0,0,0.001527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0.000888,0,0,0,0,0,0.000139,0,0,0,0,0,0,0,0,0,0,0,0,0.004608,0,0,0,0.000333,0,0,0.006523,0.00111,0,5.6e-05,0.009744,0,0,0,0,0,0.000111,0,0,0,0,0,0,0,0,0,0,0,5.6e-05,0,0,0.000694,0.001582,2.8e-05,0,0,0,0,0,0,0,0,5.6e-05,0,0,0.000833,0,0.005191,0,0,0,5.6e-05,2.8e-05,0.000194,0.001555,0,0,0.017322,0,0,0,8.3e-05,0,0,0,0,0,0.008022,0,0,0,0.09688,0,0.002693,8.3e-05,0,0,0.001194,8.3e-05,0.002859,0,0,0,0,0,0.002304,0.000389,0,0,0,8.3e-05,0,0,0,0,0,0,5.6e-05,0,0,0,0,0,0,0.005247,0,0,0,0,0,0,0,0.008911,0,0,0,0,0,0,0,8.3e-05,5.6e-05,0,0,0,0,0,0,5.6e-05,0,0.000111,0,0,0.000305,0,0.000333,0,0,0,0,0,0,5.6e-05,0.012381,0,0,0,8.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0.000111,0,0,0.023679,0,0,0.001749,0,0,5.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333,0,0.006218,0,0,0,0,0,0,0,0,0,0,0.000527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555,0,0.010326,0,5.6e-05,0,0,0,0,0,0,0,0,0.000999
D2110,0.001158,0,0.00067,0,0.000975,0,0,0,0,0,0,0.000203,0.357868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000447,0,0,0,0.011983,0,0,0,0,0,0,0,0,0,0,0,0.000102,0,0.000183,8.1e-05,0,0,0,0,0,0,0,0.000528,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,6.1e-05,0,0,8.1e-05,0,0,6.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,0,0,0.000223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1e-05,2e-05,0.000183,0,0,0.000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142,0,0,0,0,0,8.1e-05,0,0,0,0.000528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003087,0,0,0,0,0,0,0.000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001401,0.000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000203,0,0,0,0,0,0,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1e-05,0,0.000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
