,otu308757,otu187988,otu56423,otu243958,otu149387,otu190213,otu234399,otu251532,otu317458,otu264772,otu151388,otu66141,otu92456,otu290249,otu121514,otu290794,otu171426,otu45913,otu289051,otu102976,otu128440,otu268193,otu164706,otu321556,otu280657,otu265516,otu3200,otu19492,otu60355,otu132182,otu24642,otu197621,otu304184,otu148198,otu268092,otu120851,otu199122,otu23328,otu201690,otu282540,otu38625,otu319219,otu70569,otu38090,otu270847,otu157879,otu304795,otu100234,otu265125,otu241002,otu33780,otu263295,otu55654,otu91075,otu187218,otu24528,otu232045,otu117685,otu103020,otu195689,otu227760,otu103748,otu178207,otu302225,otu84462,otu325184,otu120996,otu101753,otu45911,otu228653,otu14007,otu259902,otu43678,otu115406,otu285676,otu24353,otu57594,otu145838,otu173981,otu290028,otu47403,otu55336,otu261401,otu291721,otu252534,otu147213,otu175960,otu245136,otu197885,otu188738,otu231647,otu219274,otu257163,otu4298,otu266417,otu242915,otu17070,otu266395,otu81005,otu328319,otu312360,otu22968,otu108155,otu137989,otu251239,otu34816,otu195408,otu280946,otu54454,otu302096,otu182032,otu303909,otu10990,otu73605,otu197155,otu15523,otu222127,otu62850,otu295890,otu244184,otu200155,otu173422,otu36139,otu168693,otu210374,otu225044,otu240288,otu124216,otu14493,otu201243,otu24141,otu2174,otu168212,otu78374,otu326881,otu58736,otu196922,otu299267,otu68575,otu97538,otu233411,otu87407,otu261575,otu2824,otu256267,otu314888,otu224206,otu251163,otu7142,otu260122,otu214479,otu240002,otu268926,otu66826,otu9874,otu194828,otu42549,otu308261,otu117687,otu308285,otu43895,otu219768,otu284516,otu182184,otu43787,otu17862,otu3007,otu86382,otu221867,otu22980,otu36430,otu245009,otu173926,otu55649,otu231417,otu231276,otu63689,otu135538,otu227820,otu22058,otu203368,otu183743,otu285351,otu35825,otu67104,otu318690,otu219668,otu53020,otu14883,otu278327,otu140795,otu22981,otu139401,otu165386,otu181894,otu197583,otu243689,otu112225,otu218587,otu290186,otu40521,otu180281,otu174745,otu36535,otu291944,otu207496,otu40576,otu117241,otu317198,otu119446,otu16518,otu276077,otu234279,otu151399,otu34128,otu242237,otu63298,otu207307,otu248837,otu193671,otu191467,otu297683,otu93123,otu157459,otu113180,otu168614,otu252305,otu262467,otu67961,otu75528,otu46075,otu107311,otu156770,otu201636,otu55578,otu226876,otu281583,otu245615,otu2411,otu77042,otu4389,otu325357,otu95020,otu177022,otu150453,otu270854,otu32501,otu39875,otu154085,otu52804,otu115117,otu5199,otu183055,otu309351,otu40932,otu322018,otu316782,otu8108,otu75030,otu22860,otu277402,otu230801,otu267538,otu292589,otu321120,otu162439,otu21474,otu151813,otu84911,otu288120,otu277908,otu292933,otu61039,otu41945,otu135583,otu230665,otu44558,otu312748,otu50291,otu8351,otu221737,otu196925,otu19728,otu53612,otu189123,otu79168,otu69986,otu329524,otu45484,otu15474,otu207098,otu117386,otu61217,otu233807,otu277058,otu235489,otu240630,otu35443,otu255644,otu210801,otu296297,otu122543,otu115012,otu53868,otu175915,otu36538,otu181921,otu282960,otu255728,otu115295,otu60148,otu208613,otu130226,otu324167,otu320506,otu16260,otu205097,otu317375,otu200994,otu300821,otu268361,otu215301,otu207159,otu40978,otu151695,otu25983,otu166343,otu54664,otu312771,otu6486,otu10842,otu126611,otu276830,otu288683,otu75640,otu225347,otu61099,otu319380,otu315340,otu236496,otu143731,otu34730,otu224581,otu7081,otu112927,otu95014,otu282810,otu124324,otu144720,otu102961,otu129244,otu195872,otu208692,otu317409,otu205724,otu204904,otu49788,otu163488,otu162483,otu63644,otu299541,otu202242,otu196789,otu55465,otu217464,otu307765,otu184634,otu139125,otu233617,otu286610,otu173727,otu188667,otu153831,otu145558,otu133358,otu107198,otu165410,otu219248,otu6720,otu46018,otu76106,otu3990,otu317514,otu307179,otu41064,otu210754,otu77782,otu115778,otu239064,otu31413,otu166559,otu265438,otu54094,otu181268,otu53613,otu243793,otu253107,otu102811,otu88716,otu128492
D451,0.363388,0,0,0,0,0,0,0,0.000513,0,0,0,0,0.007186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053978,0,0,0.032934,0,0,0.002652,0.001369,0,0,0,0.008896,0,0.020701,0.008212,0,0,0,0,0,0,0.007699,0.013687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025749,0,0,0,0,0,0,0,0,0,0.01018,0,0,0.001283,0.005047,0,0,0,0,0,0,0,0,0,0,0,0,0.003336,0,0,0,0,0,0,0,0,0.083148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257,0,0.01805,0,0,0.025406,0,0.036099,0.030282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000855,0,0,0,0,8.6e-05,0,0,0,0.001711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0,0,0,0,0,0,0,0,0,0,0,0.002737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005218,0,0,0,0,0,0.083405,0,0.011548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257,0,0,0,0,0,0,0,0,0,0,0,0,0.000171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00633,0,0.001198,0,0,0,0,0,0.000171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010009,0,0,0,0,0.026347,0,0,0,0,0,0,0.000171,0,0,0,0,0,0.008383,0,0,0,0,0.00077,0,0,0,0,0,0,0
D347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407042,0,0,0,0,0.003588,0.000336,0,0,0,0,0,0,0,0,0.149585,0,0,0,0,0,0,0,0,0,0,0,0.002018,0,0.00157,0,0,0.000336,0,0,0,0,0,0.000897,0,0,0,0.000224,0,0,0,0.000224,0,0.01368,0,0,0,0,0,0,0,0,0,0,0,0.000336,0,0,0.000336,0,0.090491,0.02893,0,0.007849,0,0,0.000336,0.000561,0,0,0,0,0,0.001233,0,0,0,0,0.000336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001794,0,0,0,0.004261,0,0,0,0,0.000449,0,0,0,0,0.000224,0,0,0,0.034873,0,0,0.001458,0,0.011213,0,0,0.01155,0,0,0,0,0,0,0,0,0,0.003252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035995,0,0,0,0,0,0,0,0,0,0,0,0.000673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000449,0,0.000785,0,0,0,0,0,0,0.000673,0,0,0.001682,0.011774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224,0,0,0,0,0,0.000224,0,0.015026,0,0,0.001794,0,0,0,0,0.001233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561,0,0,0,0,0,0,0,0.000224,0,0,0,0,0,0,0,0,0,0,0.000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000897,0,0,0,0,0,0.000673,0.018502,0,0,0,0,0,0,0,0,0,0,0.000897,0,0,0,0,0,0.010204,0,0,0,0,0,0,0,0,0,0,0.004149,0,0,0,0,0,0,0,0.000785,0,0,0,0,0,0.000112,0,0,0,0,0,0,0,0,0,0,0.000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003252,0.000897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008746
D337,0,0,0,0,0,0,0,0,0.054873,0,0,0,0,6.7e-05,0.011947,0,0.000202,0.000135,0,0,0,0,0.023961,0,0.106304,0,0,0,0,0.001012,0,0,0,0,0,0.00027,6.7e-05,0,0,0,0,0,0,0,0,6.7e-05,0.000135,6.7e-05,0,0,6.7e-05,0,0.000472,0,0,0.003712,0,0,0,0,0,0,0,0,0,0.026188,0,0.00108,0,0,0,0,0,0,0,0,0,0,0.00081,0.000675,0,0,0,0,0,0,6.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00054,0.001957,0,0,0,0,0,0,0,0,0.002025,0,0.000202,0.00135,0,0,0.002092,0.019506,0,0,0,0.000607,0.002227,0,0.00027,0,0,0.000945,0.003037,0,0.002025,0.00081,0,0,0,0,0.000202,0,0,0,0,0.009179,0,0,0,0,0,0,0,0,0,0.008639,0.000607,0,0,0.000135,0.005805,0,0.00108,0,0,0,0.00243,0,0.001215,0,0.001687,0.000202,0.091995,0,0.018224,0,0,0.003847,0,0,0,0.000202,0.00162,0,0.002902,0,0.019303,0.018831,0.000742,0.007289,0,0,0.000135,0,0,0,0,0,0,0,0,0.000135,0,0.009112,0.019506,0,0.0027,0,0.001755,0,0.00027,0,0.003915,0,0,0,0,0,0.001485,0,0,0,0,0,0,0.00081,0,0,0,0.00081,0.000472,0,0,0,0,0,0.001417,0.018763,0,0,0,0.000405,0.00243,0,0,0,0,0,0.000405,0,0,0,0,0,0,0.005535,0.007019,0,0.00243,0.026525,0,0.015254,0.006479,0,0,0.00081,0,0.000202,0.00027,0,0,0.001012,0,0,0.031452,0,0.026863,0,0.010259,0.000135,0.00081,0.00054,0,0.001215,0,0,0,0.00027,0.000202,0,0.000607,0.002227,0,0.00054,0.00054,0,0,0,0,0,0.000337,0,0,0,0.00054,0,0.009652,0.00378,0.002092,0,0.00054,0,0.002902,0,0,0,0,0,0,0,0.004792,0.000135,0,0.003712,6.7e-05,0.000337,0,0,0,0,0.000337,0,0,0.000202,0.000675,0.00405,0,0.000675,0.00324,0,0,0.00189,0,0,0,0,0,0,0.001147,0.000607,0.003442,0,0,0.00054,0,0.000472,0.00621,0.004927,0,0,0.000877,0,0.001417,0.00378,0,0,0,0,0,0.000202,0,0.013769,0,0,0,0.000742,0,0,0.004117,0,0.000135,0,6.7e-05,0.001957,0,0.001957,0,0.000135,0,0,0,0.000675,0,0.000472,0,0,6.7e-05,0,0.000202,0.000472,0.000135,0,0,0.006749,0
D248,0,0,0.000226,0,0,0.031656,0,0,0.00147,0,0,0,0,0,0,0,0.004635,0,0,0,0,0,0,0,0,0,0,0.000452,0,0.000226,0,0,0,0.037761,0,0,0.002487,0,0,0,0,0,0,0,0,0,0.003731,0.062747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002826,0.022046,0,0,0,0.000452,0.022612,0,0,0,0,0.014132,0,0,0,0.060486,0,0,0,0,0,0.01515,0,0,0,0,0,0.032448,0,0,0,0,0,0,0,0,0,0.018994,0,0,0,0,0,0.000452,0,0,0,0,0,0,0,0,0,0.016054,0,0,0,0,0.327077,0.031995,0,0,0,0,0,0,0,0,0,0,0.002487,0,0,0,0,0,0,0,0,0,0,0,0,0.002713,0,0,0,0,0.010175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003844,0,0,0,0,0,0,0,0,0.009836,0,0,0,0,0,0,0,0,0,0,0,0,0.003053,0,0.000113,0,0,0,0,0,0.001583,0,0,0,0,0,0,0,0,0.000226,0,0,0,0,0,0,0,0,0,0,0,0,0.045562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000452,0,0,0,0,0,0,0,0,0.000339,0,0.002374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001018,0,0,0,0.005992,0.001244,0.007349,0,0,0,0,0,0,0,0,0,0,0.001696,0.000565,0,0,0,0,0,0.000339,0,0.005879,0,0,0,0,0,0.011758,0,0.001018,0,0,0,0,0,0,0,0,0.000678,0,0,0.001018,0.021594,0,0,0,0,0.029508,0,0,0,0,0,0,0.016054,0,0,0,0,0,0.049972,0,0,0,0,0,0,0,0,0,0,0,0
D174,0.975153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006314,0,0,0,0.017719,0,0,0,0.000407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407,0,0,0,0,0,0,0,0,0,0
D454,0,0,0,0,0,0.00028,0.04873,0,0,0.154913,0,0.021019,0,0,0,0,0.000385,3.5e-05,0,0,0.002697,3.5e-05,0.00042,0.092801,3.5e-05,0,0,0.026309,0,7e-05,0,0,0.033526,0,0,0,0,0,0,0,0,0.000175,0,0,0,0,0.00035,0,0,0.093256,0,0.054265,0,0,0,0.00028,0,0,0,0,0.042494,0.035278,0,0.045963,0.00014,0.000105,0.00014,0,0.009424,0,0,0,0.012997,0,0.008022,0,0,0.000245,0.000105,0,0.001051,0,0.008618,0,0,0.000315,0,0.046593,0.000666,0,0,0,0,0.00014,0,0.000105,0.000666,0,3.5e-05,0,0.00035,0,0.000175,0,0,0,0.014854,0,0.040708,0.00014,0,0,0,0.015975,0,0,0,0,0,0,0,0,0,0.001051,0.001086,0.000105,0,0,0,0.00014,0.00028,7e-05,3.5e-05,0,0,7e-05,0.00014,0.002768,0,0.001997,0,0,0.017376,0,0,0.000105,0,0,0.00014,0,0,0,0,0,0.00014,0,0.000105,0.000175,0,0,0,0,0.013523,0,0,0.000245,0,0,0.000105,0,0.003223,0,0,0,0.000245,0,0,0,0.017516,0,0,0,7e-05,0.000245,0,0,0,0,0.004099,0,0,0.003608,0,0,0,0,0.000245,0.002873,0.000175,0,0.018988,0,0,0,0.000455,0,0,0,0,0,0,0,0,0,0,0.025328,0,7e-05,0.000385,0,0,7e-05,0,0,0,0,0,0,0,0,0,0,0,0.000105,0,0,0,0,0,0.000175,0.000105,0,0.001086,0,0,0,0,0.001191,0,0.000981,0,0,0,0,7e-05,0.00049,0,0,0,0.000245,0,0,0.000806,0,0,0,0,0,0.000981,0,0.005885,0,0,0,0,0,7e-05,0,0.000105,0,0.00501,0,0,0.000455,0.00014,0,0.000105,0,0,0,0.003924,7e-05,0,0,0.000105,0,0,0,0,0,3.5e-05,0,0,0.000455,0.000105,0.00035,0.000175,0,0,0,0,0,0,0.000105,0.000105,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0.00035,0.001051,0,0.000175,0.00014,0,0.001226,0,0.002347,0,0,0,0,0.003538,0,0,0,0,0,0.002452,0.000105,0,0,0,0,0,0,0,0,0,0,0,0,7e-05,0.001752,0,0,0,0,0.000841,0,0,0,0,3.5e-05,0,0.000175,0,0,0,0,0.003608,0,0,0.000315,0.000175,0.00035,0,0.00014,0,0,0,0.000315,0,0,3.5e-05,0,0,0.002102,0,0,0
D69,0,0,0,0.93776,0,0,0,0.000277,0,0,0,0,0,0.00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0,0,0,0.000832,0,0.005683,0.000693,0,0,0.051151,0,0,0,0.000416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D477,0,0,0,0,0,0,0,0,0.090909,0,0,0,0,0.022727,0,0.045455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028409,0.011364,0,0.0625,0,0,0.017045,0,0,0,0.181818,0,0,0,0.011364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727,0,0,0,0,0,0,0,0,0,0,0.017045,0,0,0,0,0,0,0,0,0,0.011364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051136,0,0,0,0,0,0,0,0,0.011364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D547,0,0,0,0,0,0.001139,0,0,0.001752,0,0,0.006132,0,0,0,0,0.000613,0.000175,0,0.00692,0,0.002715,0.000788,0.00035,0.10021,0,0,0,0,0,0.003591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0,0,0,0,0,0.002453,0,0,0,0.004643,0.000876,0,0,0.000175,0,0.043973,0,0.002278,0,0,0,0.066573,0,0.002278,0.000175,0,0,0.001927,0,0,0,0,0.006307,0.013052,0,0,0,0,0,0.022074,0,0,0,0,0.000876,0,0.026104,0,0,0,0.010424,0,0,0,0,0,0,0,0.000175,0.000964,0,0,0,0,0.001577,0,0.004555,0,0,0,0.011037,0,0,0,0.000526,0.014366,0,0,0,0.005606,0,0,0,0,0,0,0,0,0,0,0,8.8e-05,0,0.000613,0,0.00035,0.008847,0.006745,0.045287,0,0.032498,0,0,0,0,0.026542,0.009898,0.001927,0,0,0,0.00035,0,0,0.000438,0,0.001402,0,0,0,0,0,0,0,0,0,0.000263,0,0.000175,0,0,0,0.023213,0.000526,0,0,0,0.00035,0,0,0.000175,0.019184,0,0,0,0,0,0.000175,0,0.000263,0,0.005606,0,0,0.000876,0.019271,0,0,0,0.000438,0,0,0,0,0.001402,0,0.000526,0,0.00035,0,0,0,0,0.017782,0.02952,0,0,0,0,0,0,0,0,0,0,0,0,0.015242,0.000526,0,0.023125,0,0,0.007884,0,0.004993,0,0,0.001051,0,0,0,0.000175,0.018395,8.8e-05,0.000876,0,0,0,0,8.8e-05,0.000701,0,0.000876,0,0,0.00692,0.000263,0,0.003942,0.000175,0,0,0,0,0.005606,0.005694,0,0,0,0,0,0,0,0.017782,0,0.004555,0,0.004905,0,0.000263,0,0.000175,0,0,0.002453,0,0,0,0,0,0,0.00219,0,0,0,0,0,0,0.003416,0,0,0,0,0.003504,0,0,0,0,0,0.014103,0.000175,0,0,0,0.00035,0,0,0,0.000788,0,0,0.000526,0,0,0,0,0,0,0,0,0,0.000175,0,0.001402,8.8e-05,0,0,0,0,0.000263,0,0,0,0,0,0,8.8e-05,0.00184,0,0,0,0,0,0.000526,0,8.8e-05,0.000175,0,0,0.00035,0,0.000175,0,0,0.007708,0,0,0,0,0,0,8.8e-05,0.000175,0,0,0,0,0,0,0,0.014103,0.000613,0.00184,0,8.8e-05,0,0.003679,0,0.014453
D136,0,0,0,0,0,0.000499,0,0,0.004294,0,0,0,0,0,0.007291,0.020274,0.003096,1e-04,0,2e-04,0,0.004994,0.022371,0,0.026166,0,0,0,0,0,0.015779,0.005093,0,0,0,0,0.001198,0,0,0,0,0.006991,0,0,0,0,0,0,0,0,0.001198,0,0.016978,0.000699,0,2e-04,0,0,0,2e-04,0,0,0,0,0,0.002397,0.003196,0.002197,0,0,0.013582,0.018276,0,0,0,0,0,0,3e-04,0.009588,0,0,0.002896,0.012084,0.000399,0,0,0,0,0.031659,0,0,2e-04,0,0.000399,0.002996,0.010087,0,0.000899,0.000399,0.010287,0,1e-04,0,0,0,0,0.002297,0,0.003795,0,0,0.002197,0,0,0.003695,0.00769,0,0,0,1e-04,0.007291,0,0.003595,0,0,0,0.009188,0,0.001099,0.001198,0.000499,2e-04,0,0,0,0,0,0,0,0,0.005693,0,1e-04,0,0,0.001298,0,0.005493,2e-04,0.005892,0.006192,0,0,0,0,0,0.006991,0,0,0,0.013882,0,0.011585,0,0.000399,0,0.002397,0,0.003096,0,0.006292,0.031359,0,0,0.004594,1e-04,0.002097,0,0.012284,0,0.003396,0.009787,0.000999,0.013283,0.008689,0,0,0,0,0.009588,0.001198,0,0,0,0,0,0,0.003795,0.000499,0,0.004095,0,0.007091,0.000399,3e-04,0,0.002597,0.001298,0,0,0,0,0.002397,0.000499,0,0,0,0,0,0.002996,0.003695,0.001598,0.005093,0.001698,0.011785,0,0,0,0,0.001798,2e-04,0.001997,0.017577,0.002497,0,0.000999,0.004794,0.003895,3e-04,0,0.006092,0,0.003296,0,0,0,0,0.000899,0,0,0.012384,0,0.001698,0.005992,0,0.000899,0.000399,1e-04,0.002597,0.001198,0,0,0,0,0,0.014082,0.000799,0.000699,0.000499,0,0.000599,0,0.002696,0.002497,0,0,0,0,0.000599,0,0.001598,1e-04,0,0,0,0.003895,1e-04,0.004494,0.000999,0,0,0.000799,0.001099,0,0.000599,0,0.001099,0.00789,0.001698,0.009488,0,0.004994,0.002796,0.003196,2e-04,0.000399,0.001698,0,0.003096,0,0,0,0,0.000399,0,0,0.000699,0.002597,0,0,0.002597,0,0.000899,0.001099,2e-04,0,3e-04,2e-04,3e-04,0.002297,0,1e-04,0,0,0,0,0.002896,0.004994,0,0,0,0.004095,0.005792,0.003595,0.002497,3e-04,0,0.000799,0,0,0.003495,0.001598,0.003196,0,0.009987,0,0.003196,0.000399,0.001298,0.000999,0,0.000499,0,0.00779,0,0.003495,0,0,0,0.001997,0.002696,0.001198,0,0,0.002297,0,0.001099,0,0,0.000399,0.000599,0.000499,0.001398,0,0,0.000399,0,0.002896,0,0,0,0.004294,0.000699,0.003495,0.001698,0,0.001099,2e-04,0.000499
