target	site	m	topK	truth_sources	truth_pairs	hits_in_topK	hit_rate	topK_mean_synergy	topK_max_synergy
S82	site1	10	80	10	45	5	0.0625	0.01489999145269394	0.17944326996803284
S83	site1	10	80	9	36	3	0.0375	0.01625976338982582	0.14122802019119263
S72	site1	10	80	7	21	2	0.025	0.012289541773498058	0.183199942111969
S151	site1	10	80	9	36	2	0.025	0.010639547370374203	0.1817842721939087
S191	site1	10	80	8	28	1	0.0125	0.019582252949476242	0.44578418135643005
S52	site1	10	80	10	45	1	0.0125	0.01692108064889908	0.3402166962623596
S196	site1	10	80	10	45	1	0.0125	0.015575429424643517	0.24667797982692719
S7	site1	10	80	10	45	1	0.0125	0.0152213079854846	0.19660113751888275
S23	site1	10	80	8	28	1	0.0125	0.015177483670413494	0.2599112391471863
S186	site1	10	80	9	36	1	0.0125	0.015134329907596111	0.32608115673065186
S141	site1	10	80	10	45	1	0.0125	0.015131932683289051	0.194295272231102
S169	site1	10	80	10	45	1	0.0125	0.014776909723877907	0.2767260670661926
S22	site1	10	80	8	28	1	0.0125	0.013879567384719849	0.3969179391860962
S57	site1	10	80	8	28	1	0.0125	0.01198395062237978	0.1517057865858078
S200	site1	10	80	7	21	1	0.0125	0.011766618117690086	0.10033111274242401
S18	site1	10	80	8	28	1	0.0125	0.01173526793718338	0.07579857856035233
S10	site1	10	80	10	45	1	0.0125	0.011723870411515236	0.17321714758872986
S17	site1	10	80	9	36	1	0.0125	0.011477719061076641	0.21519331634044647
S181	site1	10	80	10	45	1	0.0125	0.0112825408577919	0.09771828353404999
S166	site1	10	80	9	36	1	0.0125	0.01041471678763628	0.130111426115036
S134	site1	10	80	9	36	1	0.0125	0.010298107750713825	0.08913557231426239
S164	site1	10	80	7	21	0	0.0	0.020031217485666275	0.532819926738739
S42	site1	10	80	10	45	0	0.0	0.01971661113202572	0.41763707995414734
S43	site1	10	80	9	36	0	0.0	0.0196805652230978	0.17133678495883942
S102	site1	10	80	8	28	0	0.0	0.019442912191152573	0.4626581370830536
S20	site1	10	80	10	45	0	0.0	0.018926983699202538	0.34183046221733093
S136	site1	10	80	10	45	0	0.0	0.018773045390844345	0.5010398030281067
S107	site1	10	80	9	36	0	0.0	0.018771430477499962	0.4369966685771942
S197	site1	10	80	4	6	0	0.0	0.01834002509713173	0.2832154333591461
S77	site1	10	80	10	45	0	0.0	0.01812196709215641	0.2945941984653473
S12	site1	10	80	8	28	0	0.0	0.01810651645064354	0.34660935401916504
S116	site1	10	80	10	45	0	0.0	0.018090369179844856	0.21886929869651794
S25	site1	10	80	4	6	0	0.0	0.01784369722008705	0.35019832849502563
S19	site1	10	80	8	28	0	0.0	0.017822835594415665	0.5617059469223022
S126	site1	10	80	10	45	0	0.0	0.01771637611091137	0.2770175635814667
S38	site1	10	80	10	45	0	0.0	0.017353782430291176	0.38099658489227295
S39	site1	10	80	4	6	0	0.0	0.017226101830601692	0.35281267762184143
S106	site1	10	80	7	21	0	0.0	0.017043227329850197	0.3223734498023987
S125	site1	10	80	9	36	0	0.0	0.01704193465411663	0.46609124541282654
S130	site1	10	80	10	45	0	0.0	0.017037808895111084	0.39251792430877686
S21	site1	10	80	7	21	0	0.0	0.016912253573536873	0.2996901571750641
S75	site1	10	80	10	45	0	0.0	0.016652952879667282	0.14607912302017212
S178	site1	10	80	8	28	0	0.0	0.016638517379760742	0.46610644459724426
S33	site1	10	80	6	15	0	0.0	0.016517316922545433	0.11319243907928467
S87	site1	10	80	9	36	0	0.0	0.01644529029726982	0.2090873122215271
S190	site1	10	80	8	28	0	0.0	0.016438014805316925	0.5484679341316223
S47	site1	10	80	8	28	0	0.0	0.01616278849542141	0.3140993118286133
S60	site1	10	80	9	36	0	0.0	0.01588723435997963	0.18397994339466095
S27	site1	10	80	8	28	0	0.0	0.01582607999444008	0.20171663165092468
S124	site1	10	80	10	45	0	0.0	0.015799308195710182	0.19311238825321198
S135	site1	10	80	7	21	0	0.0	0.015764379873871803	0.22102537751197815
S167	site1	10	80	6	15	0	0.0	0.015736956149339676	0.2723247706890106
S156	site1	10	80	6	15	0	0.0	0.015669139102101326	0.1349737048149109
S120	site1	10	80	6	15	0	0.0	0.015613541007041931	0.2708838880062103
S147	site1	10	80	6	15	0	0.0	0.015588139183819294	0.42432311177253723
S49	site1	10	80	10	45	0	0.0	0.015571040101349354	0.5352173447608948
S165	site1	10	80	5	10	0	0.0	0.01546677015721798	0.27389124035835266
S150	site1	10	80	6	15	0	0.0	0.015460910275578499	0.2769448459148407
S99	site1	10	80	9	36	0	0.0	0.015455144457519054	0.2540886700153351
S80	site1	10	80	7	21	0	0.0	0.01542839128524065	0.18956923484802246
S162	site1	10	80	7	21	0	0.0	0.01542047131806612	0.11847222596406937
S91	site1	10	80	8	28	0	0.0	0.015401596203446388	0.3214520514011383
S112	site1	10	80	5	10	0	0.0	0.015370537526905537	0.3034305274486542
S56	site1	10	80	8	28	0	0.0	0.01525212824344635	0.26360583305358887
S4	site1	10	80	6	15	0	0.0	0.015220364555716515	0.3183562159538269
S139	site1	10	80	6	15	0	0.0	0.015172931365668774	0.20667292177677155
S1	site1	10	80	7	21	0	0.0	0.015163625590503216	0.39459115266799927
S148	site1	10	80	8	28	0	0.0	0.015043405815958977	0.08760910481214523
S145	site1	10	80	10	45	0	0.0	0.015038885176181793	0.24793411791324615
S96	site1	10	80	4	6	0	0.0	0.015023717656731606	0.1827552318572998
S170	site1	10	80	10	45	0	0.0	0.014924159273505211	0.317393958568573
S32	site1	10	80	9	36	0	0.0	0.014871932566165924	0.20692528784275055
S119	site1	10	80	10	45	0	0.0	0.0148452278226614	0.43560928106307983
S41	site1	10	80	6	15	0	0.0	0.014839211478829384	0.2975790202617645
S88	site1	10	80	10	45	0	0.0	0.014798901975154877	0.5568025708198547
S68	site1	10	80	7	21	0	0.0	0.014742878265678883	0.36333948373794556
S40	site1	10	80	9	36	0	0.0	0.014695070683956146	0.20804408192634583
S76	site1	10	80	5	10	0	0.0	0.01468866877257824	0.22043368220329285
S2	site1	10	80	10	45	0	0.0	0.014680901542305946	0.42703989148139954
S64	site1	10	80	4	6	0	0.0	0.01464527565985918	0.13024435937404633
S29	site1	10	80	10	45	0	0.0	0.014530615881085396	0.19883796572685242
S90	site1	10	80	10	45	0	0.0	0.01451798714697361	0.4432218372821808
S6	site1	10	80	9	36	0	0.0	0.014428837224841118	0.14134250581264496
S105	site1	10	80	10	45	0	0.0	0.014330452308058739	0.19642366468906403
S109	site1	10	80	9	36	0	0.0	0.014307821169495583	0.2177046835422516
S187	site1	10	80	10	45	0	0.0	0.014255953021347523	0.3723718822002411
S146	site1	10	80	5	10	0	0.0	0.014247700572013855	0.2274852842092514
S161	site1	10	80	7	21	0	0.0	0.014212933368980885	0.1799050271511078
S95	site1	10	80	10	45	0	0.0	0.014070570468902588	0.17787794768810272
S175	site1	10	80	7	21	0	0.0	0.014062216505408287	0.16301949322223663
S53	site1	10	80	10	45	0	0.0	0.014036254957318306	0.17271311581134796
S78	site1	10	80	6	15	0	0.0	0.013949359767138958	0.16506505012512207
S51	site1	10	80	8	28	0	0.0	0.013938495889306068	0.3829461634159088
S67	site1	10	80	10	45	0	0.0	0.01391497254371643	0.19540108740329742
S149	site1	10	80	8	28	0	0.0	0.01380860060453415	0.13212041556835175
S101	site1	10	80	6	15	0	0.0	0.01380220614373684	0.1849832534790039
S74	site1	10	80	10	45	0	0.0	0.01378071028739214	0.3070586621761322
S138	site1	10	80	10	45	0	0.0	0.013768283650279045	0.17632481455802917
S63	site1	10	80	10	45	0	0.0	0.013736155815422535	0.29625242948532104
S110	site1	10	80	7	21	0	0.0	0.013691907748579979	0.22352056205272675
S122	site1	10	80	5	10	0	0.0	0.013644699938595295	0.18450334668159485
S127	site1	10	80	9	36	0	0.0	0.013564996421337128	0.11461102217435837
S45	site1	10	80	6	15	0	0.0	0.013536202721297741	0.1199292317032814
S31	site1	10	80	8	28	0	0.0	0.013506779447197914	0.09834595024585724
S114	site1	10	80	10	45	0	0.0	0.013504314236342907	0.24465852975845337
