method	N	precision	baseline	lift
SID-synergy	200	0.005	0.001373534338358459	3.6402439024390247
SID-synergy	218	0.0045871559633027525	0.001373534338358459	3.339673304989931
SID-synergy	237	0.008438818565400843	0.001373534338358459	6.143871565297931
SID-synergy	258	0.011627906976744186	0.001373534338358459	8.465683494044242
SID-synergy	281	0.010676156583629894	0.001373534338358459	7.772762781008593
SID-synergy	300	0.01	0.001373534338358459	7.2804878048780495
SID-synergy	306	0.00980392156862745	0.001373534338358459	7.137733142037303
SID-synergy	333	0.009009009009009009	0.001373534338358459	6.5589980224126565
SID-synergy	362	0.008287292817679558	0.001373534338358459	6.033553429456947
SID-synergy	395	0.007594936708860759	0.001373534338358459	5.5294844087681385
SID-synergy	400	0.0075	0.001373534338358459	5.460365853658536
SID-synergy	430	0.0069767441860465115	0.001373534338358459	5.079410096426546
SID-synergy	468	0.00641025641025641	0.001373534338358459	4.666979362101313
SID-synergy	500	0.006	0.001373534338358459	4.368292682926829
SID-synergy	509	0.005893909626719057	0.001373534338358459	4.291053716038143
SID-synergy	554	0.005415162454873646	0.001373534338358459	3.942502421414106
SID-synergy	600	0.005	0.001373534338358459	3.6402439024390247
SID-synergy	603	0.004975124378109453	0.001373534338358459	3.622133236257736
SID-synergy	657	0.0045662100456621	0.001373534338358459	3.324423655195456
SID-synergy	715	0.004195804195804196	0.001373534338358459	3.0547501279208595
SID-synergy	778	0.0038560411311053984	0.001373534338358459	2.807386043012101
SID-synergy	800	0.00375	0.001373534338358459	2.730182926829268
SID-synergy	847	0.0035419126328217238	0.001373534338358459	2.5786851729202063
SID-synergy	922	0.0032537960954446853	0.001373534338358459	2.3689222792444844
SID-synergy	1000	0.004	0.001373534338358459	2.91219512195122
SID-synergy	1004	0.00398406374501992	0.001373534338358459	2.9005927509474296
SID-synergy	1093	0.0036596523330283625	0.001373534338358459	2.6644054180706496
SID-synergy	1190	0.0033613445378151263	0.001373534338358459	2.447222791555647
